cell_id,n,k,rate,family,rate_label,natural_trials,dedup_complete,dedup_censored,dedup_censor_fraction,history_paired_complete,exhaustive_complete,branch_complete,median_q_membership,p90_q_membership,median_q_score,p90_q_score,median_codeword_score_savings,p10_codeword_score_savings,p90_codeword_score_savings,median_codebook_membership_ratio,p10_codebook_membership_ratio,median_membership_query_exponent,median_rate_minus_membership_exponent,median_rate_minus_score_exponent,median_stop_shell,p90_stop_shell,median_theorem_cap_slack,median_history_over_dedup_generated,median_history_over_dedup_walltime,median_exhaustive_over_dedup_walltime,minimum_exhaustive_over_dedup_walltime,median_branch_over_dedup_walltime,bestpath_selected_disagreement_count,bestpath_selected_disagreement_fraction,bestpath_strict_disjoint_count,bestpath_strict_disjoint_fraction,ml_error_count,ml_error_rate,bestpath_error_count,bestpath_error_rate
n16_k11_crc_defined_linear_R2_3,16,11,0.6875,crc_defined_linear,R2_3,64,64,0,0.0,64,64,64,17.0,234.0,2.0,8.0,1024.0,256.0,2048.0,120.47058823529412,8.752136752136753,0.2554664275781462,0.4320335724218538,0.625,0.0,1.0,0.0,1.8823529411764706,0.9903488932545834,0.5083707950216501,0.20988581510568155,0.03263119279395607,22,0.34375,0,0.0,35,0.546875,32,0.5
n16_k11_extended_hamming_HAMMING,16,11,0.6875,extended_hamming,HAMMING,64,64,0,0.0,64,64,64,17.0,235.0,2.0,10.0,1024.0,204.8,2048.0,120.47058823529412,8.714893617021277,0.2554664275781462,0.4320335724218538,0.625,0.0,1.0,0.0,1.8823529411764706,0.966151821130457,0.480065094639574,0.07417489555435731,0.08826124682731053,33,0.515625,0,0.0,43,0.671875,42,0.65625
n16_k11_random_systematic_linear_R2_3,16,11,0.6875,random_systematic_linear,R2_3,64,64,0,0.0,64,64,64,17.0,233.0,1.0,8.0,2048.0,256.0,2048.0,120.47058823529412,8.78969957081545,0.2554664275781462,0.4320335724218538,0.6875,0.0,1.0,0.0,1.8823529411764706,1.0015928132349141,0.5090651604478724,0.0741160078789099,0.03715586610337518,24,0.375,0,0.0,27,0.421875,28,0.4375
n16_k12_crc_defined_linear_R3_4,16,12,0.75,crc_defined_linear,R3_4,64,64,0,0.0,64,64,64,17.0,222.0,2.0,15.0,2048.0,273.06666666666666,4096.0,240.94117647058823,18.45045045045045,0.2554664275781462,0.4945335724218538,0.6875,0.0,1.0,0.0,1.8823529411764706,0.9978386505229258,1.040860661843036,0.45093089191024316,0.032224326129190226,27,0.421875,0,0.0,37,0.578125,41,0.640625
n16_k12_random_systematic_linear_R3_4,16,12,0.75,random_systematic_linear,R3_4,64,64,0,0.0,64,64,64,17.0,229.0,2.0,13.0,2048.0,315.0769230769231,4096.0,240.94117647058823,17.88646288209607,0.2554664275781462,0.4945335724218538,0.6875,0.0,1.0,0.0,1.8823529411764706,1.0010840292710124,1.0092904921566912,0.2095300214650807,0.03444559543078289,24,0.375,0,0.0,39,0.609375,42,0.65625
n24_k16_crc_defined_linear_R2_3,24,16,0.6666666666666666,crc_defined_linear,R2_3,64,64,0,0.0,64,8,8,529.5,546.0,2.0,5.0,32768.0,13107.2,65536.0,123.76970431929237,120.02930402930403,0.3770202596159289,0.28964640705073774,0.625,1.0,1.0,1.0,1.92,1.019106131353351,20.53930025378076,13.877629539516835,0.46938198217712734,20,0.3125,0,0.0,30,0.46875,37,0.578125
n24_k16_random_systematic_linear_R2_3,24,16,0.6666666666666666,random_systematic_linear,R2_3,64,64,0,0.0,64,8,8,526.5,542.0,2.0,5.0,32768.0,13107.2,65536.0,124.47494606821019,120.91512915129151,0.3766787112693649,0.2899879553973017,0.625,1.0,1.0,1.0,1.92,1.0093859997710268,13.407717547823687,7.658949959610192,0.31419517535365976,20,0.3125,0,0.0,28,0.4375,36,0.5625
n24_k18_crc_defined_linear_R3_4,24,18,0.75,crc_defined_linear,R3_4,64,64,0,0.0,64,8,8,520.0,541.0,7.0,12.0,37449.142857142855,21845.333333333332,262144.0,504.1249412904633,484.55452865064694,0.37593188105492475,0.37406811894507525,0.6330268782475998,1.0,1.0,1.0,1.92,0.9791735449678394,69.08405170154107,37.06218730826978,0.2463515431998932,31,0.484375,0,0.0,41,0.640625,42,0.65625
n24_k18_random_systematic_linear_R3_4,24,18,0.75,random_systematic_linear,R3_4,64,64,0,0.0,64,8,8,525.5,543.0,4.5,12.0,58982.4,21845.333333333332,262144.0,498.85087706592117,482.76979742173114,0.37656421152447217,0.37343578847552783,0.6599598313565133,1.0,1.0,1.0,1.92,0.9871542663719794,71.87674853596548,38.58249102807903,0.15872967375689295,31,0.484375,0,0.0,38,0.59375,40,0.625
n32_k21_crc_defined_linear_R2_3,32,21,0.65625,crc_defined_linear,R2_3,64,64,0,0.0,64,8,8,970.5,13836.0,3.0,11.0,699050.6666666666,190650.18181818182,2097152.0,2160.8990794908004,151.5721306736051,0.3100807566014638,0.3461692433985362,0.6067199218524639,1.0,2.0,1.0,1.9393939393939394,1.031232397121928,521.9971774545181,349.93498278437585,0.9906210471108277,25,0.390625,0,0.0,33,0.515625,36,0.5625
n32_k21_random_systematic_linear_R2_3,32,21,0.65625,random_systematic_linear,R2_3,64,64,0,0.0,64,8,8,972.0,13672.0,1.5,8.0,1572864.0,262144.0,2097152.0,2157.572920679947,153.3902867173786,0.3101502952993255,0.3460997047006745,0.640625,1.0,2.0,1.0,1.9393939393939394,1.027836350513435,465.5917882890163,336.32998845697466,1.664642337493605,18,0.28125,0,0.0,25,0.390625,28,0.4375
n32_k24_crc_defined_linear_R3_4,32,24,0.75,crc_defined_linear,R3_4,64,64,0,0.0,64,0,8,964.5,984.0,4.0,8.0,4194304.0,2097152.0,16777216.0,17394.733549760283,17050.016260162603,0.30980116356852194,0.44019883643147806,0.6875,1.0,1.0,1.0,1.9393939393939394,1.0060088576870883,,,1.2035926710663654,27,0.421875,0,0.0,42,0.65625,44,0.6875
