trial_id	dedup_status	dedup_complete	dedup_decoded	dedup_ties	dedup_score	dedup_bound	dedup_stop_shell	dedup_generated_attempts	dedup_q_disc	dedup_q_membership	dedup_q_score	dedup_global_duplicates	dedup_total_ns	dedup_ml_error	history_status	history_complete	history_decoded	history_ties	history_score	history_bound	history_stop_shell	history_generated_attempts	history_q_disc	history_q_membership	history_q_score	history_global_duplicates	history_total_ns	history_ml_error	bestpath_shell	bestpath_decoded	bestpath_ties	bestpath_selected_disagreement	bestpath_strict_disjoint	exhaustive_status	exhaustive_complete	exhaustive_decoded	exhaustive_ties	exhaustive_score	exhaustive_evaluated	exhaustive_nodes	exhaustive_total_ns	exhaustive_ml_error	branch_status	branch_complete	branch_decoded	branch_ties	branch_score	branch_evaluated	branch_nodes	branch_total_ns	branch_ml_error
0	CERTIFIED	1	0x21db	0x21db	31336241733184945120	12784106972526145936	0	17	17	17	1	0	18656388	0	CERTIFIED	1	0x21db	0x21db	31336241733184945120	12784106972526145936	0	32	17	17	1	15	17601991	0	0	0x21db	0x21db	0	0	COMPLETE	1	0x21db	0x21db	31336241733184945120	2048	0	1382737	0	COMPLETE	1	0x21db	0x21db	31336241733184945120	0	57	40994	0
1	CERTIFIED	1	0x195a	0x195a	17713398748541801542	12784106972526145936	0	17	17	17	1	0	858899	0	CERTIFIED	1	0x195a	0x195a	17713398748541801542	12784106972526145936	0	32	17	17	1	15	1471389	0	0	0x195a	0x195a	0	0	COMPLETE	1	0x195a	0x195a	17713398748541801542	2048	0	480220	0	COMPLETE	1	0x195a	0x195a	17713398748541801542	0	67	34814	0
2	CERTIFIED	1	0xb5da	0xb5da	47272342097011974676	12784106972526145936	0	17	17	17	1	0	1384682	1	CERTIFIED	1	0xb5da	0xb5da	47272342097011974676	12784106972526145936	0	32	17	17	1	15	939440	1	0	0xb5da	0xb5da	0	0	COMPLETE	1	0xb5da	0xb5da	47272342097011974676	2048	0	457762	1	COMPLETE	1	0xb5da	0xb5da	47272342097011974676	0	33	18058	1
3	CERTIFIED	1	0x3a2b	0x3a2b	18552128918313113080	12784106972526145936	0	17	17	17	2	0	855504	0	CERTIFIED	1	0x3a2b	0x3a2b	18552128918313113080	12784106972526145936	0	32	17	17	2	15	846407	0	0	0x3a2b	0x3a2b,0x5c2b	0	0	COMPLETE	1	0x3a2b	0x3a2b	18552128918313113080	2048	0	629453	0	COMPLETE	1	0x3a2b	0x3a2b	18552128918313113080	0	77	32893	0
4	CERTIFIED	1	0xaf4a	0xaf4a	17667152116653080338	12784106972526145936	0	17	17	17	1	0	1211694	0	CERTIFIED	1	0xaf4a	0xaf4a	17667152116653080338	12784106972526145936	0	32	17	17	1	15	1000372	0	0	0xaf4a	0xaf4a	0	0	COMPLETE	1	0xaf4a	0xaf4a	17667152116653080338	2048	0	464948	0	COMPLETE	1	0xaf4a	0xaf4a	17667152116653080338	0	125	48560	0
5	CERTIFIED	1	0xd341	0xd341	4081598294867317222	672847735396112944	1	272	233	233	11	39	1095774	1	CERTIFIED	1	0xd341	0xd341	4081598294867317222	672847735396112944	1	512	233	233	11	279	919661	1	1	0x4da1	0x4da1,0x5aa1,0x69a1,0xcd21,0xcda3,0xd341,0xd9a0,0xda21,0xdaa3,0xdb29,0xdb62	1	0	COMPLETE	1	0xd341	0xd341	4081598294867317222	2048	0	1102909	1	COMPLETE	1	0xd341	0xd341	4081598294867317222	0	115	45605	1
6	CERTIFIED	1	0xea7	0xea7	49582810537374645880	12784106972526145936	0	17	17	17	1	0	846993	0	CERTIFIED	1	0xea7	0xea7	49582810537374645880	12784106972526145936	0	32	17	17	1	15	871327	0	0	0xea7	0xea7	0	0	COMPLETE	1	0xea7	0xea7	49582810537374645880	2048	0	484030	0	COMPLETE	1	0xea7	0xea7	49582810537374645880	0	35	16068	0
7	CERTIFIED	1	0x37c2	0x37c2	4212287761759599040	672847735396112944	1	272	230	230	8	42	948239	1	CERTIFIED	1	0x37c2	0x37c2	4212287761759599040	672847735396112944	1	512	230	230	8	282	977873	1	1	0x31a2	0x31a2,0x3242,0x338d,0x338e,0x37c2,0x51c2,0x7385,0x7386	1	0	COMPLETE	1	0x37c2	0x37c2	4212287761759599040	2048	0	448973	1	COMPLETE	1	0x37c2	0x37c2	4212287761759599040	0	171	59741	1
8	CERTIFIED	1	0xe639	0xe639	2616604195371795178	672847735396112944	1	272	231	231	6	41	953217	1	CERTIFIED	1	0xe639	0xe639	2616604195371795178	672847735396112944	1	512	231	231	6	281	870454	1	1	0xb539	0xb539,0xe639,0xe659,0xe669,0xe93b,0xe9b9	1	0	COMPLETE	1	0xe639	0xe639	2616604195371795178	2048	0	426114	1	COMPLETE	1	0xe639	0xe639	2616604195371795178	0	221	137258	1
9	CERTIFIED	1	0xb7b9	0xb7b9	20068365482756936026	12784106972526145936	0	17	17	17	1	0	862686	0	CERTIFIED	1	0xb7b9	0xb7b9	20068365482756936026	12784106972526145936	0	32	17	17	1	15	1009074	0	0	0xb7b9	0xb7b9	0	0	COMPLETE	1	0xb7b9	0xb7b9	20068365482756936026	2048	0	478627	0	COMPLETE	1	0xb7b9	0xb7b9	20068365482756936026	0	77	30747	0
