trial_id	dedup_status	dedup_complete	dedup_decoded	dedup_ties	dedup_score	dedup_bound	dedup_stop_shell	dedup_generated_attempts	dedup_q_disc	dedup_q_membership	dedup_q_score	dedup_global_duplicates	dedup_total_ns	dedup_ml_error	history_status	history_complete	history_decoded	history_ties	history_score	history_bound	history_stop_shell	history_generated_attempts	history_q_disc	history_q_membership	history_q_score	history_global_duplicates	history_total_ns	history_ml_error	bestpath_shell	bestpath_decoded	bestpath_ties	bestpath_selected_disagreement	bestpath_strict_disjoint	exhaustive_status	exhaustive_complete	exhaustive_decoded	exhaustive_ties	exhaustive_score	exhaustive_evaluated	exhaustive_nodes	exhaustive_total_ns	exhaustive_ml_error	branch_status	branch_complete	branch_decoded	branch_ties	branch_score	branch_evaluated	branch_nodes	branch_total_ns	branch_ml_error
10	CERTIFIED	1	0xb884	0xb884	18505998775789418356	12784106972526145936	0	17	17	17	1	0	879394	0	CERTIFIED	1	0xb884	0xb884	18505998775789418356	12784106972526145936	0	32	17	17	1	15	849898	0	0	0xb884	0xb884	0	0	COMPLETE	1	0xb884	0xb884	18505998775789418356	2048	0	483509	0	COMPLETE	1	0xb884	0xb884	18505998775789418356	0	67	25188	0
11	CERTIFIED	1	0x6d5f	0x6d5f	76749031419057102814	12784106972526145936	0	17	17	17	1	0	925105	0	CERTIFIED	1	0x6d5f	0x6d5f	76749031419057102814	12784106972526145936	0	32	17	17	1	15	1185887	0	0	0x6d5f	0x6d5f	0	0	COMPLETE	1	0x6d5f	0x6d5f	76749031419057102814	2048	0	485411	0	COMPLETE	1	0x6d5f	0x6d5f	76749031419057102814	0	83	31309	0
12	CERTIFIED	1	0xceb3	0xceb3	18512411225719682644	12784106972526145936	0	17	17	17	1	0	881959	1	CERTIFIED	1	0xceb3	0xceb3	18512411225719682644	12784106972526145936	0	32	17	17	1	15	903122	1	0	0xceb3	0xceb3	0	0	COMPLETE	1	0xceb3	0xceb3	18512411225719682644	2048	0	1130470	1	COMPLETE	1	0xceb3	0xceb3	18512411225719682644	0	67	25615	1
13	CERTIFIED	1	0x66d	0x66d	17624873556612640978	12784106972526145936	0	17	17	17	1	0	888729	0	CERTIFIED	1	0x66d	0x66d	17624873556612640978	12784106972526145936	0	32	17	17	1	15	1610249	0	0	0x66d	0x66d	0	0	COMPLETE	1	0x66d	0x66d	17624873556612640978	2048	0	516848	0	COMPLETE	1	0x66d	0x66d	17624873556612640978	0	109	43522	0
14	CERTIFIED	1	0xfe4a	0xfe4a	107912505154986162556	12784106972526145936	0	17	17	17	1	0	868272	0	CERTIFIED	1	0xfe4a	0xfe4a	107912505154986162556	12784106972526145936	0	32	17	17	1	15	870519	0	0	0xfe4a	0xfe4a	0	0	COMPLETE	1	0xfe4a	0xfe4a	107912505154986162556	2048	0	492940	0	COMPLETE	1	0xfe4a	0xfe4a	107912505154986162556	0	23	11875	0
15	CERTIFIED	1	0x6197	0x6197	3492745825744073680	672847735396112944	1	272	228	228	8	44	873458	1	CERTIFIED	1	0x6197	0x6197	3492745825744073680	672847735396112944	1	512	228	228	8	284	882435	1	1	0x4129	0x4129,0x412a,0x48b7,0x5117,0x512f,0x5497,0x6197,0xc137	1	0	COMPLETE	1	0x6197	0x6197	3492745825744073680	2048	0	453184	1	COMPLETE	1	0x6197	0x6197	3492745825744073680	0	183	64439	1
16	CERTIFIED	1	0x9d88	0x9d88	48115492137163328218	12784106972526145936	0	17	17	17	1	0	876648	0	CERTIFIED	1	0x9d88	0x9d88	48115492137163328218	12784106972526145936	0	32	17	17	1	15	880960	0	0	0x9d88	0x9d88	0	0	COMPLETE	1	0x9d88	0x9d88	48115492137163328218	2048	0	471425	0	COMPLETE	1	0x9d88	0x9d88	48115492137163328218	0	55	23865	0
17	CERTIFIED	1	0xdc13	0xdc13,0xf813	5051017625826775840	672847735396112944	1	272	219	219	8	53	1057145	1	CERTIFIED	1	0xdc13	0xdc13,0xf813	5051017625826775840	672847735396112944	1	512	219	219	8	293	896729	1	1	0xbd13	0xbd13,0xdc13,0xde53,0xee1b,0xef13,0xf813,0xfa53,0xfc2a	1	0	COMPLETE	1	0xdc13	0xdc13,0xf813	5051017625826775840	2048	0	423466	1	COMPLETE	1	0xdc13	0xdc13,0xf813	5051017625826775840	0	103	39084	1
18	CERTIFIED	1	0x46af	0x46af	33646937311719726658	12784106972526145936	0	17	17	17	2	0	846232	0	CERTIFIED	1	0x46af	0x46af	33646937311719726658	12784106972526145936	0	32	17	17	2	15	1063421	0	0	0x22af	0x22af,0x46af	1	0	COMPLETE	1	0x46af	0x46af	33646937311719726658	2048	0	530744	0	COMPLETE	1	0x46af	0x46af	33646937311719726658	0	39	17020	0
19	CERTIFIED	1	0xff53	0xff53	6436443085312073848	672847735396112944	1	272	225	225	8	47	949910	1	CERTIFIED	1	0xff53	0xff53	6436443085312073848	672847735396112944	1	512	225	225	8	287	862966	1	1	0x6f73	0x6f73,0x7353,0x76d3,0x7e57,0x7fa3,0xbf5b,0xfea7,0xff53	1	0	COMPLETE	1	0xff53	0xff53	6436443085312073848	2048	0	412057	1	COMPLETE	1	0xff53	0xff53	6436443085312073848	0	167	1360761	1
20	CERTIFIED	1	0x3b71	0x3b71	48027088615479793378	12784106972526145936	0	17	17	17	1	0	1073749	0	CERTIFIED	1	0x3b71	0x3b71	48027088615479793378	12784106972526145936	0	32	17	17	1	15	888295	0	0	0x3b71	0x3b71	0	0	COMPLETE	1	0x3b71	0x3b71	48027088615479793378	2048	0	433097	0	COMPLETE	1	0x3b71	0x3b71	48027088615479793378	0	37	15271	0
21	CERTIFIED	1	0xda6a	0xda6a	932290580536615618	672847735396112944	1	272	236	236	5	36	1429809	1	CERTIFIED	1	0xda6a	0xda6a	932290580536615618	672847735396112944	1	512	236	236	5	276	918375	1	1	0x553a	0x553a,0xc2ba,0xd538,0xd5ba,0xda6a	1	0	COMPLETE	1	0xda6a	0xda6a	932290580536615618	2048	0	464782	1	COMPLETE	1	0xda6a	0xda6a	932290580536615618	0	303	106438	1
22	CERTIFIED	1	0x4cbe	0x4cbe	4170124741792399342	672847735396112944	1	272	233	233	11	39	984174	0	CERTIFIED	1	0x4cbe	0x4cbe	4170124741792399342	672847735396112944	1	512	233	233	11	279	904572	0	1	0xd5e	0xd5e,0xdb6,0x45be,0x469e,0x46ce,0x4cbe,0x4cdf,0x4f9e,0x565e,0x5dba,0xa4de	1	0	COMPLETE	1	0x4cbe	0x4cbe	4170124741792399342	2048	0	479104	0	COMPLETE	1	0x4cbe	0x4cbe	4170124741792399342	0	161	59093	0
23	CERTIFIED	1	0xcb49	0xcb49	17748701445931654480	12784106972526145936	0	17	17	17	1	0	918247	0	CERTIFIED	1	0xcb49	0xcb49	17748701445931654480	12784106972526145936	0	32	17	17	1	15	935133	0	0	0xcb49	0xcb49	0	0	COMPLETE	1	0xcb49	0xcb49	17748701445931654480	2048	0	457622	0	COMPLETE	1	0xcb49	0xcb49	17748701445931654480	0	77	49215	0
24	CERTIFIED	1	0x638	0x638	36887106441156639226	12784106972526145936	0	17	17	17	1	0	876025	0	CERTIFIED	1	0x638	0x638	36887106441156639226	12784106972526145936	0	32	17	17	1	15	873577	0	0	0x638	0x638	0	0	COMPLETE	1	0x638	0x638	36887106441156639226	2048	0	471194	0	COMPLETE	1	0x638	0x638	36887106441156639226	0	41	16752	0
25	CERTIFIED	1	0x69ea	0x69ea	34448272834617481822	12784106972526145936	0	17	17	17	2	0	1066624	0	CERTIFIED	1	0x69ea	0x69ea	34448272834617481822	12784106972526145936	0	32	17	17	2	15	1141006	0	0	0x69ea	0x69ea,0x6baa	0	0	COMPLETE	1	0x69ea	0x69ea	34448272834617481822	2048	0	426026	0	COMPLETE	1	0x69ea	0x69ea	34448272834617481822	0	31	15834	0
26	CERTIFIED	1	0x60b6	0x60b6	78391316878564401898	12784106972526145936	0	17	17	17	1	0	885518	0	CERTIFIED	1	0x60b6	0x60b6	78391316878564401898	12784106972526145936	0	32	17	17	1	15	914834	0	0	0x60b6	0x60b6	0	0	COMPLETE	1	0x60b6	0x60b6	78391316878564401898	2048	0	472771	0	COMPLETE	1	0x60b6	0x60b6	78391316878564401898	0	23	10284	0
27	CERTIFIED	1	0x801d	0x801d	8160608596855833826	672847735396112944	1	272	204	204	9	68	869404	0	CERTIFIED	1	0x801d	0x801d	8160608596855833826	672847735396112944	1	512	204	204	9	308	1323924	0	1	0x119	0x119,0x801d,0x8025,0x8209,0x8231,0x8232,0x8899,0x9018,0x901b	1	0	COMPLETE	1	0x801d	0x801d	8160608596855833826	2048	0	409095	0	COMPLETE	1	0x801d	0x801d	8160608596855833826	0	195	67068	0
28	CERTIFIED	1	0x5d2e	0x5d2e	47187997681803282538	12784106972526145936	0	17	17	17	1	0	841311	0	CERTIFIED	1	0x5d2e	0x5d2e	47187997681803282538	12784106972526145936	0	32	17	17	1	15	844384	0	0	0x5d2e	0x5d2e	0	0	COMPLETE	1	0x5d2e	0x5d2e	47187997681803282538	2048	0	429428	0	COMPLETE	1	0x5d2e	0x5d2e	47187997681803282538	0	93	112043	0
29	CERTIFIED	1	0xfd7d	0xfd7d	77590666744336729330	12784106972526145936	0	17	17	17	1	0	851295	0	CERTIFIED	1	0xfd7d	0xfd7d	77590666744336729330	12784106972526145936	0	32	17	17	1	15	882911	0	0	0xfd7d	0xfd7d	0	0	COMPLETE	1	0xfd7d	0xfd7d	77590666744336729330	2048	0	467605	0	COMPLETE	1	0xfd7d	0xfd7d	77590666744336729330	0	39	17081	0
30	CERTIFIED	1	0xb10d	0xb10d	16071021305116154782	12784106972526145936	0	17	17	17	1	0	867992	1	CERTIFIED	1	0xb10d	0xb10d	16071021305116154782	12784106972526145936	0	32	17	17	1	15	910800	1	0	0xb10d	0xb10d	0	0	COMPLETE	1	0xb10d	0xb10d	16071021305116154782	2048	0	476693	1	COMPLETE	1	0xb10d	0xb10d	16071021305116154782	0	89	31884	1
31	CERTIFIED	1	0x93c0	0x93c0	94369347315807960796	12784106972526145936	0	17	17	17	1	0	911975	0	CERTIFIED	1	0x93c0	0x93c0	94369347315807960796	12784106972526145936	0	32	17	17	1	15	905249	0	0	0x93c0	0x93c0	0	0	COMPLETE	1	0x93c0	0x93c0	94369347315807960796	2048	0	475907	0	COMPLETE	1	0x93c0	0x93c0	94369347315807960796	0	49	23266	0
32	CERTIFIED	1	0x66b6	0x66b6	18463602487477722262	12784106972526145936	0	17	17	17	2	0	939282	0	CERTIFIED	1	0x66b6	0x66b6	18463602487477722262	12784106972526145936	0	32	17	17	2	15	729112	0	0	0x66b6	0x66b6,0x66bd	0	0	COMPLETE	1	0x66b6	0x66b6	18463602487477722262	2048	0	321726	0	COMPLETE	1	0x66b6	0x66b6	18463602487477722262	0	127	111732	0
33	CERTIFIED	1	0x501f	0x501f	81543070869560659582	12784106972526145936	0	17	17	17	1	0	665253	0	CERTIFIED	1	0x501f	0x501f	81543070869560659582	12784106972526145936	0	32	17	17	1	15	698089	0	0	0x501f	0x501f	0	0	COMPLETE	1	0x501f	0x501f	81543070869560659582	2048	0	368819	0	COMPLETE	1	0x501f	0x501f	81543070869560659582	0	77	23220	0
34	CERTIFIED	1	0x55a7	0x55a7	33604883378121333022	12784106972526145936	0	17	17	17	2	0	1845994	0	CERTIFIED	1	0x55a7	0x55a7	33604883378121333022	12784106972526145936	0	32	17	17	2	15	694267	0	0	0x55a7	0x55a7,0x56d7	0	0	COMPLETE	1	0x55a7	0x55a7	33604883378121333022	2048	0	363355	0	COMPLETE	1	0x55a7	0x55a7	33604883378121333022	0	51	14511	0
35	CERTIFIED	1	0x7727	0x7727	33697836133041199444	12784106972526145936	0	17	17	17	1	0	698258	1	CERTIFIED	1	0x7727	0x7727	33697836133041199444	12784106972526145936	0	32	17	17	1	15	681976	1	0	0x7727	0x7727	0	0	COMPLETE	1	0x7727	0x7727	33697836133041199444	2048	0	372597	1	COMPLETE	1	0x7727	0x7727	33697836133041199444	0	53	36511	1
36	CERTIFIED	1	0xc168	0xc168	34401793272267781564	12784106972526145936	0	17	17	17	1	0	1390931	0	CERTIFIED	1	0xc168	0xc168	34401793272267781564	12784106972526145936	0	32	17	17	1	15	738694	0	0	0xc168	0xc168	0	0	COMPLETE	1	0xc168	0xc168	34401793272267781564	2048	0	386681	0	COMPLETE	1	0xc168	0xc168	34401793272267781564	0	45	13543	0
37	CERTIFIED	1	0xc886	0xc886	20907205706016753244	12784106972526145936	0	17	17	17	1	0	715161	1	CERTIFIED	1	0xc886	0xc886	20907205706016753244	12784106972526145936	0	32	17	17	1	15	881831	1	0	0xc886	0xc886	0	0	COMPLETE	1	0xc886	0xc886	20907205706016753244	2048	0	367889	1	COMPLETE	1	0xc886	0xc886	20907205706016753244	0	55	16622	1
38	CERTIFIED	1	0x8bf6	0x8bf6	4885258118480868004	672847735396112944	1	272	236	236	9	36	697010	1	CERTIFIED	1	0x8bf6	0x8bf6	4885258118480868004	672847735396112944	1	512	236	236	9	276	705535	1	1	0xb6d	0xb6d,0xdb6,0x45be,0x8b4e,0x8ba6,0x8bf6,0x9b36,0x9b66,0xcb6a	1	0	COMPLETE	1	0x8bf6	0x8bf6	4885258118480868004	2048	0	329695	1	COMPLETE	1	0x8bf6	0x8bf6	4885258118480868004	0	151	39462	1
39	CERTIFIED	1	0xb822	0xb822	4172337734023767724	672847735396112944	1	272	233	233	5	39	666793	1	CERTIFIED	1	0xb822	0xb822	4172337734023767724	672847735396112944	1	512	233	233	5	279	688218	1	1	0x3422	0x3422,0x88a2,0xa402,0xa8ca,0xb822	1	0	COMPLETE	1	0xb822	0xb822	4172337734023767724	2048	0	351852	1	COMPLETE	1	0xb822	0xb822	4172337734023767724	0	171	44777	1
40	CERTIFIED	1	0x3d49	0x3d49	32090994671439593320	12784106972526145936	0	17	17	17	2	0	680873	1	CERTIFIED	1	0x3d49	0x3d49	32090994671439593320	12784106972526145936	0	32	17	17	2	15	696749	1	0	0x3d29	0x3d29,0x3d49	1	0	COMPLETE	1	0x3d49	0x3d49	32090994671439593320	2048	0	326278	1	COMPLETE	1	0x3d49	0x3d49	32090994671439593320	0	75	21430	1
41	CERTIFIED	1	0x62de	0x62de	20061848482012591342	12784106972526145936	0	17	17	17	1	0	689161	0	CERTIFIED	1	0x62de	0x62de	20061848482012591342	12784106972526145936	0	32	17	17	1	15	684070	0	0	0x62de	0x62de	0	0	COMPLETE	1	0x62de	0x62de	20061848482012591342	2048	0	334630	0	COMPLETE	1	0x62de	0x62de	20061848482012591342	0	57	18472	0
42	CERTIFIED	1	0x8a5	0x8a5	61652010355212946894	12784106972526145936	0	17	17	17	2	0	906650	0	CERTIFIED	1	0x8a5	0x8a5	61652010355212946894	12784106972526145936	0	32	17	17	2	15	723542	0	0	0x8a5	0x8a5,0x1165	0	0	COMPLETE	1	0x8a5	0x8a5	61652010355212946894	2048	0	334606	0	COMPLETE	1	0x8a5	0x8a5	61652010355212946894	0	23	8833	0
43	CERTIFIED	1	0x8026	0x8026	32821363425090999688	12784106972526145936	0	17	17	17	2	0	664494	0	CERTIFIED	1	0x8026	0x8026	32821363425090999688	12784106972526145936	0	32	17	17	2	15	923021	0	0	0x8025	0x8025,0x8026	1	0	COMPLETE	1	0x8026	0x8026	32821363425090999688	2048	0	342194	0	COMPLETE	1	0x8026	0x8026	32821363425090999688	0	121	32179	0
44	CERTIFIED	1	0x418c	0x418c	20066158298904127666	12784106972526145936	0	17	17	17	1	0	653227	1	CERTIFIED	1	0x418c	0x418c	20066158298904127666	12784106972526145936	0	32	17	17	1	15	970517	1	0	0x418c	0x418c	0	0	COMPLETE	1	0x418c	0x418c	20066158298904127666	2048	0	408860	1	COMPLETE	1	0x418c	0x418c	20066158298904127666	0	67	23377	1
45	CERTIFIED	1	0xae75	0xae75	1855003790203150516	672847735396112944	1	272	237	237	8	35	666104	1	CERTIFIED	1	0xae75	0xae75	1855003790203150516	672847735396112944	1	512	237	237	8	275	707029	1	1	0x86ed	0x86ed,0xa2ed,0xa555,0xa6d4,0xae75,0xd355,0xe6e5,0xeb75	1	0	COMPLETE	1	0xae75	0xae75	1855003790203150516	2048	0	315827	1	COMPLETE	1	0xae75	0xae75	1855003790203150516	0	167	46305	1
46	CERTIFIED	1	0x928e	0x928e	48783803241077364022	12784106972526145936	0	17	17	17	2	0	699931	1	CERTIFIED	1	0x928e	0x928e	48783803241077364022	12784106972526145936	0	32	17	17	2	15	656265	1	0	0x9146	0x9146,0x928e	1	0	COMPLETE	1	0x928e	0x928e	48783803241077364022	2048	0	655090	1	COMPLETE	1	0x928e	0x928e	48783803241077364022	0	41	13527	1
47	CERTIFIED	1	0xea00	0xea00	7235450059815529666	672847735396112944	1	272	228	228	7	44	1477666	0	CERTIFIED	1	0xea00	0xea00	7235450059815529666	672847735396112944	1	512	228	228	7	284	663834	0	1	0x6b04	0x6b04,0xaa08,0xb404,0xe284,0xe704,0xe814,0xea00	1	0	COMPLETE	1	0xea00	0xea00	7235450059815529666	2048	0	324678	0	COMPLETE	1	0xea00	0xea00	7235450059815529666	0	237	59107	0
48	CERTIFIED	1	0xe877	0xe877	3369364248372086356	672847735396112944	1	272	231	231	3	41	708519	1	CERTIFIED	1	0xe877	0xe877	3369364248372086356	672847735396112944	1	512	231	231	3	281	711410	1	1	0xc677	0xc677,0xe877,0xee7f	1	0	COMPLETE	1	0xe877	0xe877	3369364248372086356	2048	0	322425	1	COMPLETE	1	0xe877	0xe877	3369364248372086356	0	181	47316	1
49	CERTIFIED	1	0xdc58	0xdc58	2572001656409386240	672847735396112944	1	272	236	236	9	36	719719	1	CERTIFIED	1	0xdc58	0xdc58	2572001656409386240	672847735396112944	1	512	236	236	9	276	670530	1	1	0x9958	0x9958,0xbd58,0xcb58,0xd8a8,0xdae8,0xdc58,0xdd50,0xed18,0xef58	1	0	COMPLETE	1	0xdc58	0xdc58	2572001656409386240	2048	0	333027	1	COMPLETE	1	0xdc58	0xdc58	2572001656409386240	0	147	42097	1
50	CERTIFIED	1	0xd9c7	0xd9c7	34536565997108376244	12784106972526145936	0	17	17	17	1	0	658170	0	CERTIFIED	1	0xd9c7	0xd9c7	34536565997108376244	12784106972526145936	0	32	17	17	1	15	682582	0	0	0xd9c7	0xd9c7	0	0	COMPLETE	1	0xd9c7	0xd9c7	34536565997108376244	2048	0	389000	0	COMPLETE	1	0xd9c7	0xd9c7	34536565997108376244	0	33	13209	0
51	CERTIFIED	1	0x41c4	0x41c4	6608958348331556746	672847735396112944	1	272	228	228	8	44	815056	1	CERTIFIED	1	0x41c4	0x41c4	6608958348331556746	672847735396112944	1	512	228	228	8	284	696266	1	1	0x21a4	0x21a4,0x41c4,0x42c9,0x42ca,0x43d0,0x43e8,0x47a4,0xd1e4	1	0	COMPLETE	1	0x41c4	0x41c4	6608958348331556746	2048	0	342742	1	COMPLETE	1	0x41c4	0x41c4	6608958348331556746	0	171	46081	1
52	CERTIFIED	1	0x61a9	0x61a9	34488002143968032302	12784106972526145936	0	17	17	17	1	0	728111	0	CERTIFIED	1	0x61a9	0x61a9	34488002143968032302	12784106972526145936	0	32	17	17	1	15	719494	0	0	0x61a9	0x61a9	0	0	COMPLETE	1	0x61a9	0x61a9	34488002143968032302	2048	0	380260	0	COMPLETE	1	0x61a9	0x61a9	34488002143968032302	0	47	17566	0
53	CERTIFIED	1	0xb35d	0xb35d	18421549504062511084	12784106972526145936	0	17	17	17	1	0	655523	0	CERTIFIED	1	0xb35d	0xb35d	18421549504062511084	12784106972526145936	0	32	17	17	1	15	661122	0	0	0xb35d	0xb35d	0	0	COMPLETE	1	0xb35d	0xb35d	18421549504062511084	2048	0	404688	0	COMPLETE	1	0xb35d	0xb35d	18421549504062511084	0	137	45469	0
54	CERTIFIED	1	0xc22	0xc22	47356551969375173632	12784106972526145936	0	17	17	17	1	0	1004030	0	CERTIFIED	1	0xc22	0xc22	47356551969375173632	12784106972526145936	0	32	17	17	1	15	745773	0	0	0xc22	0xc22	0	0	COMPLETE	1	0xc22	0xc22	47356551969375173632	2048	0	346771	0	COMPLETE	1	0xc22	0xc22	47356551969375173632	0	65	20422	0
55	CERTIFIED	1	0xcb9c	0xcb9c	32850143329447639222	12784106972526145936	0	17	17	17	2	0	655290	1	CERTIFIED	1	0xcb9c	0xcb9c	32850143329447639222	12784106972526145936	0	32	17	17	2	15	693294	1	0	0xa5ce	0xa5ce,0xcb9c	1	0	COMPLETE	1	0xcb9c	0xcb9c	32850143329447639222	2048	0	344405	1	COMPLETE	1	0xcb9c	0xcb9c	32850143329447639222	0	91	111072	1
56	CERTIFIED	1	0x14e4	0x14e4	33728829641037476836	12784106972526145936	0	17	17	17	3	0	651571	1	CERTIFIED	1	0x14e4	0x14e4	33728829641037476836	12784106972526145936	0	32	17	17	3	15	659010	1	0	0x14b4	0x14b4,0x14d4,0x14e4	1	0	COMPLETE	1	0x14e4	0x14e4	33728829641037476836	2048	0	403057	1	COMPLETE	1	0x14e4	0x14e4	33728829641037476836	0	77	35989	1
57	CERTIFIED	1	0x195a	0x195a	32929828458822889738	12784106972526145936	0	17	17	17	1	0	710654	0	CERTIFIED	1	0x195a	0x195a	32929828458822889738	12784106972526145936	0	32	17	17	1	15	683486	0	0	0x195a	0x195a	0	0	COMPLETE	1	0x195a	0x195a	32929828458822889738	2048	0	357638	0	COMPLETE	1	0x195a	0x195a	32929828458822889738	0	35	12842	0
58	CERTIFIED	1	0x8560	0x8560	4081475723598978586	672847735396112944	1	272	234	234	5	38	842449	1	CERTIFIED	1	0x8560	0x8560	4081475723598978586	672847735396112944	1	512	234	234	5	278	671777	1	1	0x572	0x572,0x8530,0x8560,0x8a32,0xc2b3	1	0	COMPLETE	1	0x8560	0x8560	4081475723598978586	2048	0	569413	1	COMPLETE	1	0x8560	0x8560	4081475723598978586	0	195	51530	1
59	CERTIFIED	1	0xfd92	0xfd92	32091006288196713364	12784106972526145936	0	17	17	17	2	0	724094	1	CERTIFIED	1	0xfd92	0xfd92	32091006288196713364	12784106972526145936	0	32	17	17	2	15	768050	1	0	0xfd92	0xfd92,0xfdaa	0	0	COMPLETE	1	0xfd92	0xfd92	32091006288196713364	2048	0	366788	1	COMPLETE	1	0xfd92	0xfd92	32091006288196713364	0	79	27038	1
