trial_id,trial_kind,cell_id,trial_index,trial_seed,code_instance,code_seed,family,rate_label,n,k,rate,p_num,p_den,p_s,transmitted_word_hex,observation_hex,deletion_position,observed_error_weight,forced_error_weight,theorem_offset,theorem_stop_shell_cap,max_generated_attempts,run_exhaustive,run_branch,branch_node_cap,branch_time_ms,code_size,generator_rows_hex,parity_check_rows_hex,code_construction,dedup_status,dedup_complete,dedup_decoded,dedup_ties,dedup_score,dedup_bound,dedup_stop_shell,dedup_generated_attempts,dedup_q_disc,dedup_q_membership,dedup_q_score,dedup_global_duplicates,dedup_total_ns,dedup_ml_error,history_status,history_complete,history_decoded,history_ties,history_score,history_bound,history_stop_shell,history_generated_attempts,history_q_disc,history_q_membership,history_q_score,history_global_duplicates,history_total_ns,history_ml_error,bestpath_shell,bestpath_decoded,bestpath_ties,bestpath_selected_disagreement,bestpath_strict_disjoint,exhaustive_status,exhaustive_complete,exhaustive_decoded,exhaustive_ties,exhaustive_score,exhaustive_evaluated,exhaustive_nodes,exhaustive_total_ns,exhaustive_ml_error,branch_status,branch_complete,branch_decoded,branch_ties,branch_score,branch_evaluated,branch_nodes,branch_total_ns,branch_ml_error,dedup_complete_bool,history_complete_bool,exhaustive_complete_bool,branch_complete_bool,codeword_score_savings,codebook_membership_ratio,membership_query_exponent,score_query_exponent,rate_minus_membership_exponent,rate_minus_score_exponent,history_over_dedup_generated,history_over_dedup_walltime,exhaustive_over_dedup_walltime,branch_over_dedup_walltime,theorem_stop_shell_slack,bestpath_ml_selected_disagreement_bool,bestpath_ml_strict_disjoint_bool,bestpath_error_bool,dedup_ml_error_bool,distinct_candidate_fraction_of_codebook
0,natural,n16_k11_random_systematic_linear_R2_3,0,1108666843682771030,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x21db,0x21db,15,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670,CERTIFIED,1,0x21db,0x21db,31336241733184945120,12784106972526145936,0,17,17,17,1,0,18656388,0,CERTIFIED,1,0x21db,0x21db,31336241733184945120,12784106972526145936,0,32,17,17,1,15,17601991,0,0,0x21db,0x21db,0,0,COMPLETE,1,0x21db,0x21db,31336241733184945120,2048,0,1382737,0,COMPLETE,1,0x21db,0x21db,31336241733184945120,0,57,40994,0,True,True,True,True,2048.0,120.47058823529412,0.2554664275781462,0.0,0.4320335724218538,0.6875,1.8823529411764706,0.943483325925683,0.0741160078789099,0.0021973170798120193,0,False,False,False,False,0.00830078125
1,natural,n16_k11_random_systematic_linear_R2_3,1,9235320778967549675,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x195a,0xc5a,8,0,,1,0,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946,CERTIFIED,1,0x195a,0x195a,17713398748541801542,12784106972526145936,0,17,17,17,1,0,858899,0,CERTIFIED,1,0x195a,0x195a,17713398748541801542,12784106972526145936,0,32,17,17,1,15,1471389,0,0,0x195a,0x195a,0,0,COMPLETE,1,0x195a,0x195a,17713398748541801542,2048,0,480220,0,COMPLETE,1,0x195a,0x195a,17713398748541801542,0,67,34814,0,True,True,True,True,2048.0,120.47058823529412,0.2554664275781462,0.0,0.4320335724218538,0.6875,1.8823529411764706,1.7131106218542576,0.5591111411236944,0.0405332873830334,0,False,False,False,False,0.00830078125
2,natural,n16_k11_random_systematic_linear_R2_3,2,16408972048460692248,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x8ada,0x5ada,14,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925,CERTIFIED,1,0xb5da,0xb5da,47272342097011974676,12784106972526145936,0,17,17,17,1,0,1384682,1,CERTIFIED,1,0xb5da,0xb5da,47272342097011974676,12784106972526145936,0,32,17,17,1,15,939440,1,0,0xb5da,0xb5da,0,0,COMPLETE,1,0xb5da,0xb5da,47272342097011974676,2048,0,457762,1,COMPLETE,1,0xb5da,0xb5da,47272342097011974676,0,33,18058,1,True,True,True,True,2048.0,120.47058823529412,0.2554664275781462,0.0,0.4320335724218538,0.6875,1.8823529411764706,0.6784518033743487,0.33058998383744426,0.013041261459309792,1,False,False,True,True,0.00830078125
3,natural,n16_k11_random_systematic_linear_R2_3,3,36756737541360857,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x3a2b,0x1c2b,9,0,,1,0,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885,CERTIFIED,1,0x3a2b,0x3a2b,18552128918313113080,12784106972526145936,0,17,17,17,2,0,855504,0,CERTIFIED,1,0x3a2b,0x3a2b,18552128918313113080,12784106972526145936,0,32,17,17,2,15,846407,0,0,0x3a2b,"0x3a2b,0x5c2b",0,0,COMPLETE,1,0x3a2b,0x3a2b,18552128918313113080,2048,0,629453,0,COMPLETE,1,0x3a2b,0x3a2b,18552128918313113080,0,77,32893,0,True,True,True,True,1024.0,120.47058823529412,0.2554664275781462,0.0625,0.4320335724218538,0.625,1.8823529411764706,0.9893665020853205,0.7357686229403954,0.03844868054386654,0,False,False,False,False,0.00830078125
4,natural,n16_k11_random_systematic_linear_R2_3,4,14751145405662823440,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xaf4a,0x57a2,3,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670,CERTIFIED,1,0xaf4a,0xaf4a,17667152116653080338,12784106972526145936,0,17,17,17,1,0,1211694,0,CERTIFIED,1,0xaf4a,0xaf4a,17667152116653080338,12784106972526145936,0,32,17,17,1,15,1000372,0,0,0xaf4a,0xaf4a,0,0,COMPLETE,1,0xaf4a,0xaf4a,17667152116653080338,2048,0,464948,0,COMPLETE,1,0xaf4a,0xaf4a,17667152116653080338,0,125,48560,0,True,True,True,True,2048.0,120.47058823529412,0.2554664275781462,0.0,0.4320335724218538,0.6875,1.8823529411764706,0.8255978819735016,0.3837173411768978,0.0400761248301964,0,False,False,False,False,0.00830078125
5,natural,n16_k11_random_systematic_linear_R2_3,5,6337100520531395474,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xd969,0x6da1,3,2,,1,2,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946,CERTIFIED,1,0xd341,0xd341,4081598294867317222,672847735396112944,1,272,233,233,11,39,1095774,1,CERTIFIED,1,0xd341,0xd341,4081598294867317222,672847735396112944,1,512,233,233,11,279,919661,1,1,0x4da1,"0x4da1,0x5aa1,0x69a1,0xcd21,0xcda3,0xd341,0xd9a0,0xda21,0xdaa3,0xdb29,0xdb62",1,0,COMPLETE,1,0xd341,0xd341,4081598294867317222,2048,0,1102909,1,COMPLETE,1,0xd341,0xd341,4081598294867317222,0,115,45605,1,True,True,True,True,186.1818181818182,8.78969957081545,0.49151163404089254,0.21621447616483108,0.19598836595910746,0.4712855238351689,1.8823529411764706,0.8392798149983483,1.0065113791712526,0.041618983476519794,1,True,False,True,True,0.11376953125
6,natural,n16_k11_random_systematic_linear_R2_3,6,5760580849667870238,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xea7,0x6a7,10,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925,CERTIFIED,1,0xea7,0xea7,49582810537374645880,12784106972526145936,0,17,17,17,1,0,846993,0,CERTIFIED,1,0xea7,0xea7,49582810537374645880,12784106972526145936,0,32,17,17,1,15,871327,0,0,0xea7,0xea7,0,0,COMPLETE,1,0xea7,0xea7,49582810537374645880,2048,0,484030,0,COMPLETE,1,0xea7,0xea7,49582810537374645880,0,35,16068,0,True,True,True,True,2048.0,120.47058823529412,0.2554664275781462,0.0,0.4320335724218538,0.6875,1.8823529411764706,1.0287298714393154,0.5714687134368289,0.018970640843548884,0,False,False,False,False,0.00830078125
7,natural,n16_k11_random_systematic_linear_R2_3,7,2181632642283355067,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x31a2,0x19c2,5,1,,1,1,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885,CERTIFIED,1,0x37c2,0x37c2,4212287761759599040,672847735396112944,1,272,230,230,8,42,948239,1,CERTIFIED,1,0x37c2,0x37c2,4212287761759599040,672847735396112944,1,512,230,230,8,282,977873,1,1,0x31a2,"0x31a2,0x3242,0x338d,0x338e,0x37c2,0x51c2,0x7385,0x7386",1,0,COMPLETE,1,0x37c2,0x37c2,4212287761759599040,2048,0,448973,1,COMPLETE,1,0x37c2,0x37c2,4212287761759599040,0,171,59741,1,True,True,True,True,256.0,8.904347826086957,0.4903431281840234,0.1875,0.19715687181597658,0.5,1.8823529411764706,1.0312516148355004,0.4734808418552707,0.06300204906147079,0,True,False,False,True,0.1123046875
8,natural,n16_k11_random_systematic_linear_R2_3,8,5726140483634442587,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xe9b9,0x7139,11,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670,CERTIFIED,1,0xe639,0xe639,2616604195371795178,672847735396112944,1,272,231,231,6,41,953217,1,CERTIFIED,1,0xe639,0xe639,2616604195371795178,672847735396112944,1,512,231,231,6,281,870454,1,1,0xb539,"0xb539,0xe639,0xe659,0xe669,0xe93b,0xe9b9",1,0,COMPLETE,1,0xe639,0xe639,2616604195371795178,2048,0,426114,1,COMPLETE,1,0xe639,0xe639,2616604195371795178,0,221,137258,1,True,True,True,True,341.3333333333333,8.865800865800866,0.49073431508850357,0.16156015629507225,0.19676568491149643,0.5259398437049277,1.8823529411764706,0.9131750692654453,0.44702727710479356,0.14399449443306195,0,True,False,True,True,0.11279296875
9,natural,n16_k11_random_systematic_linear_R2_3,9,13124099064954499303,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xb7b9,0x5fb9,10,1,,1,1,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946,CERTIFIED,1,0xb7b9,0xb7b9,20068365482756936026,12784106972526145936,0,17,17,17,1,0,862686,0,CERTIFIED,1,0xb7b9,0xb7b9,20068365482756936026,12784106972526145936,0,32,17,17,1,15,1009074,0,0,0xb7b9,0xb7b9,0,0,COMPLETE,1,0xb7b9,0xb7b9,20068365482756936026,2048,0,478627,0,COMPLETE,1,0xb7b9,0xb7b9,20068365482756936026,0,77,30747,0,True,True,True,True,2048.0,120.47058823529412,0.2554664275781462,0.0,0.4320335724218538,0.6875,1.8823529411764706,1.1696886236707214,0.5548102090447741,0.035641009590975166,1,False,False,False,False,0.00830078125
