id	ind	cr	ac	ind_ns	cr_ns	ac_ns
0	13760933674260616398303263223984	13760933674260616398303263223984	13760933674260616398303263223984	191	7924	73422
1	13760933674260616398303263223984	13760933674260616398303263223984	13760933674260616398303263223984	130	6590	46481
2	10355450088206221431046395052392	10355450088206221431046395052392	990370226556635271090007580514	100	6371	44676
3	10355450088206221431046395052392	10355450088206221431046395052392	990370226556635271090007580514	101	6254	43442
4	6949966502151826463789526880800	6949966502151826463789526880800	990370226556635271090007580514	103	6218	42876
5	6949966502151826463789526880800	6949966502151826463789526880800	990370226556635271090007580514	102	6117	42705
6	3544482916097431496532658709208	3544482916097431496532658709208	990370226556635271090007580514	102	6129	42448
7	3544482916097431496532658709208	3544482916097431496532658709208	990370226556635271090007580514	102	6072	42435
8	138999330043036529275790537616	138999330043036529275790537616	18603445687578121342466915388	103	6143	44647
9	138999330043036529275790537616	138999330043036529275790537616	18603445687578121342466915388	104	6146	42502
10	138999330043036529275790537616	138999330043036529275790537616	18603445687578121342466915388	102	5997	42315
11	138999330043036529275790537616	138999330043036529275790537616	18603445687578121342466915388	102	6174	42272
12	104600505941476984151983788408	104600505941476984151983788408	18603445687578121342466915388	102	5905	42487
13	104600505941476984151983788408	104600505941476984151983788408	18603445687578121342466915388	103	20545	42165
14	70201681839917439028177039200	70201681839917439028177039200	18603445687578121342466915388	135	5848	41909
15	70201681839917439028177039200	70201681839917439028177039200	18603445687578121342466915388	103	5916	41876
16	35802857738357893904370289992	35802857738357893904370289992	18603445687578121342466915388	101	5807	41473
17	35802857738357893904370289992	35802857738357893904370289992	18603445687578121342466915388	102	5768	41500
18	1404033636798348780563540784	1404033636798348780563540784	274779310232000077004228310	102	5732	41301
19	1404033636798348780563540784	1404033636798348780563540784	274779310232000077004228310	102	5749	41169
20	1404033636798348780563540784	1404033636798348780563540784	274779310232000077004228310	102	5725	41176
21	1404033636798348780563540784	1404033636798348780563540784	274779310232000077004228310	102	5614	41325
22	1056570767085626102545290792	1056570767085626102545290792	274779310232000077004228310	102	5640	41399
23	1056570767085626102545290792	1056570767085626102545290792	274779310232000077004228310	103	5574	41406
24	709107897372903424527040800	709107897372903424527040800	274779310232000077004228310	102	5594	40926
25	709107897372903424527040800	709107897372903424527040800	274779310232000077004228310	102	5468	40819
26	361645027660180746508790808	361645027660180746508790808	274779310232000077004228310	102	5424	40491
27	361645027660180746508790808	361645027660180746508790808	274779310232000077004228310	102	5434	40479
28	14182157947458068490540816	14182157947458068490540816	3652980077375563096048392	102	6043	41587
29	14182157947458068490540816	14182157947458068490540816	3652980077375563096048392	103	5371	40216
30	14182157947458068490540816	14182157947458068490540816	3652980077375563096048392	101	5363	40071
31	14182157947458068490540816	14182157947458068490540816	3652980077375563096048392	103	5509	40233
32	10672431990763900025710008	10672431990763900025710008	3652980077375563096048392	102	5232	40280
33	10672431990763900025710008	10672431990763900025710008	3652980077375563096048392	102	5119	40494
34	7162706034069731560879200	7162706034069731560879200	3652980077375563096048392	103	5340	39804
35	7162706034069731560879200	7162706034069731560879200	3652980077375563096048392	102	5137	39944
36	3652980077375563096048392	3652980077375563096048392	3652980077375563096048392	136	5155	39869
37	3652980077375563096048392	3652980077375563096048392	3652980077375563096048392	119	4998	39364
38	143254120681394631217584	143254120681394631217584	45761732995445507194506	104	4928	39334
39	143254120681394631217584	143254120681394631217584	45761732995445507194506	102	4906	38969
40	13760933674260616398303263223984	13760933674260616398303263223984	13760933674260616398303263223984	101	6452	49726
41	13760933674260616398303263223984	13760933674260616398303263223984	13760933674260616398303263223984	112	6242	45556
42	10355450088206221431046395052392	10355450088206221431046395052392	990370226556635271090007580514	103	6123	44572
43	10355450088206221431046395052392	10355450088206221431046395052392	990370226556635271090007580514	103	6050	43790
44	6949966502151826463789526880800	6949966502151826463789526880800	990370226556635271090007580514	102	5927	42927
45	6949966502151826463789526880800	6949966502151826463789526880800	990370226556635271090007580514	102	5868	43094
46	3544482916097431496532658709208	3544482916097431496532658709208	990370226556635271090007580514	103	5865	42256
47	3544482916097431496532658709208	3544482916097431496532658709208	990370226556635271090007580514	103	5788	44244
48	138999330043036529275790537616	138999330043036529275790537616	18603445687578121342466915388	102	5802	42094
49	138999330043036529275790537616	138999330043036529275790537616	18603445687578121342466915388	102	5845	42005
50	138999330043036529275790537616	138999330043036529275790537616	18603445687578121342466915388	103	5704	48905
51	138999330043036529275790537616	138999330043036529275790537616	18603445687578121342466915388	134	5825	42439
52	104600505941476984151983788408	104600505941476984151983788408	18603445687578121342466915388	114	5740	42543
53	104600505941476984151983788408	104600505941476984151983788408	18603445687578121342466915388	102	5715	42492
54	70201681839917439028177039200	70201681839917439028177039200	18603445687578121342466915388	103	5578	42076
55	70201681839917439028177039200	70201681839917439028177039200	18603445687578121342466915388	103	5486	42040
56	35802857738357893904370289992	35802857738357893904370289992	18603445687578121342466915388	102	5300	41782
57	35802857738357893904370289992	35802857738357893904370289992	18603445687578121342466915388	101	5456	41685
58	1404033636798348780563540784	1404033636798348780563540784	274779310232000077004228310	102	5412	41472
59	1404033636798348780563540784	1404033636798348780563540784	274779310232000077004228310	103	5516	41339
60	1404033636798348780563540784	1404033636798348780563540784	274779310232000077004228310	102	5370	41213
61	1404033636798348780563540784	1404033636798348780563540784	274779310232000077004228310	102	5490	41433
62	1056570767085626102545290792	1056570767085626102545290792	274779310232000077004228310	103	5382	41697
63	1056570767085626102545290792	1056570767085626102545290792	274779310232000077004228310	103	5309	41596
64	709107897372903424527040800	709107897372903424527040800	274779310232000077004228310	102	5181	41319
65	709107897372903424527040800	709107897372903424527040800	274779310232000077004228310	103	5117	41380
66	361645027660180746508790808	361645027660180746508790808	274779310232000077004228310	103	5108	40822
67	361645027660180746508790808	361645027660180746508790808	274779310232000077004228310	103	5151	43370
68	14182157947458068490540816	14182157947458068490540816	3652980077375563096048392	101	5196	40473
69	14182157947458068490540816	14182157947458068490540816	3652980077375563096048392	102	5227	40470
70	14182157947458068490540816	14182157947458068490540816	3652980077375563096048392	101	5076	40486
71	14182157947458068490540816	14182157947458068490540816	3652980077375563096048392	101	5117	40281
72	10672431990763900025710008	10672431990763900025710008	3652980077375563096048392	103	4910	40640
73	10672431990763900025710008	10672431990763900025710008	3652980077375563096048392	102	4907	40441
74	7162706034069731560879200	7162706034069731560879200	3652980077375563096048392	102	4760	71340
75	7162706034069731560879200	7162706034069731560879200	3652980077375563096048392	127	4901	39969
76	3652980077375563096048392	3652980077375563096048392	3652980077375563096048392	114	4775	39727
77	3652980077375563096048392	3652980077375563096048392	3652980077375563096048392	135	4648	40031
78	143254120681394631217584	143254120681394631217584	45761732995445507194506	124	4822	40096
79	143254120681394631217584	143254120681394631217584	45761732995445507194506	108	4763	39789
80	13760933674260616398303263223984	13760933674260616398303263223984	6038137066308213976000134339294	105	6886	50065
81	13760933674260616398303263223984	13760933674260616398303263223984	6038137066308213976000134339294	127	6561	46698
82	10355450088206221431046395052392	10355450088206221431046395052392	6038137066308213976000134339294	102	6503	44330
83	10355450088206221431046395052392	9504079191692622689232178009494	3449013956329071241319827686804	102	6531	43387
84	6949966502151826463789526880800	6949966502151826463789526880800	3449013956329071241319827686804	102	6299	42991
85	6949966502151826463789526880800	3544482916097431496532658709208	912362180011661509248561834204	102	6406	42961
86	3544482916097431496532658709208	3544482916097431496532658709208	3449013956329071241319827686804	103	6306	51701
87	3544482916097431496532658709208	1841741123070234012904224623412	912362180011661509248561834204	122	6300	42371
88	138999330043036529275790537616	138999330043036529275790537616	95650704751906854566665228008	109	6125	42229
89	138999330043036529275790537616	138999330043036529275790537616	95650704751906854566665228008	103	6245	42090
90	138999330043036529275790537616	138999330043036529275790537616	95650704751906854566665228008	102	6077	42041
91	138999330043036529275790537616	138999330043036529275790537616	95650704751906854566665228008	102	6132	42134
92	104600505941476984151983788408	104600505941476984151983788408	78540790713022783300615039008	102	6081	42570
93	104600505941476984151983788408	96000799916087097871032101106	52652174624957423161906791498	102	6065	42591
94	70201681839917439028177039200	70201681839917439028177039200	52652174624957423161906791498	103	6014	42031
95	70201681839917439028177039200	35802857738357893904370289992	17815485621467275263260392698	117	6015	42119
96	35802857738357893904370289992	35802857738357893904370289992	35452762574177650600003416894	101	5887	42059
97	35802857738357893904370289992	18603445687578121342466915388	17551316341804063067088542208	109	5782	41527
98	1404033636798348780563540784	1404033636798348780563540784	1143436484513806772049853290	103	5814	41273
99	1404033636798348780563540784	1404033636798348780563540784	1143436484513806772049853290	109	5756	41159
100	1404033636798348780563540784	1404033636798348780563540784	1143436484513806772049853290	102	5680	41062
101	1404033636798348780563540784	1404033636798348780563540784	1143436484513806772049853290	102	5615	41194
102	1056570767085626102545290792	1056570767085626102545290792	880207037761744137187542690	102	5746	42115
103	1056570767085626102545290792	969705049657445433040728294	618705865155023327705641200	103	5689	41749
104	709107897372903424527040800	709107897372903424527040800	618705865155023327705641200	103	5633	41246
105	709107897372903424527040800	361645027660180746508790808	266820117645021833779920000	103	5609	43588
106	361645027660180746508790808	361645027660180746508790808	361645027660180746508790808	102	5677	40879
107	361645027660180746508790808	187913592803819407499665812	179103557560672881011156094	104	5451	40638
108	14182157947458068490540816	14182157947458068490540816	12427294969110984258125412	103	5410	40371
109	14182157947458068490540816	14182157947458068490540816	12427294969110984258125412	102	5323	40201
