id	ind	cr	ac	ind_ns	cr_ns	ac_ns
110	14182157947458068490540816	14182157947458068490540816	12427294969110984258125412	103	5349	40092
111	14182157947458068490540816	14182157947458068490540816	12427294969110984258125412	102	5267	40019
112	10672431990763900025710008	10672431990763900025710008	9768411668585099057496012	102	5326	41165
113	10672431990763900025710008	9795000501590357909502306	7126985682658626234446502	102	5269	40717
114	7162706034069731560879200	7162706034069731560879200	7126985682658626234446502	114	5148	43039
115	7162706034069731560879200	3652980077375563096048392	2730873054896174354512698	116	5201	40496
116	3652980077375563096048392	3652980077375563096048392	3617438775344964563231898	99	5157	40323
117	3652980077375563096048392	1898117099028478863632988	1827213544347788591616204	97	4913	39863
118	143254120681394631217584	143254120681394631217584	134391176346308347215486	103	5008	39497
119	143254120681394631217584	143254120681394631217584	134391176346308347215486	116	4867	41289
120	13760933674260616398303263223984	13760933674260616398303263223984	6037961571147434932490608796796	118	9377	46767
121	13760933674260616398303263223984	13760933674260616398303263223984	6037961571147434932490608796796	116	6393	44928
122	10355450088206221431046395052392	10355450088206221431046395052392	3466564367564353435987066148502	101	6431	43946
123	10355450088206221431046395052392	8652708295179023947417960966596	3466564367564353435987066148502	103	6329	43481
124	6949966502151826463789526880800	6949966502151826463789526880800	3466564367564353435987066148502	103	6228	49893
125	6949966502151826463789526880800	3544482916097431496532658709208	912360407333269801738364606502	128	6424	45754
126	3544482916097431496532658709208	3544482916097431496532658709208	1755043872487974663485974004196	122	6112	42985
127	3544482916097431496532658709208	1841741123070234012904224623412	886386698206167968440349024196	102	6122	42861
128	138999330043036529275790537616	138999330043036529275790537616	87226485024351676708955081106	116	6058	42575
129	138999330043036529275790537616	138999330043036529275790537616	87226485024351676708955081106	117	6053	42690
130	138999330043036529275790537616	138999330043036529275790537616	87226485024351676708955081106	116	5999	42665
131	138999330043036529275790537616	138999330043036529275790537616	87226485024351676708955081106	103	5953	42471
132	104600505941476984151983788408	104600505941476984151983788408	61515110097099372077720789400	102	5993	42835
133	104600505941476984151983788408	87401093890697211590080413804	52302079460777179857539918400	102	5932	42856
134	70201681839917439028177039200	70201681839917439028177039200	52302079460777179857539918400	102	5966	42213
135	70201681839917439028177039200	35802857738357893904370289992	17815467715624934783359410600	102	5933	42553
136	35802857738357893904370289992	35802857738357893904370289992	26327421909106802073739303506	102	5778	42168
137	35802857738357893904370289992	18603445687578121342466915388	9480781631696468873971435596	102	5783	41955
138	1404033636798348780563540784	1404033636798348780563540784	1056570767085626102545290792	114	5673	41939
139	1404033636798348780563540784	1404033636798348780563540784	1056570767085626102545290792	101	5663	41896
140	1404033636798348780563540784	1404033636798348780563540784	1056570767085626102545290792	101	5667	41776
141	1404033636798348780563540784	1404033636798348780563540784	1056570767085626102545290792	99	5624	41774
142	1056570767085626102545290792	1056570767085626102545290792	795973614801084094031603298	102	5692	41983
143	1056570767085626102545290792	882839332229264763536165796	615169550365323900388804098	101	5676	41918
144	709107897372903424527040800	709107897372903424527040800	615169550365323900388804098	101	5510	41910
145	709107897372903424527040800	361645027660180746508790808	266819936777927485498091898	102	6084	42666
146	361645027660180746508790808	361645027660180746508790808	352799272065623114693848392	102	5608	41525
147	361645027660180746508790808	187913592803819407499665812	179067837209261775684723396	102	5517	41087
148	14182157947458068490540816	14182157947458068490540816	11549863479937442141917710	102	5368	40953
149	14182157947458068490540816	14182157947458068490540816	11549863479937442141917710	100	5336	40795
150	14182157947458068490540816	14182157947458068490540816	11549863479937442141917710	117	5247	40568
151	14182157947458068490540816	14182157947458068490540816	11549863479937442141917710	85	5253	40824
152	10672431990763900025710008	10672431990763900025710008	8917569012416815793294604	90	5232	41118
153	10672431990763900025710008	8917569012416815793294604	6276411600561103160669400	102	5183	40888
154	7162706034069731560879200	7162706034069731560879200	6276411600561103160669400	102	5126	40554
155	7162706034069731560879200	3652980077375563096048392	2722190968521195942850200	103	5129	40442
156	3652980077375563096048392	3652980077375563096048392	3590939467029959108033706	118	5057	45597
157	3652980077375563096048392	1898117099028478863632988	1836076488682874875618302	128	5023	40248
158	143254120681394631217584	143254120681394631217584	125528232011222063213388	109	4991	39857
159	143254120681394631217584	143254120681394631217584	125528232011222063213388	103	5016	39627
160	13760933674260616398303263223984	13760933674260616398303263223984	4343906349863055515812630960800	103	6744	47027
161	13760933674260616398303263223984	13760933674260616398303263223984	4343906349863055515812630960800	103	6610	44595
162	10355450088206221431046395052392	10355450088206221431046395052392	4343906349863055515812630960800	102	6426	43559
163	10355450088206221431046395052392	8652708295179023947417960966596	4343906349863055515812630960800	102	6481	42685
164	6949966502151826463789526880800	6949966502151826463789526880800	4343906349863055515812630960800	102	6278	44696
165	6949966502151826463789526880800	2693112019583832754718441666310	895248738431407383388082002098	103	6441	41971
166	3544482916097431496532658709208	3544482916097431496532658709208	2623876515252202706528875712298	102	6222	41746
167	3544482916097431496532658709208	2693112019583832754718441666310	895248738431407383388082002098	103	6140	41365
168	138999330043036529275790537616	138999330043036529275790537616	61340501230753837196595456702	101	6136	41469
169	138999330043036529275790537616	138999330043036529275790537616	61340501230753837196595456702	102	6129	41198
170	138999330043036529275790537616	138999330043036529275790537616	61340501230753837196595456702	102	6113	41202
171	138999330043036529275790537616	138999330043036529275790537616	61340501230753837196595456702	102	6099	41366
172	104600505941476984151983788408	104600505941476984151983788408	61340501230753837196595456702	102	6078	42046
173	104600505941476984151983788408	87401093890697211590080413804	61164119686016594805272896302	103	6099	41636
174	70201681839917439028177039200	70201681839917439028177039200	61164119686016594805272896302	102	5911	40971
175	70201681839917439028177039200	27203151712968007623418602690	17642622575202082072750495404	102	5886	41060
176	35802857738357893904370289992	35802857738357893904370289992	35103509209755570185283765204	102	5812	40837
177	35802857738357893904370289992	27203151712968007623418602690	17642622575202082072750495404	103	5745	40577
178	1404033636798348780563540784	1404033636798348780563540784	881961900740091221419958094	102	5606	40214
179	1404033636798348780563540784	1404033636798348780563540784	881961900740091221419958094	103	5610	40232
180	1404033636798348780563540784	1404033636798348780563540784	881961900740091221419958094	116	5675	40058
181	1404033636798348780563540784	1404033636798348780563540784	881961900740091221419958094	103	5531	40164
182	1056570767085626102545290792	1056570767085626102545290792	794209888878401923515185796	103	5666	41314
183	1056570767085626102545290792	882839332229264763536165796	704685108196025061477015996	102	5703	40822
184	709107897372903424527040800	709107897372903424527040800	704685108196025061477015996	102	5537	41737
185	709107897372903424527040800	274779310232000077004228310	179990031043562016204982098	102	6083	40268
186	361645027660180746508790808	361645027660180746508790808	356362623311779067846732298	107	5496	39670
187	361645027660180746508790808	274779310232000077004228310	179990031043562016204982098	103	5557	39625
188	14182157947458068490540816	14182157947458068490540816	10672431990763900025710008	102	5288	39205
189	14182157947458068490540816	14182157947458068490540816	10672431990763900025710008	103	5315	44206
190	14182157947458068490540816	14182157947458068490540816	10672431990763900025710008	137	5295	39121
191	14182157947458068490540816	14182157947458068490540816	10672431990763900025710008	116	5181	39065
192	10672431990763900025710008	10672431990763900025710008	8899753599056389828482306	103	5265	40597
193	10672431990763900025710008	8917569012416815793294604	7995462885092987181632106	125	5259	39838
194	7162706034069731560879200	7162706034069731560879200	7144890620709305596066902	117	5143	41801
195	7162706034069731560879200	2775548588202020979840690	2695330830215029408716204	115	5062	38620
196	3652980077375563096048392	3652980077375563096048392	3617528300035217960040000	103	5051	38560
197	3652980077375563096048392	2775548588202020979840690	2695330830215029408716204	102	5001	38071
198	143254120681394631217584	143254120681394631217584	116665287676135779211290	102	5034	37894
199	143254120681394631217584	143254120681394631217584	116665287676135779211290	103	4783	37614
200	13760933674260616398303263223984	13760933674260616398303263223984	4343907236157489024441031170600	101	6617	74468
201	13760933674260616398303263223984	13760933674260616398303263223984	4343907236157489024441031170600	116	6514	44468
202	10355450088206221431046395052392	10355450088206221431046395052392	4343907236157489024441031170600	100	6395	43249
203	10355450088206221431046395052392	7801337398665425205603743923698	2624052010502506440291798062898	102	6281	42443
204	6949966502151826463789526880800	6949966502151826463789526880800	2624052010502506440291798062898	101	6268	44729
205	6949966502151826463789526880800	2693112019583832754718441666310	895248747383876408727762812298	102	6232	41678
206	3544482916097431496532658709208	3544482916097431496532658709208	2589041598747150595833093563298	101	6080	43071
207	3544482916097431496532658709208	1841741123070234012904224623412	895248747383876408727762812298	124	6570	41463
208	138999330043036529275790537616	138999330043036529275790537616	61339614936320328568195246902	91	6175	41346
209	138999330043036529275790537616	138999330043036529275790537616	61339614936320328568195246902	115	6057	41240
210	138999330043036529275790537616	138999330043036529275790537616	61339614936320328568195246902	103	15438	41625
211	138999330043036529275790537616	138999330043036529275790537616	61339614936320328568195246902	128	6057	41032
212	104600505941476984151983788408	104600505941476984151983788408	61339614936320328568195246902	117	5999	41579
213	104600505941476984151983788408	78801387865307325309128726502	52478425374687701396932854204	108	5950	41315
214	70201681839917439028177039200	70201681839917439028177039200	52478425374687701396932854204	102	5854	40967
215	70201681839917439028177039200	27203151712968007623418602690	17642622665631062126686665204	102	5834	40787
216	35802857738357893904370289992	35802857738357893904370289992	26592441581089861884573229800	101	5794	40425
217	35802857738357893904370289992	18603445687578121342466915388	9219298095453727983660730200	102	5728	40455
218	1404033636798348780563540784	1404033636798348780563540784	881075606306582593019748294	103	5782	40310
219	1404033636798348780563540784	1404033636798348780563540784	881075606306582593019748294	102	5693	40131
220	1404033636798348780563540784	1404033636798348780563540784	881075606306582593019748294	100	5675	40187
221	1404033636798348780563540784	1404033636798348780563540784	881075606306582593019748294	102	5722	45819
222	1056570767085626102545290792	1056570767085626102545290792	706457787492022372213605396	137	5716	41076
223	1056570767085626102545290792	795973614801084094031603298	616950822223005936140247894	116	5655	43449
224	709107897372903424527040800	709107897372903424527040800	616950822223005936140247894	115	5553	40128
225	709107897372903424527040800	274779310232000077004228310	179989940614581962268812298	117	5552	39808
226	361645027660180746508790808	361645027660180746508790808	352817264710650205964064996	103	5396	39663
227	361645027660180746508790808	187913592803819407499665812	179085829854288866954940000	103	5335	39318
228	14182157947458068490540816	14182157947458068490540816	10672431990763900025710008	126	5461	39144
229	14182157947458068490540816	14182157947458068490540816	10672431990763900025710008	101	5347	39055
230	14182157947458068490540816	14182157947458068490540816	10672431990763900025710008	102	5208	39141
231	14182157947458068490540816	14182157947458068490540816	10672431990763900025710008	103	5375	38910
232	10672431990763900025710008	10672431990763900025710008	8013368736567707492102706	102	5285	40038
233	10672431990763900025710008	8040137523243273677086902	7109257976274612178230408	116	5289	39845
234	7162706034069731560879200	7162706034069731560879200	7109257976274612178230408	104	5058	38765
235	7162706034069731560879200	2775548588202020979840690	1844759479347653826642498	115	5105	38698
236	3652980077375563096048392	3652980077375563096048392	3599622457694738059057902	113	4991	38532
237	3652980077375563096048392	1898117099028478863632988	1844759479347653826642498	114	4970	38287
238	143254120681394631217584	143254120681394631217584	116665287676135779211290	114	5008	37942
239	143254120681394631217584	143254120681394631217584	116665287676135779211290	114	4775	37755
240	13760933674260616398303263223984	13760933674260616398303263223984	4317932622920540322088650566196	123	6574	45302
241	13760933674260616398303263223984	13760933674260616398303263223984	4317932622920540322088650566196	114	6460	43354
242	10355450088206221431046395052392	10355450088206221431046395052392	3475162309863820640097501418302	115	6278	43100
243	10355450088206221431046395052392	8652708295179023947417960966596	3475162309863820640097501418302	114	6314	43022
244	6949966502151826463789526880800	6949966502151826463789526880800	3475162309863820640097501418302	125	6685	42963
245	6949966502151826463789526880800	2693112019583832754718441666310	894986377553200159209051897102	114	6159	42149
246	3544482916097431496532658709208	3544482916097431496532658709208	2615101322928978111824682484596	111	6118	41845
247	3544482916097431496532658709208	1841741123070234012904224623412	886473546108182788683888774396	114	6096	41404
248	138999330043036529275790537616	138999330043036529275790537616	69853341538715542808042581506	113	6080	41503
249	138999330043036529275790537616	138999330043036529275790537616	69853341538715542808042581506	115	5940	41161
250	138999330043036529275790537616	138999330043036529275790537616	69853341538715542808042581506	115	5924	41149
251	138999330043036529275790537616	138999330043036529275790537616	69853341538715542808042581506	114	5991	41181
252	104600505941476984151983788408	104600505941476984151983788408	52740795205363950915643769400	113	5890	41583
253	104600505941476984151983788408	87401093890697211590080413804	52479311758645900278729872106	114	5905	41419
254	70201681839917439028177039200	70201681839917439028177039200	52388927362792000101079668600	114	5718	48321
255	70201681839917439028177039200	27203151712968007623418602690	17639972465321201020437060000	128	5937	41870
256	35802857738357893904370289992	35802857738357893904370289992	35014870903460372258978783106	130	5747	41517
257	35802857738357893904370289992	18603445687578121342466915388	9132441330494572653836977902	116	5609	41631
258	1404033636798348780563540784	1404033636798348780563540784	968827618168271890924520592	116	5599	41147
259	1404033636798348780563540784	1404033636798348780563540784	968827618168271890924520592	115	5520	40922
260	1404033636798348780563540784	1404033636798348780563540784	968827618168271890924520592	116	5602	40846
261	1404033636798348780563540784	1404033636798348780563540784	968827618168271890924520592	123	5753	40963
262	1056570767085626102545290792	1056570767085626102545290792	707344171450221254010623298	117	5533	41408
263	1056570767085626102545290792	882839332229264763536165796	616959775596321076360419792	125	5543	44638
264	709107897372903424527040800	709107897372903424527040800	616046801900827135172033898	116	5467	40936
265	709107897372903424527040800	274779310232000077004228310	180858599588400472037187702	118	5618	40705
266	361645027660180746508790808	361645027660180746508790808	355485191822605525730524596	116	5440	40597
267	361645027660180746508790808	187913592803819407499665812	179076698335883020480513596	121	5265	40180
268	14182157947458068490540816	14182157947458068490540816	11549863479937442141917710	115	5252	40053
269	14182157947458068490540816	14182157947458068490540816	11549863479937442141917710	117	5241	39722
270	14182157947458068490540816	14182157947458068490540816	11549863479937442141917710	119	5325	39796
271	14182157947458068490540816	14182157947458068490540816	11549863479937442141917710	116	5240	39789
272	10672431990763900025710008	10672431990763900025710008	8022322109882847712274604	115	5133	40654
273	10672431990763900025710008	8917569012416815793294604	7109348414388906523888710	117	5188	40482
274	7162706034069731560879200	7162706034069731560879200	7100126457868765703804004	117	5163	40032
275	7162706034069731560879200	2775548588202020979840690	1853712852662794046814396	119	5120	41992
276	3652980077375563096048392	3652980077375563096048392	3608665355700131676037902	115	5074	39160
277	3652980077375563096048392	1898117099028478863632988	1827033590677481258638302	103	4974	38639
278	143254120681394631217584	143254120681394631217584	125528232011222063213388	102	4853	38522
279	143254120681394631217584	143254120681394631217584	125528232011222063213388	102	4772	38151
280	13760933674260616398303263223984	13760933674260616398303263223984	7766676213685658436300907069494	104	6543	46332
281	13760933674260616398303263223984	13760933674260616398303263223984	7766676213685658436300907069494	115	13772	42637
282	10355450088206221431046395052392	10355450088206221431046395052392	7766676213685658436300907069494	116	6395	41746
283	10355450088206221431046395052392	7801337398665425205603743923698	1789792773938301091488182814204	103	6459	44138
284	6949966502151826463789526880800	6949966502151826463789526880800	1789792773938301091488182814204	102	6290	40772
285	6949966502151826463789526880800	3544482916097431496532658709208	929822171399312463393014084004	103	6232	40555
286	3544482916097431496532658709208	3544482916097431496532658709208	1789792773938301091488182814204	101	6196	40786
287	3544482916097431496532658709208	2693112019583832754718441666310	929822171399312463393014084004	103	6098	40502
288	138999330043036529275790537616	138999330043036529275790537616	95826191049741562989906768408	102	6139	40296
289	138999330043036529275790537616	138999330043036529275790537616	95826191049741562989906768408	109	6036	40146
290	138999330043036529275790537616	138999330043036529275790537616	95826191049741562989906768408	101	5931	40352
291	138999330043036529275790537616	138999330043036529275790537616	95826191049741562989906768408	102	6002	40095
292	104600505941476984151983788408	104600505941476984151983788408	87050980911103607859748728408	104	5994	47243
293	104600505941476984151983788408	78801387865307325309128726502	26678420913655553871741412698	126	6135	40602
294	70201681839917439028177039200	70201681839917439028177039200	26678420913655553871741412698	116	5966	40120
295	70201681839917439028177039200	35802857738357893904370289992	17991849170837486921285162898	103	5836	39840
296	35802857738357893904370289992	35802857738357893904370289992	26678420913655553871741412698	103	5866	39820
297	35802857738357893904370289992	27203151712968007623418602690	17991849170837486921285162898	102	5815	39827
298	1404033636798348780563540784	1404033636798348780563540784	1143436484513806772049853290	102	5690	39696
299	1404033636798348780563540784	1404033636798348780563540784	1143436484513806772049853290	103	5702	39465
300	1404033636798348780563540784	1404033636798348780563540784	1143436484513806772049853290	103	5631	39787
301	1404033636798348780563540784	1404033636798348780563540784	1143436484513806772049853290	102	5672	39393
302	1056570767085626102545290792	1056570767085626102545290792	966168554914075698390913290	102	5671	40146
303	1056570767085626102545290792	795973614801084094031603298	356344716556014546996900000	103	5738	42471
304	709107897372903424527040800	709107897372903424527040800	356344716556014546996900000	103	5526	39256
305	709107897372903424527040800	361645027660180746508790808	268601567638660335376129800	103	5541	39062
306	361645027660180746508790808	361645027660180746508790808	356344716556014546996900000	102	5502	38825
307	361645027660180746508790808	274779310232000077004228310	268601567638660335376129800	103	5395	38957
308	14182157947458068490540816	14182157947458068490540816	12427294969110984258125412	102	5427	38456
309	14182157947458068490540816	14182157947458068490540816	12427294969110984258125412	102	5343	38341
310	14182157947458068490540816	14182157947458068490540816	12427294969110984258125412	115	5337	38334
311	14182157947458068490540816	14182157947458068490540816	12427294969110984258125412	102	5318	38373
312	10672431990763900025710008	10672431990763900025710008	9777185088229931944690008	102	5305	39516
313	10672431990763900025710008	8040137523243273677086902	4476873070547426429307702	102	5323	38763
314	7162706034069731560879200	7162706034069731560879200	4476873070547426429307702	103	5129	38253
315	7162706034069731560879200	3652980077375563096048392	3590578637038798029097902	103	5179	37903
316	3652980077375563096048392	3652980077375563096048392	3617348346364910627062098	101	5048	37662
317	3652980077375563096048392	2775548588202020979840690	2731053912856282226852298	102	4943	37215
318	143254120681394631217584	143254120681394631217584	134391176346308347215486	101	4968	36931
319	143254120681394631217584	143254120681394631217584	134391176346308347215486	111	4825	36963
320	13760933674260616398303263223984	13760933674260616398303263223984	5203876952402044143907799691000	99	6599	46020
321	13760933674260616398303263223984	13760933674260616398303263223984	5203876952402044143907799691000	102	6586	44086
322	10355450088206221431046395052392	10355450088206221431046395052392	5203876952402044143907799691000	103	6327	42870
323	10355450088206221431046395052392	8652708295179023947417960966596	5203876952402044143907799691000	102	6291	42211
324	6949966502151826463789526880800	6949966502151826463789526880800	3483847117791191334624044442498	102	6301	44569
325	6949966502151826463789526880800	2693112019583832754718441666310	903935310174225450338538251898	101	6303	41888
326	3544482916097431496532658709208	3544482916097431496532658709208	3483847117791191334624044442498	117	6202	48818
327	3544482916097431496532658709208	1841741123070234012904224623412	903935310174225450338538251898	125	6109	41355
328	138999330043036529275790537616	138999330043036529275790537616	70027072973571904147051706502	109	6059	41110
329	138999330043036529275790537616	138999330043036529275790537616	70027072973571904147051706502	102	5988	40807
