case,n,family,schedule,p_s,ind_q_hist,ind_total_ns,cr_q_hist,cr_total_ns,ac_q_hist,ac_total_ns,fast_q_hist,fast_total_ns,work_ratio_ind_over_ac,work_ratio_ind_over_fast,time_ratio_ac_over_ind,time_ratio_fast_over_ind
18,16,random_systematic_linear,even_odd,0.01,30,2419,28,61669,22,241380,24,162466,1.3636363636363635,1.25,99.78503513848698,67.16246382802811
19,16,random_systematic_linear,even_odd,0.01,32,2527,32,72355,28,512584,32,203058,1.1428571428571428,1.0,202.8428967154729,80.35536208943411
20,16,random_systematic_linear,even_odd,0.05,29,3073,27,57582,23,373449,24,202992,1.2608695652173914,1.2083333333333333,121.52587048486821,66.05662219329645
21,16,random_systematic_linear,even_odd,0.05,507,12585,502,41236,502,367531,502,158979,1.0099601593625498,1.0099601593625498,29.203893524036552,12.632419547079857
22,16,random_systematic_linear,even_odd,0.05,32,2984,32,73366,27,595983,32,240237,1.1851851851851851,1.0,199.72620643431637,80.50837801608579
23,16,random_systematic_linear,even_odd,0.05,509,15075,507,63544,503,418688,504,227414,1.0119284294234592,1.0099206349206349,27.773665008291875,15.085505804311774
24,16,random_systematic_linear,forward,0.01,31,1693,31,1028,30,47680,31,1008,1.0333333333333334,1.0,28.163024217365624,0.5953927938570585
25,16,random_systematic_linear,forward,0.01,30,2570,30,3216,29,597248,30,172676,1.0344827586206897,1.0,232.39221789883268,67.18910505836575
26,16,random_systematic_linear,forward,0.01,30,2677,30,2528,27,433507,30,133169,1.1111111111111112,1.0,161.9376167351513,49.74561075831154
27,16,random_systematic_linear,forward,0.01,32,2452,32,2579,31,539816,32,91937,1.032258064516129,1.0,220.15334420880913,37.49469820554649
28,16,random_systematic_linear,forward,0.05,29,2683,29,2627,29,550429,29,164528,1.0,1.0,205.15430488259412,61.32240029817368
29,16,random_systematic_linear,forward,0.05,507,11664,507,15107,506,541432,507,171118,1.0019762845849802,1.0,46.41906721536351,14.670610425240055
30,16,random_systematic_linear,forward,0.05,32,2855,32,3202,31,692934,32,172823,1.032258064516129,1.0,242.70893169877408,60.533450087565676
31,16,random_systematic_linear,forward,0.05,509,14185,509,12548,509,585046,509,186812,1.0,1.0,41.243990130419455,13.169686288332747
32,16,crc_defined_linear,even_odd,0.01,31,3294,30,83067,22,334052,24,207892,1.4090909090909092,1.2916666666666667,101.41226472374014,63.11232544019429
33,16,crc_defined_linear,even_odd,0.01,29,2663,25,48724,19,184164,20,139037,1.5263157894736843,1.45,69.15659031167856,52.21066466391288
34,16,crc_defined_linear,even_odd,0.01,30,2832,26,51311,20,227959,20,136431,1.5,1.5,80.49399717514125,48.17478813559322
35,16,crc_defined_linear,even_odd,0.01,31,2582,29,61134,23,237603,24,118308,1.3478260869565217,1.2916666666666667,92.02285050348567,45.82029434546863
36,16,crc_defined_linear,even_odd,0.05,32,2960,32,46550,30,376791,32,86015,1.0666666666666667,1.0,127.29425675675675,29.05912162162162
37,16,crc_defined_linear,even_odd,0.05,29,2709,24,41279,20,239570,20,142438,1.45,1.45,88.43484680693983,52.579549649317094
38,16,crc_defined_linear,even_odd,0.05,32,3190,32,73925,31,718294,32,238973,1.032258064516129,1.0,225.1705329153605,74.91316614420063
39,16,crc_defined_linear,even_odd,0.05,29,2519,24,39821,22,310462,24,166599,1.3181818181818181,1.2083333333333333,123.24811433108377,66.13695911075824
40,16,crc_defined_linear,forward,0.01,31,3235,31,3415,27,501701,31,168153,1.1481481481481481,1.0,155.0853168469861,51.97928902627512
41,16,crc_defined_linear,forward,0.01,29,2553,29,2901,20,212249,20,120916,1.45,1.45,83.13709361535449,47.36231884057971
42,16,crc_defined_linear,forward,0.01,30,2973,30,2828,23,327771,24,164247,1.3043478260869565,1.25,110.24924318869829,55.24621594349142
43,16,crc_defined_linear,forward,0.01,31,2231,31,2271,28,321674,31,45380,1.1071428571428572,1.0,144.18377409233528,20.34065441506051
44,16,crc_defined_linear,forward,0.05,32,1872,32,1606,30,130397,32,1622,1.0666666666666667,1.0,69.65651709401709,0.8664529914529915
45,16,crc_defined_linear,forward,0.05,29,2686,29,3072,22,303406,24,168962,1.3181818181818181,1.2083333333333333,112.95830230826508,62.90469099032018
46,16,crc_defined_linear,forward,0.05,32,3331,32,3246,31,646699,32,173533,1.032258064516129,1.0,194.14560192134493,52.096367457220055
47,16,crc_defined_linear,forward,0.05,29,2592,29,2767,26,444376,29,170239,1.1153846153846154,1.0,171.44135802469137,65.67862654320987
48,16,random_systematic_linear,even_odd,0.01,31,3251,26,52733,24,407085,24,208154,1.2916666666666667,1.2916666666666667,125.21839434020302,64.0276837896032
49,16,random_systematic_linear,even_odd,0.01,32,2803,32,73916,32,719590,32,234488,1.0,1.0,256.7213699607563,83.65608276846235
50,16,random_systematic_linear,even_odd,0.01,29,2842,24,40262,20,217106,20,134625,1.45,1.45,76.39197748064743,47.3698099929627
51,16,random_systematic_linear,even_odd,0.01,31,2081,26,28186,22,44769,24,57820,1.4090909090909092,1.2916666666666667,21.513214800576645,27.78471888515137
52,16,random_systematic_linear,even_odd,0.05,32,3466,32,79202,31,758093,32,239031,1.032258064516129,1.0,218.72273514137333,68.96451240623196
53,16,random_systematic_linear,even_odd,0.05,30,2955,28,64037,22,326344,24,204390,1.3636363636363635,1.25,110.43790186125212,69.16751269035532
54,16,random_systematic_linear,even_odd,0.05,28,2694,23,41887,21,266080,23,152689,1.3333333333333333,1.2173913043478262,98.76763177431329,56.67743132887899
55,16,random_systematic_linear,even_odd,0.05,508,15704,503,49746,502,422961,503,180734,1.0119521912350598,1.0099403578528827,26.933329088130414,11.508787570045849
56,16,random_systematic_linear,forward,0.01,31,3314,31,3271,31,617994,31,164382,1.0,1.0,186.47978273989136,49.60229330114665
57,16,random_systematic_linear,forward,0.01,32,2927,32,3288,32,651431,32,164574,1.0,1.0,222.55927570891697,56.22617014007516
58,16,random_systematic_linear,forward,0.01,29,2715,29,2939,22,279801,24,158170,1.3181818181818181,1.2083333333333333,103.05745856353592,58.25782688766114
59,16,random_systematic_linear,forward,0.01,31,1464,31,1405,26,40588,31,1909,1.1923076923076923,1.0,27.724043715846996,1.3039617486338797
60,16,random_systematic_linear,forward,0.05,32,3295,32,3495,31,675044,32,176346,1.032258064516129,1.0,204.86919575113808,53.51927162367223
61,16,random_systematic_linear,forward,0.05,30,2929,30,3796,27,499431,30,174016,1.1111111111111112,1.0,170.51246159098667,59.41140320928645
62,16,random_systematic_linear,forward,0.05,28,2432,28,2546,24,366319,24,157110,1.1666666666666667,1.1666666666666667,150.62458881578948,64.60115131578948
63,16,random_systematic_linear,forward,0.05,508,14447,508,12805,506,550606,508,187420,1.0039525691699605,1.0,38.11213400706029,12.972935557555202
64,24,crc_defined_linear,even_odd,0.01,46,6192,44,138476,35,239700,40,256001,1.3142857142857143,1.15,38.71124031007752,41.343830749354005
65,24,crc_defined_linear,even_odd,0.01,47,5747,42,227151,36,1839040,40,803772,1.3055555555555556,1.175,320.0,139.85940490690794
66,24,crc_defined_linear,even_odd,0.01,46,5608,44,241685,34,1433404,40,675740,1.3529411764705883,1.15,255.59985734664764,120.49572039942939
67,24,crc_defined_linear,even_odd,0.01,47,6363,42,230585,36,2164380,40,1007869,1.3055555555555556,1.175,340.15087223008015,158.3952538110954
68,24,crc_defined_linear,even_odd,0.05,1129,28804,1129,271033,40,2268386,40,641984,28.225,28.225,78.75246493542564,22.28801555339536
69,24,crc_defined_linear,even_odd,0.05,48,6330,48,269678,40,2894911,40,987029,1.2,1.2,457.33191153238545,155.92875197472353
70,24,crc_defined_linear,even_odd,0.05,1151,32008,1148,278918,1140,2393362,1144,985956,1.0096491228070175,1.006118881118881,74.77386903274181,30.80342414396401
71,24,crc_defined_linear,even_odd,0.05,1152,32780,1152,283364,1151,4259577,1152,1134682,1.000868809730669,1.0,129.94438682123246,34.6150701647346
72,24,crc_defined_linear,forward,0.01,46,6216,46,2012,45,172689,46,2388,1.0222222222222221,1.0,27.781370656370655,0.3841698841698842
73,24,crc_defined_linear,forward,0.01,47,5457,47,5965,46,3171578,47,602207,1.0217391304347827,1.0,581.1944291735385,110.35495693604544
74,24,crc_defined_linear,forward,0.01,46,4765,46,4842,43,2621285,46,480873,1.069767441860465,1.0,550.1122770199371,100.9177334732424
75,24,crc_defined_linear,forward,0.01,47,5894,47,5859,47,3585604,47,821865,1.0,1.0,608.3481506616898,139.44095690532745
76,24,crc_defined_linear,forward,0.05,1129,33497,1129,31363,46,2540777,48,476116,24.543478260869566,23.520833333333332,75.8508821685524,14.213690778278652
77,24,crc_defined_linear,forward,0.05,48,5769,48,7145,46,3685704,48,792297,1.0434782608695652,1.0,638.8809152366094,137.33697347893917
78,24,crc_defined_linear,forward,0.05,1151,32442,1151,29455,1150,3763391,1151,799882,1.0008695652173913,1.0,116.00366808458172,24.655754885642068
79,24,crc_defined_linear,forward,0.05,1152,31370,1152,28220,1151,3909654,1152,868497,1.000868809730669,1.0,124.63034746573159,27.685591329295505
80,24,random_systematic_linear,even_odd,0.01,48,9448,48,259103,48,3521874,48,742268,1.0,1.0,372.7639712108383,78.56350550381033
81,24,random_systematic_linear,even_odd,0.01,47,5355,43,235075,36,1851117,40,798843,1.3055555555555556,1.175,345.6801120448179,149.17703081232494
82,24,random_systematic_linear,even_odd,0.01,47,6117,47,266244,35,2034057,40,970266,1.3428571428571427,1.175,332.52525747915644,158.61794997547818
83,24,random_systematic_linear,even_odd,0.01,1150,32584,1146,243134,1140,2422173,1144,1052543,1.0087719298245614,1.0052447552447552,74.33626933464276,32.302449054750795
84,24,random_systematic_linear,even_odd,0.05,46,10206,45,254290,33,1903437,40,1001628,1.393939393939394,1.15,186.50176366843033,98.14109347442681
85,24,random_systematic_linear,even_odd,0.05,1151,32390,1149,272442,1142,2737797,1144,1006658,1.0078809106830122,1.006118881118881,84.5259956776783,31.079283729546155
86,24,random_systematic_linear,even_odd,0.05,48,6093,48,267498,36,2217674,40,953777,1.3333333333333333,1.2,363.9707861480387,156.5365173149516
87,24,random_systematic_linear,even_odd,0.05,1149,32129,1140,161485,1138,2040021,1140,822739,1.0096660808435853,1.0078947368421052,63.494693267764326,25.607364063618537
88,24,random_systematic_linear,forward,0.01,48,9144,48,5347,48,2980527,48,314136,1.0,1.0,325.9543963254593,34.354330708661415
89,24,random_systematic_linear,forward,0.01,47,5607,47,6268,47,3256274,47,611513,1.0,1.0,580.7515605493134,109.06242197253434
90,24,random_systematic_linear,forward,0.01,47,5552,47,5785,45,3451885,47,770729,1.0444444444444445,1.0,621.737211815562,138.82006484149855
91,24,random_systematic_linear,forward,0.01,1150,33208,1150,31070,1150,3761140,1150,883937,1.0,1.0,113.2600578173934,26.618194410985303
92,24,random_systematic_linear,forward,0.05,46,10410,46,6636,41,3051583,46,814836,1.1219512195121952,1.0,293.13957732949086,78.27435158501441
93,24,random_systematic_linear,forward,0.05,1151,31512,1151,30048,1150,3842709,1151,823813,1.0008695652173913,1.0,121.94430693069307,26.14283447575527
94,24,random_systematic_linear,forward,0.05,48,5789,48,6012,47,3670611,48,761400,1.0212765957446808,1.0,634.0665054413543,131.52530661599585
95,24,random_systematic_linear,forward,0.05,1149,32351,1149,28803,1146,3160316,1149,870008,1.0026178010471205,1.0,97.68835584680535,26.892769929832152
96,24,crc_defined_linear,even_odd,0.01,46,9931,41,206442,36,2244804,40,992385,1.2777777777777777,1.15,226.0400765280435,99.92800322223341
97,24,crc_defined_linear,even_odd,0.01,48,5283,48,217590,43,2375316,48,531878,1.1162790697674418,1.0,449.61499148211243,100.67726670452394
98,24,crc_defined_linear,even_odd,0.01,40,3621,34,76987,29,191319,32,224137,1.3793103448275863,1.25,52.83595691797846,61.899199116266225
99,24,crc_defined_linear,even_odd,0.01,48,6125,48,266041,46,3833360,48,1057213,1.0434782608695652,1.0,625.854693877551,172.60620408163265
100,24,crc_defined_linear,even_odd,0.05,47,6385,46,267062,32,1579380,32,749127,1.46875,1.46875,247.35787000783085,117.32607674236492
101,24,crc_defined_linear,even_odd,0.05,46,4182,46,180215,33,353837,40,431444,1.393939393939394,1.15,84.60951697752272,103.16690578670493
102,24,crc_defined_linear,even_odd,0.05,1147,31856,1140,161889,1136,1851972,1136,752363,1.0096830985915493,1.0096830985915493,58.13573581115018,23.617623053741838
103,24,crc_defined_linear,even_odd,0.05,1151,29690,1148,255568,1139,2269418,1144,986859,1.0105355575065846,1.006118881118881,76.43711687436847,33.238767261704275
104,24,crc_defined_linear,forward,0.01,46,6169,46,6103,46,3578564,46,824851,1.0,1.0,580.0881828497326,133.709029016048
105,24,crc_defined_linear,forward,0.01,48,4027,48,5099,47,2073204,48,160196,1.0212765957446808,1.0,514.8259250062081,39.780481748199655
106,24,crc_defined_linear,forward,0.01,40,2534,40,2534,33,179756,40,3831,1.2121212121212122,1.0,70.93764798737175,1.5118389897395421
107,24,crc_defined_linear,forward,0.01,48,5759,48,6032,47,3703941,48,794142,1.0212765957446808,1.0,643.1569716964751,137.89581524570238
108,24,crc_defined_linear,forward,0.05,47,6653,47,6267,38,2495941,40,821099,1.236842105263158,1.175,375.1602284683601,123.41785660604239
109,24,crc_defined_linear,forward,0.05,46,3079,46,4041,40,485844,40,161023,1.15,1.15,157.79278986683988,52.29717440727509
110,24,crc_defined_linear,forward,0.05,1147,30570,1147,28670,1143,2876412,1144,812068,1.0034995625546808,1.0026223776223777,94.09263984298332,26.56421328099444
111,24,crc_defined_linear,forward,0.05,1151,31202,1151,28089,1149,3670483,1151,834801,1.001740644038294,1.0,117.63614511890263,26.754727261073008
112,24,random_systematic_linear,even_odd,0.01,48,4538,48,135189,43,1263603,48,290938,1.1162790697674418,1.0,278.44931687968267,64.11150286469811
113,24,random_systematic_linear,even_odd,0.01,45,3454,37,58401,34,176016,37,52800,1.3235294117647058,1.2162162162162162,50.96004632310365,15.286624203821656
114,24,random_systematic_linear,even_odd,0.01,45,5767,40,192222,35,2095736,40,855182,1.2857142857142858,1.125,363.40142188312814,148.28888503554708
115,24,random_systematic_linear,even_odd,0.01,45,3378,40,76700,35,182414,40,82120,1.2857142857142858,1.125,54.00059206631143,24.310242747187687
116,24,random_systematic_linear,even_odd,0.05,1131,28373,1130,192167,45,1950488,48,482841,25.133333333333333,23.5625,68.74451062629966,17.017622387481055
117,24,random_systematic_linear,even_odd,0.05,1149,32651,1144,221804,1139,2426111,1144,869417,1.0087796312554873,1.0043706293706294,74.30433983645217,26.62757649076598
118,24,random_systematic_linear,even_odd,0.05,1144,28586,1137,123252,1137,1966528,1137,750686,1.0061565523306948,1.0061565523306948,68.79339536836214,26.260617085286505
119,24,random_systematic_linear,even_odd,0.05,48,6240,48,269091,34,1831111,40,1015013,1.411764705882353,1.2,293.44727564102567,162.66233974358974
120,24,random_systematic_linear,forward,0.01,48,6124,48,6038,47,3638439,48,650321,1.0212765957446808,1.0,594.1278576094056,106.19219464402352
121,24,random_systematic_linear,forward,0.01,45,1767,45,2784,43,162705,45,2265,1.0465116279069768,1.0,92.07979626485569,1.2818336162988115
122,24,random_systematic_linear,forward,0.01,45,5171,45,5170,44,3400099,45,791467,1.0227272727272727,1.0,657.5321988010056,153.05878940243667
123,24,random_systematic_linear,forward,0.01,45,1596,45,1545,45,1505,45,2161,1.0,1.0,0.9429824561403509,1.3540100250626566
124,24,random_systematic_linear,forward,0.05,1131,25996,1131,28744,47,533408,48,163321,24.06382978723404,23.5625,20.51884905370057,6.282543468225881
125,24,random_systematic_linear,forward,0.05,1149,33433,1149,31432,1148,3771042,1149,833476,1.0008710801393728,1.0,112.79400592229234,24.929740077169264
126,24,random_systematic_linear,forward,0.05,1144,28422,1144,26597,1144,2880935,1144,655200,1.0,1.0,101.36285271972416,23.05256491450285
127,24,random_systematic_linear,forward,0.05,48,6041,48,6005,43,3079645,48,828013,1.1162790697674418,1.0,509.7905975831816,137.06555206091707
128,32,crc_defined_linear,even_odd,0.01,62,9643,55,489191,47,5804411,48,1643304,1.3191489361702127,1.2916666666666667,601.9300010370217,170.41418645649694
129,32,crc_defined_linear,even_odd,0.01,61,8116,55,385315,40,508522,40,496765,1.525,1.525,62.65672745194677,61.2081074420897
130,32,crc_defined_linear,even_odd,0.01,57,7216,47,218425,39,485799,40,510808,1.4615384615384615,1.425,67.322477827051,70.78824833702882
131,32,crc_defined_linear,even_odd,0.01,2046,60511,2043,659181,2031,7767097,2032,2749363,1.0073855243722305,1.0068897637795275,128.35843069855068,45.43575548247426
132,32,crc_defined_linear,even_odd,0.05,2046,63104,2044,703915,2030,7607039,2032,2676931,1.0078817733990149,1.0068897637795275,120.5476514959432,42.420940035496955
133,32,crc_defined_linear,even_odd,0.05,2047,66073,2047,748990,2031,8362879,2032,2670379,1.0078778926637124,1.0073818897637796,126.5702934632906,40.41558579147307
134,32,crc_defined_linear,even_odd,0.05,31786,889128,31782,1745739,2048,15533140,2048,3446257,15.5205078125,15.5205078125,17.47008304766018,3.8759964819463564
135,32,crc_defined_linear,even_odd,0.05,31808,667943,31808,1375019,31806,16271428,31808,3734689,1.0000628812173804,1.0,24.36050381544533,5.591328900819382
136,32,crc_defined_linear,forward,0.01,62,9291,62,8190,61,9564286,62,832423,1.0163934426229508,1.0,1029.4140566139274,89.59455386933591
137,32,crc_defined_linear,forward,0.01,61,5589,61,6972,47,438900,48,438719,1.297872340425532,1.2708333333333333,78.52925389157274,78.49686884952585
138,32,crc_defined_linear,forward,0.01,57,5527,57,5398,44,444103,48,434149,1.2954545454545454,1.1875,80.35154695132984,78.5505699294373
139,32,crc_defined_linear,forward,0.01,2046,56660,2046,53783,2045,12859164,2046,2212089,1.0004889975550122,1.0,226.95312389692904,39.04145781856689
140,32,crc_defined_linear,forward,0.05,2046,59360,2046,56536,2042,11540960,2046,2148492,1.0019588638589618,1.0,194.4231805929919,36.19427223719676
141,32,crc_defined_linear,forward,0.05,2047,56271,2047,58284,2045,13373021,2047,2194271,1.0009779951100244,1.0,237.65387144354997,38.99470419932114
142,32,crc_defined_linear,forward,0.05,31786,788736,31786,640145,2048,14031505,2048,2621119,15.5205078125,15.5205078125,17.789862514199935,3.3231892547062643
143,32,crc_defined_linear,forward,0.05,31808,617236,31808,620711,31807,15059647,31808,2837448,1.0000314396202095,1.0,24.398523417299057,4.597022856735511
144,32,random_systematic_linear,even_odd,0.01,64,4894,64,64900,61,468183,64,48462,1.0491803278688525,1.0,95.6646914589293,9.90232938291786
145,32,random_systematic_linear,even_odd,0.01,64,7625,64,427144,59,7176570,64,844057,1.0847457627118644,1.0,941.1895081967214,110.696
146,32,random_systematic_linear,even_odd,0.01,64,2433,64,2381,64,3525,64,2861,1.0,1.0,1.4488286066584464,1.175914508836827
147,32,random_systematic_linear,even_odd,0.01,2046,57115,2043,641625,2032,7609524,2032,2566585,1.0068897637795275,1.0068897637795275,133.2316204149523,44.937144357874466
148,32,random_systematic_linear,even_odd,0.05,2027,60365,2023,856010,64,15287585,64,3248307,31.671875,31.671875,253.25246417626107,53.81109914685662
149,32,random_systematic_linear,even_odd,0.05,64,9859,64,684538,47,7099447,48,2471613,1.3617021276595744,1.3333333333333333,720.0980829698752,250.6961152246678
150,32,random_systematic_linear,even_odd,0.05,2047,58693,2046,712669,2031,7251971,2032,2569771,1.0078778926637124,1.0073818897637796,123.55768149523793,43.78326205850783
151,32,random_systematic_linear,even_odd,0.05,31805,653559,31799,1109529,31790,7789761,31792,3354299,1.0004718464926077,1.0004089079013587,11.91898665613969,5.13235836397326
152,32,random_systematic_linear,forward,0.01,64,5616,64,4690,63,2598563,64,5428,1.0158730158730158,1.0,462.7070868945869,0.9665242165242165
153,32,random_systematic_linear,forward,0.01,64,7238,64,5628,62,3300578,64,7933,1.032258064516129,1.0,456.0069079856314,1.0960210002763193
154,32,random_systematic_linear,forward,0.01,64,2705,64,2246,64,3325,64,2879,1.0,1.0,1.2292051756007394,1.0643253234750463
155,32,random_systematic_linear,forward,0.01,2046,62696,2046,54689,2046,12717666,2046,2195090,1.0,1.0,202.84652928416486,35.011643486027815
156,32,random_systematic_linear,forward,0.05,2027,60325,2027,57604,64,14121956,64,2591950,31.671875,31.671875,234.09790302527975,42.966431827600495
157,32,random_systematic_linear,forward,0.05,64,9531,64,11426,61,12645207,64,2106361,1.0491803278688525,1.0,1326.745042492918,221.00104920784807
158,32,random_systematic_linear,forward,0.05,2047,57061,2047,54973,2045,12928342,2047,2198417,1.0009779951100244,1.0,226.57054730902018,38.52748812674156
159,32,random_systematic_linear,forward,0.05,31805,628766,31805,635803,31803,13002714,31805,2979282,1.0000628871490111,1.0,20.679734591246984,4.738300098923924
160,32,crc_defined_linear,even_odd,0.01,62,10219,57,575081,46,6759675,48,2493349,1.3478260869565217,1.2916666666666667,661.4810646834328,243.99148644681475
161,32,crc_defined_linear,even_odd,0.01,2047,52860,2039,530259,2032,7969543,2032,2467738,1.0073818897637796,1.0073818897637796,150.76698827090428,46.68441165342414
162,32,crc_defined_linear,even_odd,0.01,2042,64552,2031,360025,2028,7938857,2031,2047280,1.0069033530571991,1.0054160512063024,122.98390444912629,31.71520634527203
163,32,crc_defined_linear,even_odd,0.01,2047,55631,2042,609567,2040,11381643,2042,2779305,1.0034313725490196,1.0024485798237022,204.5917384192267,49.9596448023584
164,32,crc_defined_linear,even_odd,0.05,2024,53324,2021,255803,59,920258,64,553488,34.30508474576271,31.625,17.25785762508439,10.379716450378817
165,32,crc_defined_linear,even_odd,0.05,2044,54129,2043,631925,2027,6394201,2032,2574801,1.00838677849038,1.0059055118110236,118.12893273476325,47.567865654270356
166,32,crc_defined_linear,even_odd,0.05,2047,56991,2045,675924,2032,8179933,2032,2569950,1.0073818897637796,1.0073818897637796,143.5302591637276,45.093962204558615
167,32,crc_defined_linear,even_odd,0.05,64,8098,64,503698,48,3554229,48,624271,1.3333333333333333,1.3333333333333333,438.9020745863176,77.08952827858731
168,32,crc_defined_linear,forward,0.01,62,9608,62,9515,58,11914572,62,2268437,1.0689655172413792,1.0,1240.0678601165696,236.09877185678602
169,32,crc_defined_linear,forward,0.01,2047,54408,2047,53141,2046,13240185,2047,2106039,1.0004887585532747,1.0,243.3499669166299,38.708259814733125
170,32,crc_defined_linear,forward,0.01,2042,53631,2042,52568,2038,11952857,2042,2191240,1.0019627085377822,1.0,222.8721634875352,40.85771288993306
171,32,crc_defined_linear,forward,0.01,2047,56693,2047,54256,2046,13633686,2047,2294614,1.0004887585532747,1.0,240.4827050958672,40.47437955303124
172,32,crc_defined_linear,forward,0.05,2024,52666,2024,51389,63,5177406,64,432752,32.12698412698413,31.625,98.30642160027342,8.216914138153648
173,32,crc_defined_linear,forward,0.05,2044,63168,2044,47844,2037,10877010,2044,2391823,1.0034364261168385,1.0,172.19177431610942,37.8644725177305
174,32,crc_defined_linear,forward,0.05,2047,55109,2047,52705,2046,14055523,2047,2212895,1.0004887585532747,1.0,255.049501896242,40.154874884320165
175,32,crc_defined_linear,forward,0.05,64,6048,64,5889,62,6326745,64,437131,1.032258064516129,1.0,1046.0887896825398,72.27695105820106
176,32,random_systematic_linear,even_odd,0.01,63,6805,57,231359,48,457853,48,459540,1.3125,1.3125,67.2818515797208,67.52975753122703
177,32,random_systematic_linear,even_odd,0.01,62,9360,59,603502,43,5666582,48,2473365,1.441860465116279,1.2916666666666667,605.4040598290599,264.24839743589746
178,32,random_systematic_linear,even_odd,0.01,60,8763,53,465910,43,5531590,48,2508696,1.3953488372093024,1.25,631.2438662558485,286.2827798699076
179,32,random_systematic_linear,even_odd,0.01,2045,61125,2040,605236,2031,7055449,2032,2917918,1.0068931560807484,1.0063976377952757,115.42656850715747,47.736899795501024
180,32,random_systematic_linear,even_odd,0.05,64,17615,64,686157,45,6446446,48,2556115,1.4222222222222223,1.3333333333333333,365.96344024978714,145.1101334090264
181,32,random_systematic_linear,even_odd,0.05,2048,57687,2048,698344,2032,7990113,2032,2495257,1.0078740157480315,1.0078740157480315,138.508034739196,43.255100802607174
182,32,random_systematic_linear,even_odd,0.05,2024,50815,2022,832522,51,9126286,64,3313559,39.68627450980392,31.625,179.59826822788546,65.20828495522976
183,32,random_systematic_linear,even_odd,0.05,2047,56159,2046,701795,2031,7286333,2032,2443163,1.0078778926637124,1.0073818897637796,129.7447069926459,43.50438932317171
184,32,random_systematic_linear,forward,0.01,63,11365,63,2984,63,2338,63,2201,1.0,1.0,0.20571931368235813,0.19366476022877255
185,32,random_systematic_linear,forward,0.01,62,8843,62,9931,53,9265970,62,2102772,1.169811320754717,1.0,1047.8310528101324,237.78943797353838
186,32,random_systematic_linear,forward,0.01,60,8433,60,8517,52,9021984,60,2134315,1.1538461538461537,1.0,1069.8427605834222,253.09083362978774
187,32,random_systematic_linear,forward,0.01,2045,56993,2045,53509,2044,11923871,2045,2172998,1.0004892367906066,1.0,209.21641254189112,38.12745424876739
188,32,random_systematic_linear,forward,0.05,64,16871,64,10070,57,11172260,64,2139364,1.1228070175438596,1.0,662.2168217651591,126.80718392507853
