case,n,family,schedule,p_s,ind_q_hist,ind_total_ns,cr_q_hist,cr_total_ns,ac_q_hist,ac_total_ns,fast_q_hist,fast_total_ns,work_ratio_ind_over_ac,work_ratio_ind_over_fast,time_ratio_ac_over_ind,time_ratio_fast_over_ind
0,16,crc_defined_linear,even_odd,0.01,31,5997,31,74490,23,275070,24,139584,1.3478260869565217,1.2916666666666667,45.86793396698349,23.275637818909455
1,16,crc_defined_linear,even_odd,0.01,28,2028,24,20089,22,56310,24,18204,1.2727272727272727,1.1666666666666667,27.766272189349113,8.976331360946746
2,16,crc_defined_linear,even_odd,0.01,29,2959,24,42378,22,363611,24,175162,1.3181818181818181,1.2083333333333333,122.8830686042582,59.196350118283206
3,16,crc_defined_linear,even_odd,0.01,30,2686,30,71204,22,287574,24,221815,1.3636363636363635,1.25,107.06403574087862,82.5819061801936
4,16,crc_defined_linear,even_odd,0.05,30,3256,24,43257,22,325233,24,163960,1.3636363636363635,1.25,99.887285012285,50.356265356265354
5,16,crc_defined_linear,even_odd,0.05,32,3125,32,79694,29,701029,32,244327,1.103448275862069,1.0,224.32928,78.18464
6,16,crc_defined_linear,even_odd,0.05,32,1695,32,38987,32,344013,32,80151,1.0,1.0,202.9575221238938,47.286725663716815
7,16,crc_defined_linear,even_odd,0.05,509,14011,504,47849,502,385116,504,187180,1.0139442231075697,1.0099206349206349,27.48668903004782,13.359503247448433
8,16,crc_defined_linear,forward,0.01,31,4802,31,5475,29,364199,31,41333,1.0689655172413792,1.0,75.84319033735943,8.607455226988755
9,16,crc_defined_linear,forward,0.01,28,2166,28,2644,27,423152,28,126304,1.037037037037037,1.0,195.36103416435827,58.312096029547554
10,16,crc_defined_linear,forward,0.01,29,2573,29,2675,27,510033,29,169763,1.0740740740740742,1.0,198.22502914885348,65.97862417411582
11,16,crc_defined_linear,forward,0.01,30,2827,30,2778,26,406414,30,177751,1.1538461538461537,1.0,143.76158471878315,62.87619384506544
12,16,crc_defined_linear,forward,0.05,30,3179,30,2960,26,437192,30,157713,1.1538461538461537,1.0,137.5250078641082,49.61088392576282
13,16,crc_defined_linear,forward,0.05,32,2968,32,3745,31,681809,32,172788,1.032258064516129,1.0,229.72001347708894,58.216981132075475
14,16,crc_defined_linear,forward,0.05,32,898,32,899,32,42201,32,1036,1.0,1.0,46.994432071269486,1.153674832962138
15,16,crc_defined_linear,forward,0.05,509,19248,509,12918,507,564110,509,196486,1.0039447731755424,1.0,29.30746051537822,10.208125519534496
16,16,random_systematic_linear,even_odd,0.01,31,2556,28,31012,24,51108,24,48185,1.2916666666666667,1.2916666666666667,19.995305164319248,18.85172143974961
17,16,random_systematic_linear,even_odd,0.01,30,2779,27,57922,23,377408,24,209107,1.3043478260869565,1.25,135.80712486505936,75.24541201871176
