id	first_codeword	ind_status	ind_complete	ind_decoded	ind_ties	ind_score	ind_bound	ind_q_hist	ind_q_disc	ind_q_code	ind_q_score	ind_frontier_updates	ind_bound_calls	ind_chain_calls	ind_uac_calls	ind_bound_ns	ind_total_ns	cr_status	cr_complete	cr_decoded	cr_ties	cr_score	cr_bound	cr_q_hist	cr_q_disc	cr_q_code	cr_q_score	cr_frontier_updates	cr_bound_calls	cr_chain_calls	cr_uac_calls	cr_bound_ns	cr_total_ns	ac_status	ac_complete	ac_decoded	ac_ties	ac_score	ac_bound	ac_q_hist	ac_q_disc	ac_q_code	ac_q_score	ac_frontier_updates	ac_bound_calls	ac_chain_calls	ac_uac_calls	ac_bound_ns	ac_total_ns	fast_status	fast_complete	fast_decoded	fast_ties	fast_score	fast_bound	fast_q_hist	fast_q_disc	fast_q_code	fast_q_score	fast_frontier_updates	fast_bound_calls	fast_chain_calls	fast_uac_calls	fast_bound_ns	fast_total_ns
10	0xc398	CERTIFIED	1	0xc398	0xc398	3483848013038093868592125462498	2693112019583832754718441666310	29	16	16	2	13	14	0	0	1424	2573	CERTIFIED	1	0xc398	0xc398	3483848013038093868592125462498	2693112019583832754718441666310	29	16	16	2	13	14	0	0	1611	2675	CERTIFIED	1	0xc398	0xc398	3483848013038093868592125462498	2606502485561657754252959811000	27	14	14	2	11	12	0	12	508565	510033	CERTIFIED	1	0xc398	0xc398	3483848013038093868592125462498	2693112019583832754718441666310	29	16	16	2	13	14	0	4	168431	169763
11	0x317	CERTIFIED	1	0x317	0x317	2588952951757864733127837557004	1841741123070234012904224623412	30	15	15	1	14	14	0	0	1356	2827	CERTIFIED	1	0x317	0x317	2588952951757864733127837557004	1841741123070234012904224623412	30	15	15	1	14	14	0	0	1691	2778	CERTIFIED	1	0x317	0x317	2588952951757864733127837557004	912361275812289949940800004004	26	11	11	1	10	10	0	10	405407	406414	CERTIFIED	1	0x317	0x317	2588952951757864733127837557004	1841741123070234012904224623412	30	15	15	1	14	14	0	4	175963	177751
12	0xdd51	CERTIFIED	1	0xdd51	0xdd51	47185783755522992782	41548347660709974292	30	17	17	2	14	15	0	0	1464	3179	CERTIFIED	1	0xdd51	0xdd51	47185783755522992782	41548347660709974292	30	17	17	2	14	15	0	0	1759	2960	CERTIFIED	1	0xdd51	0xdd51	47185783755522992782	46470883002699972796	26	16	16	2	10	11	0	11	435758	437192	CERTIFIED	1	0xdd51	0xdd51	47185783755522992782	41548347660709974292	30	17	17	2	14	15	0	4	156441	157713
13	0x85d0	CERTIFIED	1	0x85d0	0x85d0	18592311281191345276	12784106972526145936	32	17	17	2	16	17	0	0	1675	2968	CERTIFIED	1	0x85d0	0x85d0	18592311281191345276	12784106972526145936	32	17	17	2	16	17	0	0	2277	3745	CERTIFIED	1	0x85d0	0x85d0	18592311281191345276	16157322821258922436	31	17	17	2	15	16	0	16	679822	681809	CERTIFIED	1	0x85d0	0x85d0	18592311281191345276	12784106972526145936	32	17	17	2	16	17	0	4	170736	172788
14	0x512a	CERTIFIED	1	0x512a	0x512a	16827962422666220764	12784106972526145936	32	17	17	1	16	2	0	0	200	898	CERTIFIED	1	0x512a	0x512a	16827962422666220764	12784106972526145936	32	17	17	1	16	2	0	0	229	899	CERTIFIED	1	0x512a	0x512a	16827962422666220764	12784106972526145936	32	17	17	1	16	2	0	1	40962	42201	CERTIFIED	1	0x512a	0x512a	16827962422666220764	12784106972526145936	32	17	17	1	16	2	0	0	227	1036
15	0x9cc1	CERTIFIED	1	0x9861	0x9861	3377751547012758124	2943708842357994130	509	229	229	4	29	15	0	0	1578	19248	CERTIFIED	1	0x9861	0x9861	3377751547012758124	2943708842357994130	509	229	229	4	29	15	0	0	1892	12918	CERTIFIED	1	0x9861	0x9861	3377751547012758124	3284933657623606564	507	229	229	4	27	13	0	13	554367	564110	CERTIFIED	1	0x9861	0x9861	3377751547012758124	2943708842357994130	509	229	229	4	29	15	0	4	184513	196486
16	0x653d	CERTIFIED	1	0x653d	0x653d	1746267731290740359187523491498	990370226556635271090007580514	31	16	16	1	15	8	0	0	802	2556	CERTIFIED	1	0x653d	0x653d	1746267731290740359187523491498	990370226556635271090007580514	28	16	16	1	12	5	5	0	30130	31012	CERTIFIED	1	0x653d	0x653d	1746267731290740359187523491498	895073225274347885104309819200	24	15	15	1	8	1	1	1	50327	51108	CERTIFIED	1	0x653d	0x653d	1746267731290740359187523491498	895073225274347885104309819200	24	15	15	1	8	1	1	1	47476	48185
17	0x8a00	CERTIFIED	1	0x8a00	0x8a00	2597638699246859637053881611690	1841741123070234012904224623412	30	16	16	1	14	15	0	0	1484	2779	CERTIFIED	1	0x8a00	0x8a00	2597638699246859637053881611690	1841741123070234012904224623412	27	15	15	1	11	12	10	0	56498	57922	CERTIFIED	1	0x8a00	0x8a00	2597638699246859637053881611690	1737580273792454638970536092408	23	11	11	1	7	8	6	8	376252	377408	CERTIFIED	1	0x8a00	0x8a00	2597638699246859637053881611690	938334125412840660376060999008	24	12	12	1	8	9	7	4	207716	209107
18	0x878e	CERTIFIED	1	0x878e	0x878e	2615279459336693701300237460400	1841741123070234012904224623412	30	16	16	1	14	13	0	0	1290	2419	CERTIFIED	1	0x878e	0x878e	2615279459336693701300237460400	1841741123070234012904224623412	28	15	15	1	12	11	11	0	60583	61669	CERTIFIED	1	0x878e	0x878e	2615279459336693701300237460400	1755220227354354210365047750200	22	12	12	1	6	5	5	5	240215	241380	CERTIFIED	1	0x878e	0x878e	2615279459336693701300237460400	895425119976144625779404562498	24	14	14	1	8	7	7	3	161455	162466
19	0x53e5	CERTIFIED	1	0x53e5	0x53e5	886649023452644181966910142898	138999330043036529275790537616	32	17	17	1	16	15	0	0	1445	2527	CERTIFIED	1	0x53e5	0x53e5	886649023452644181966910142898	138999330043036529275790537616	32	17	17	1	16	15	13	0	71312	72355	CERTIFIED	1	0x53e5	0x53e5	886649023452644181966910142898	868834460395004240275467922098	28	16	16	1	12	11	11	11	511009	512584	CERTIFIED	1	0x53e5	0x53e5	886649023452644181966910142898	138999330043036529275790537616	32	17	17	1	16	15	13	3	201697	203058
20	0xcc2	CERTIFIED	1	0xcc2	0xcc2	62411526502617156334	55930468004801888470	29	15	15	1	13	14	0	0	1429	3073	CERTIFIED	1	0xcc2	0xcc2	62411526502617156334	55930468004801888470	27	14	14	1	11	12	10	0	56487	57582	CERTIFIED	1	0xcc2	0xcc2	62411526502617156334	18510204041866874284	23	11	11	1	7	8	6	8	372248	373449	CERTIFIED	1	0xcc2	0xcc2	62411526502617156334	18510204041866874284	24	12	12	1	8	9	7	4	201585	202992
21	0xc177	CERTIFIED	1	0x81f5	0x81f5	5048694274402767040	4457616246999248254	507	227	227	11	27	14	0	0	1413	12585	CERTIFIED	1	0x81f5	0x81f5	5048694274402767040	4457616246999248254	502	226	226	11	22	9	5	0	27573	41236	CERTIFIED	1	0x81f5	0x81f5	5048694274402767040	4457616246999248254	502	226	226	11	22	9	5	8	354685	367531	CERTIFIED	1	0x81f5	0x81f5	5048694274402767040	4457616246999248254	502	226	226	11	22	9	5	3	147279	158979
22	0x727b	CERTIFIED	1	0x727b	0x727b	20061738122819950924	12784106972526145936	32	17	17	1	16	17	0	0	1809	2984	CERTIFIED	1	0x727b	0x727b	20061738122819950924	12784106972526145936	32	17	17	1	16	17	13	0	72198	73366	CERTIFIED	1	0x727b	0x727b	20061738122819950924	17706789119444631244	27	15	15	1	11	12	10	12	594219	595983	CERTIFIED	1	0x727b	0x727b	20061738122819950924	12784106972526145936	32	17	17	1	16	17	13	4	238668	240237
23	0xe5ba	CERTIFIED	1	0xf2db	0xf2db	3282603886412768266	2943708842357994130	509	226	226	7	29	15	0	0	1503	15075	CERTIFIED	1	0xf2db	0xf2db	3282603886412768266	2943708842357994130	507	226	226	7	27	13	10	0	52224	63544	CERTIFIED	1	0xf2db	0xf2db	3282603886412768266	1771014636225232396	503	226	226	7	23	9	6	9	406842	418688	CERTIFIED	1	0xf2db	0xf2db	3282603886412768266	1771014636225232396	504	226	226	7	24	10	7	4	214460	227414
24	0x653d	CERTIFIED	1	0x653d	0x653d	1746267731290740359187523491498	990370226556635271090007580514	31	16	16	1	15	2	0	0	262	1693	CERTIFIED	1	0x653d	0x653d	1746267731290740359187523491498	990370226556635271090007580514	31	16	16	1	15	2	0	0	245	1028	CERTIFIED	1	0x653d	0x653d	1746267731290740359187523491498	1728980567045423131113300151800	30	16	16	1	14	1	0	1	46913	47680	CERTIFIED	1	0x653d	0x653d	1746267731290740359187523491498	990370226556635271090007580514	31	16	16	1	15	2	0	0	251	1008
25	0x8a00	CERTIFIED	1	0x8a00	0x8a00	2597638699246859637053881611690	1841741123070234012904224623412	30	16	16	1	14	15	0	0	1473	2570	CERTIFIED	1	0x8a00	0x8a00	2597638699246859637053881611690	1841741123070234012904224623412	30	16	16	1	14	15	0	0	1933	3216	CERTIFIED	1	0x8a00	0x8a00	2597638699246859637053881611690	1737580273792454638970536092408	29	15	15	1	13	14	0	14	595734	597248	CERTIFIED	1	0x8a00	0x8a00	2597638699246859637053881611690	1841741123070234012904224623412	30	16	16	1	14	15	0	4	171240	172676
26	0x878e	CERTIFIED	1	0x878e	0x878e	2615279459336693701300237460400	1841741123070234012904224623412	30	16	16	1	14	13	0	0	1271	2677	CERTIFIED	1	0x878e	0x878e	2615279459336693701300237460400	1841741123070234012904224623412	30	16	16	1	14	13	0	0	1508	2528	CERTIFIED	1	0x878e	0x878e	2615279459336693701300237460400	1755220227354354210365047750200	27	13	13	1	11	10	0	10	432309	433507	CERTIFIED	1	0x878e	0x878e	2615279459336693701300237460400	1841741123070234012904224623412	30	16	16	1	14	13	0	3	131603	133169
27	0x53e5	CERTIFIED	1	0x53e5	0x53e5	886649023452644181966910142898	138999330043036529275790537616	32	17	17	1	16	14	0	0	1351	2452	CERTIFIED	1	0x53e5	0x53e5	886649023452644181966910142898	138999330043036529275790537616	32	17	17	1	16	14	0	0	1636	2579	CERTIFIED	1	0x53e5	0x53e5	886649023452644181966910142898	868834460395004240275467922098	31	16	16	1	15	13	0	13	538570	539816	CERTIFIED	1	0x53e5	0x53e5	886649023452644181966910142898	138999330043036529275790537616	32	17	17	1	16	14	0	2	90389	91937
28	0xcc2	CERTIFIED	1	0xcc2	0xcc2	62411526502617156334	55930468004801888470	29	14	14	1	13	14	0	0	1389	2683	CERTIFIED	1	0xcc2	0xcc2	62411526502617156334	55930468004801888470	29	14	14	1	13	14	0	0	1671	2627	CERTIFIED	1	0xcc2	0xcc2	62411526502617156334	55930468004801888470	29	14	14	1	13	14	0	13	549107	550429	CERTIFIED	1	0xcc2	0xcc2	62411526502617156334	55930468004801888470	29	14	14	1	13	14	0	4	163291	164528
29	0xc177	CERTIFIED	1	0x81f5	0x81f5	5048694274402767040	4457616246999248254	507	226	226	11	27	14	0	0	1340	11664	CERTIFIED	1	0x81f5	0x81f5	5048694274402767040	4457616246999248254	507	226	226	11	27	14	0	0	1715	15107	CERTIFIED	1	0x81f5	0x81f5	5048694274402767040	2567580530186596822	506	225	225	11	26	13	0	13	528338	541432	CERTIFIED	1	0x81f5	0x81f5	5048694274402767040	4457616246999248254	507	226	226	11	27	14	0	4	158349	171118
30	0x727b	CERTIFIED	1	0x727b	0x727b	20061738122819950924	12784106972526145936	32	17	17	1	16	17	0	0	1658	2855	CERTIFIED	1	0x727b	0x727b	20061738122819950924	12784106972526145936	32	17	17	1	16	17	0	0	2055	3202	CERTIFIED	1	0x727b	0x727b	20061738122819950924	16110849984400186414	31	16	16	1	15	16	0	16	690766	692934	CERTIFIED	1	0x727b	0x727b	20061738122819950924	12784106972526145936	32	17	17	1	16	17	0	4	171004	172823
31	0xe5ba	CERTIFIED	1	0xf2db	0xf2db	3282603886412768266	2943708842357994130	509	227	227	7	29	15	0	0	1492	14185	CERTIFIED	1	0xf2db	0xf2db	3282603886412768266	2943708842357994130	509	227	227	7	29	15	0	0	1780	12548	CERTIFIED	1	0xf2db	0xf2db	3282603886412768266	2943708842357994130	509	227	227	7	29	15	0	14	573648	585046	CERTIFIED	1	0xf2db	0xf2db	3282603886412768266	2943708842357994130	509	227	227	7	29	15	0	4	173072	186812
32	0xbbce	CERTIFIED	1	0xbbce	0xbbce	1781107088579441223419523582306	990370226556635271090007580514	31	17	17	3	15	16	0	0	1565	3294	CERTIFIED	1	0xbbce	0xbbce	1781107088579441223419523582306	990370226556635271090007580514	30	17	17	3	14	15	13	0	81449	83067	CERTIFIED	1	0xbbce	0xbbce	1781107088579441223419523582306	1754957848660733625760052832906	22	16	16	3	6	7	5	7	331895	334052	CERTIFIED	1	0xbbce	0xbbce	1781107088579441223419523582306	894989027663081040261365332506	24	17	17	3	8	9	7	4	206379	207892
33	0x4584	CERTIFIED	1	0x4584	0x4584	3466559962591494207850520297694	2693112019583832754718441666310	29	15	15	1	13	14	0	0	1415	2663	CERTIFIED	1	0x4584	0x4584	3466559962591494207850520297694	2693112019583832754718441666310	25	14	14	1	9	10	8	0	47399	48724	CERTIFIED	1	0x4584	0x4584	3466559962591494207850520297694	3457785638747289761348762467494	19	9	9	1	3	4	2	4	183239	184164	CERTIFIED	1	0x4584	0x4584	3466559962591494207850520297694	3457785638747289761348762467494	20	10	10	1	4	5	3	3	138226	139037
34	0x962c	CERTIFIED	1	0x962c	0x962c	2606415637570118243756023252698	1841741123070234012904224623412	30	16	16	1	14	15	0	0	1516	2832	CERTIFIED	1	0x962c	0x962c	2606415637570118243756023252698	1841741123070234012904224623412	26	15	15	1	10	11	9	0	50293	51311	CERTIFIED	1	0x962c	0x962c	2606415637570118243756023252698	2606415628707173908669739250600	20	11	11	1	4	5	3	5	226754	227959	CERTIFIED	1	0x962c	0x962c	2606415637570118243756023252698	2606415628707173908669739250600	20	11	11	1	4	5	3	3	135476	136431
35	0x4836	CERTIFIED	1	0x4836	0x4836	1772507382554051337138571895004	990370226556635271090007580514	31	16	16	2	15	13	0	0	1249	2582	CERTIFIED	1	0x4836	0x4836	1772507382554051337138571895004	990370226556635271090007580514	29	16	16	2	13	11	11	0	60033	61134	CERTIFIED	1	0x4836	0x4836	1772507382554051337138571895004	1746271276737961888502263605204	23	13	13	1	7	5	5	5	236616	237603	CERTIFIED	1	0x4836	0x4836	1772507382554051337138571895004	903673835679976425041305164804	24	14	14	2	8	6	6	2	117050	118308
36	0xd11c	CERTIFIED	1	0xc91c	0xc91c,0xd11c	18510314401059514702	12784106972526145936	32	17	17	2	16	10	0	0	1047	2960	CERTIFIED	1	0xc91c	0xc91c,0xd11c	18510314401059514702	12784106972526145936	32	17	17	2	16	10	8	0	45151	46550	CERTIFIED	1	0xc91c	0xc91c,0xd11c	18510314401059514702	16949934159559524556	30	17	17	2	14	8	8	8	375416	376791	CERTIFIED	1	0xc91c	0xc91c,0xd11c	18510314401059514702	12784106972526145936	32	17	17	2	16	10	8	1	84785	86015
37	0x6fd0	CERTIFIED	1	0x6fd0	0x6fd0	61578976753337842942	55930468004801888470	29	16	16	2	13	14	0	0	1409	2709	CERTIFIED	1	0x6fd0	0x6fd0	61578976753337842942	55930468004801888470	24	15	15	2	8	9	7	0	39873	41279	CERTIFIED	1	0x6fd0	0x6fd0	61578976753337842942	47396060560340443276	20	14	14	2	4	5	3	5	237851	239570	CERTIFIED	1	0x6fd0	0x6fd0	61578976753337842942	47396060560340443276	20	14	14	2	4	5	3	3	141128	142438
38	0x8ad9	CERTIFIED	1	0x8ad9	0x8ad9	16954121694797165680	12784106972526145936	32	17	17	1	16	17	0	0	1671	3190	CERTIFIED	1	0x8ad9	0x8ad9	16954121694797165680	12784106972526145936	32	17	17	1	16	17	13	0	72683	73925	CERTIFIED	1	0x8ad9	0x8ad9	16954121694797165680	16110848406763612960	31	17	17	1	15	16	13	16	716499	718294	CERTIFIED	1	0x8ad9	0x8ad9	16954121694797165680	12784106972526145936	32	17	17	1	16	17	13	4	237264	238973
39	0xa1bd	CERTIFIED	1	0xa1bd	0xa1bd	63216823339692846502	55930468004801888470	29	16	16	1	13	14	0	0	1411	2519	CERTIFIED	1	0xa1bd	0xa1bd	63216823339692846502	55930468004801888470	24	16	16	1	8	9	7	0	38954	39821	CERTIFIED	1	0xa1bd	0xa1bd	63216823339692846502	33687125482976518876	22	14	14	1	6	7	5	7	309541	310462	CERTIFIED	1	0xa1bd	0xa1bd	63216823339692846502	55930468004801888470	24	16	16	1	8	9	7	3	165131	166599
40	0xbbce	CERTIFIED	1	0xbbce	0xbbce	1781107088579441223419523582306	990370226556635271090007580514	31	17	17	3	15	16	0	0	1607	3235	CERTIFIED	1	0xbbce	0xbbce	1781107088579441223419523582306	990370226556635271090007580514	31	17	17	3	15	16	0	0	1994	3415	CERTIFIED	1	0xbbce	0xbbce	1781107088579441223419523582306	1754957848660733625760052832906	27	16	16	3	11	12	0	12	500102	501701	CERTIFIED	1	0xbbce	0xbbce	1781107088579441223419523582306	990370226556635271090007580514	31	17	17	3	15	16	0	4	166697	168153
41	0x4584	CERTIFIED	1	0x4584	0x4584	3466559962591494207850520297694	2693112019583832754718441666310	29	15	15	1	13	14	0	0	1453	2553	CERTIFIED	1	0x4584	0x4584	3466559962591494207850520297694	2693112019583832754718441666310	29	15	15	1	13	14	0	0	1633	2901	CERTIFIED	1	0x4584	0x4584	3466559962591494207850520297694	3457785638747289761348762467494	20	9	9	1	4	5	0	5	211368	212249	CERTIFIED	1	0x4584	0x4584	3466559962591494207850520297694	3457785638747289761348762467494	20	9	9	1	4	5	0	3	120159	120916
42	0x962c	CERTIFIED	1	0x962c	0x962c	2606415637570118243756023252698	1841741123070234012904224623412	30	16	16	1	14	15	0	0	1473	2973	CERTIFIED	1	0x962c	0x962c	2606415637570118243756023252698	1841741123070234012904224623412	30	16	16	1	14	15	0	0	1741	2828	CERTIFIED	1	0x962c	0x962c	2606415637570118243756023252698	2606415628707173908669739250600	23	12	12	1	7	8	0	8	326630	327771	CERTIFIED	1	0x962c	0x962c	2606415637570118243756023252698	2606415628707173908669739250600	24	13	13	1	8	9	0	4	162925	164247
43	0x4836	CERTIFIED	1	0x4836	0x4836	1772507382554051337138571895004	990370226556635271090007580514	31	16	16	2	15	11	0	0	1089	2231	CERTIFIED	1	0x4836	0x4836	1772507382554051337138571895004	990370226556635271090007580514	31	16	16	2	15	11	0	0	1234	2271	CERTIFIED	1	0x4836	0x4836	1772507382554051337138571895004	1746271276737961888502263605204	28	14	14	1	12	8	0	8	320714	321674	CERTIFIED	1	0x4836	0x4836	1772507382554051337138571895004	990370226556635271090007580514	31	16	16	2	15	11	0	1	43696	45380
44	0xc91c	CERTIFIED	1	0xc91c	0xc91c,0xd11c	18510314401059514702	12784106972526145936	32	17	17	2	16	5	0	0	556	1872	CERTIFIED	1	0xc91c	0xc91c,0xd11c	18510314401059514702	12784106972526145936	32	17	17	2	16	5	0	0	622	1606	CERTIFIED	1	0xc91c	0xc91c,0xd11c	18510314401059514702	16949934159559524556	30	17	17	2	14	3	0	3	129475	130397	CERTIFIED	1	0xc91c	0xc91c,0xd11c	18510314401059514702	12784106972526145936	32	17	17	2	16	5	0	0	611	1622
45	0x6fd0	CERTIFIED	1	0x6fd0	0x6fd0	61578976753337842942	55930468004801888470	29	16	16	2	13	14	0	0	1404	2686	CERTIFIED	1	0x6fd0	0x6fd0	61578976753337842942	55930468004801888470	29	16	16	2	13	14	0	0	1638	3072	CERTIFIED	1	0x6fd0	0x6fd0	61578976753337842942	47396060560340443276	22	15	15	2	6	7	0	7	301748	303406	CERTIFIED	1	0x6fd0	0x6fd0	61578976753337842942	47396060560340443276	24	15	15	2	8	9	0	4	167400	168962
46	0x8ad9	CERTIFIED	1	0x8ad9	0x8ad9	16954121694797165680	12784106972526145936	32	17	17	1	16	17	0	0	1789	3331	CERTIFIED	1	0x8ad9	0x8ad9	16954121694797165680	12784106972526145936	32	17	17	1	16	17	0	0	2145	3246	CERTIFIED	1	0x8ad9	0x8ad9	16954121694797165680	16110848406763612960	31	17	17	1	15	16	0	16	644834	646699	CERTIFIED	1	0x8ad9	0x8ad9	16954121694797165680	12784106972526145936	32	17	17	1	16	17	0	4	171471	173533
47	0xa1bd	CERTIFIED	1	0xa1bd	0xa1bd	63216823339692846502	55930468004801888470	29	16	16	1	13	14	0	0	1487	2592	CERTIFIED	1	0xa1bd	0xa1bd	63216823339692846502	55930468004801888470	29	16	16	1	13	14	0	0	1787	2767	CERTIFIED	1	0xa1bd	0xa1bd	63216823339692846502	33687125482976518876	26	13	13	1	10	11	0	11	443391	444376	CERTIFIED	1	0xa1bd	0xa1bd	63216823339692846502	55930468004801888470	29	16	16	1	13	14	0	4	168809	170239
48	0x26dc	CERTIFIED	1	0x26dc	0x26dc	1728981453519810402314087980800	990370226556635271090007580514	31	16	16	2	15	16	0	0	1706	3251	CERTIFIED	1	0x26dc	0x26dc	1728981453519810402314087980800	990370226556635271090007580514	26	16	16	2	10	11	9	0	51447	52733	CERTIFIED	1	0x26dc	0x26dc	1728981453519810402314087980800	886385767237096309525453359600	24	15	15	1	8	9	7	9	405959	407085	CERTIFIED	1	0x26dc	0x26dc	1728981453519810402314087980800	886385767237096309525453359600	24	15	15	1	8	9	7	4	207036	208154
