id	first_codeword	ind_status	ind_complete	ind_decoded	ind_ties	ind_score	ind_bound	ind_q_hist	ind_q_disc	ind_q_code	ind_q_score	ind_frontier_updates	ind_bound_calls	ind_chain_calls	ind_uac_calls	ind_bound_ns	ind_total_ns	cr_status	cr_complete	cr_decoded	cr_ties	cr_score	cr_bound	cr_q_hist	cr_q_disc	cr_q_code	cr_q_score	cr_frontier_updates	cr_bound_calls	cr_chain_calls	cr_uac_calls	cr_bound_ns	cr_total_ns	ac_status	ac_complete	ac_decoded	ac_ties	ac_score	ac_bound	ac_q_hist	ac_q_disc	ac_q_code	ac_q_score	ac_frontier_updates	ac_bound_calls	ac_chain_calls	ac_uac_calls	ac_bound_ns	ac_total_ns	fast_status	fast_complete	fast_decoded	fast_ties	fast_score	fast_bound	fast_q_hist	fast_q_disc	fast_q_code	fast_q_score	fast_frontier_updates	fast_bound_calls	fast_chain_calls	fast_uac_calls	fast_bound_ns	fast_total_ns
0	0xe932	CERTIFIED	1	0xe932	0xe932	1755044714199112425922763779200	990370226556635271090007580514	31	17	17	1	15	13	0	0	1709	5997	CERTIFIED	1	0xe932	0xe932	1755044714199112425922763779200	990370226556635271090007580514	31	17	17	1	15	13	12	0	72090	74490	CERTIFIED	1	0xe932	0xe932	1755044714199112425922763779200	886209385510569229042411100898	23	15	15	1	7	5	5	5	272923	275070	CERTIFIED	1	0xe932	0xe932	1755044714199112425922763779200	886209385510569229042411100898	24	15	15	1	8	6	6	2	137769	139584
1	0x7ccc	CERTIFIED	1	0x7ccc	0x7ccc	4326531442651496699741202043698	3544482916097431496532658709208	28	15	15	2	12	7	0	0	743	2028	CERTIFIED	1	0x7ccc	0x7ccc	4326531442651496699741202043698	3544482916097431496532658709208	24	13	13	1	8	3	3	0	18422	20089	CERTIFIED	1	0x7ccc	0x7ccc	4326531442651496699741202043698	1755043836857147942634044379600	22	13	13	1	6	1	1	1	55457	56310	CERTIFIED	1	0x7ccc	0x7ccc	4326531442651496699741202043698	3544482916097431496532658709208	24	13	13	1	8	3	3	0	17445	18204
2	0xc398	CERTIFIED	1	0xc398	0xc398	3483848013038093868592125462498	2693112019583832754718441666310	29	16	16	2	13	14	0	0	1468	2959	CERTIFIED	1	0xc398	0xc398	3483848013038093868592125462498	1841741123070234012904224623412	24	15	15	2	8	9	7	0	41215	42378	CERTIFIED	1	0xc398	0xc398	3483848013038093868592125462498	2606502485561657754252959811000	22	13	13	2	6	7	5	7	361873	363611	CERTIFIED	1	0xc398	0xc398	3483848013038093868592125462498	1841741123070234012904224623412	24	15	15	2	8	9	7	3	173284	175162
3	0x317	CERTIFIED	1	0x317	0x317	2588952951757864733127837557004	1841741123070234012904224623412	30	15	15	1	14	14	0	0	1481	2686	CERTIFIED	1	0x317	0x317	2588952951757864733127837557004	1841741123070234012904224623412	30	15	15	1	14	14	12	0	70134	71204	CERTIFIED	1	0x317	0x317	2588952951757864733127837557004	912361275812289949940800004004	22	11	11	1	6	6	5	6	286741	287574	CERTIFIED	1	0x317	0x317	2588952951757864733127837557004	912361275812289949940800004004	24	13	13	1	8	8	7	4	220589	221815
4	0xdd51	CERTIFIED	1	0xdd51	0xdd51	47185783755522992782	41548347660709974292	30	17	17	2	14	15	0	0	1586	3256	CERTIFIED	1	0xdd51	0xdd51	47185783755522992782	41548347660709974292	24	17	17	2	8	9	7	0	42072	43257	CERTIFIED	1	0xdd51	0xdd51	47185783755522992782	46470883002699972796	22	16	16	2	6	7	5	7	323769	325233	CERTIFIED	1	0xdd51	0xdd51	47185783755522992782	41548347660709974292	24	17	17	2	8	9	7	3	162676	163960
5	0x85d0	CERTIFIED	1	0x85d0	0x85d0	18592311281191345276	12784106972526145936	32	17	17	2	16	17	0	0	1691	3125	CERTIFIED	1	0x85d0	0x85d0	18592311281191345276	12784106972526145936	32	17	17	2	16	17	13	0	78003	79694	CERTIFIED	1	0x85d0	0x85d0	18592311281191345276	18589773019760615662	29	15	15	2	13	14	12	14	699135	701029	CERTIFIED	1	0x85d0	0x85d0	18592311281191345276	12784106972526145936	32	17	17	2	16	17	13	4	242359	244327
6	0x512a	CERTIFIED	1	0x512a	0x512a	16827962422666220764	12784106972526145936	32	17	17	1	16	9	0	0	865	1695	CERTIFIED	1	0x512a	0x512a	16827962422666220764	12784106972526145936	32	17	17	1	16	9	7	0	38077	38987	CERTIFIED	1	0x512a	0x512a	16827962422666220764	12784106972526145936	32	17	17	1	16	9	7	8	342476	344013	CERTIFIED	1	0x512a	0x512a	16827962422666220764	12784106972526145936	32	17	17	1	16	9	7	1	79088	80151
7	0x9cc1	CERTIFIED	1	0x9861	0x9861	3377751547012758124	2943708842357994130	509	229	229	4	29	15	0	0	1443	14011	CERTIFIED	1	0x9861	0x9861	3377751547012758124	2943708842357994130	504	227	227	4	24	10	7	0	36939	47849	CERTIFIED	1	0x9861	0x9861	3377751547012758124	3284933657623606564	502	227	227	4	22	8	5	8	375032	385116	CERTIFIED	1	0x9861	0x9861	3377751547012758124	2943708842357994130	504	227	227	4	24	10	7	3	175563	187180
8	0xe932	CERTIFIED	1	0xe932	0xe932	1755044714199112425922763779200	990370226556635271090007580514	31	17	17	1	15	11	0	0	1132	4802	CERTIFIED	1	0xe932	0xe932	1755044714199112425922763779200	990370226556635271090007580514	31	17	17	1	15	11	0	0	1419	5475	CERTIFIED	1	0xe932	0xe932	1755044714199112425922763779200	886209385510569229042411100898	29	17	17	1	13	9	0	9	363139	364199	CERTIFIED	1	0xe932	0xe932	1755044714199112425922763779200	990370226556635271090007580514	31	17	17	1	15	11	0	1	40377	41333
9	0x799a	CERTIFIED	1	0x7ccc	0x7ccc	4326531442651496699741202043698	3544482916097431496532658709208	28	16	16	2	12	11	0	0	1080	2166	CERTIFIED	1	0x7ccc	0x7ccc	4326531442651496699741202043698	3544482916097431496532658709208	28	16	16	2	12	11	0	0	1301	2644	CERTIFIED	1	0x7ccc	0x7ccc	4326531442651496699741202043698	1755043836857147942634044379600	27	16	16	2	11	10	0	10	421883	423152	CERTIFIED	1	0x7ccc	0x7ccc	4326531442651496699741202043698	3544482916097431496532658709208	28	16	16	2	12	11	0	3	125103	126304
