id	n	k	a	schedule	max_hist	y	transmitted	rows
0	16	11	99	even_odd	1500000	0x7492	0xe932	0x669,0x4d2,0x7cd,0x79a,0x734
1	16	11	99	even_odd	1500000	0x3ccc	0x7ccc	0x669,0x4d2,0x7cd,0x79a,0x734
2	16	11	99	even_odd	1500000	0x6398	0xc738	0x669,0x4d2,0x7cd,0x79a,0x734
3	16	11	99	even_odd	1500000	0x18b	0x317	0x669,0x4d2,0x7cd,0x79a,0x734
4	16	11	19	even_odd	1500000	0x6ea9	0xdd51	0x669,0x4d2,0x7cd,0x79a,0x734
5	16	11	19	even_odd	1500000	0x43d0	0x85d0	0x669,0x4d2,0x7cd,0x79a,0x734
6	16	11	19	even_odd	1500000	0x112a	0x2246	0x669,0x4d2,0x7cd,0x79a,0x734
7	16	11	19	even_odd	1500000	0x4ce1	0x14e1	0x669,0x4d2,0x7cd,0x79a,0x734
8	16	11	99	forward	1500000	0x7492	0xe932	0x669,0x4d2,0x7cd,0x79a,0x734
9	16	11	99	forward	1500000	0x3ccc	0x7ccc	0x669,0x4d2,0x7cd,0x79a,0x734
10	16	11	99	forward	1500000	0x6398	0xc738	0x669,0x4d2,0x7cd,0x79a,0x734
11	16	11	99	forward	1500000	0x18b	0x317	0x669,0x4d2,0x7cd,0x79a,0x734
12	16	11	19	forward	1500000	0x6ea9	0xdd51	0x669,0x4d2,0x7cd,0x79a,0x734
13	16	11	19	forward	1500000	0x43d0	0x85d0	0x669,0x4d2,0x7cd,0x79a,0x734
14	16	11	19	forward	1500000	0x112a	0x2246	0x669,0x4d2,0x7cd,0x79a,0x734
15	16	11	19	forward	1500000	0x4ce1	0x14e1	0x669,0x4d2,0x7cd,0x79a,0x734
16	16	11	99	even_odd	1500000	0x253d	0x653d	0x2f7,0x4fa,0x54d,0x4bc,0x329
17	16	11	99	even_odd	1500000	0x4a00	0x8a00	0x2f7,0x4fa,0x54d,0x4bc,0x329
18	16	11	99	even_odd	1500000	0x43c6	0x878e	0x2f7,0x4fa,0x54d,0x4bc,0x329
19	16	11	99	even_odd	1500000	0x29f1	0x53e5	0x2f7,0x4fa,0x54d,0x4bc,0x329
20	16	11	19	even_odd	1500000	0xcc2	0xcc2	0x2f7,0x4fa,0x54d,0x4bc,0x329
21	16	11	19	even_odd	1500000	0x4175	0x82e3	0x2f7,0x4fa,0x54d,0x4bc,0x329
22	16	11	19	even_odd	1500000	0x393f	0x7337	0x2f7,0x4fa,0x54d,0x4bc,0x329
23	16	11	19	even_odd	1500000	0x72fb	0x75fb	0x2f7,0x4fa,0x54d,0x4bc,0x329
24	16	11	99	forward	1500000	0x253d	0x653d	0x2f7,0x4fa,0x54d,0x4bc,0x329
25	16	11	99	forward	1500000	0x4a00	0x8a00	0x2f7,0x4fa,0x54d,0x4bc,0x329
26	16	11	99	forward	1500000	0x43c6	0x878e	0x2f7,0x4fa,0x54d,0x4bc,0x329
27	16	11	99	forward	1500000	0x29f1	0x53e5	0x2f7,0x4fa,0x54d,0x4bc,0x329
28	16	11	19	forward	1500000	0xcc2	0xcc2	0x2f7,0x4fa,0x54d,0x4bc,0x329
29	16	11	19	forward	1500000	0x4175	0x82e3	0x2f7,0x4fa,0x54d,0x4bc,0x329
30	16	11	19	forward	1500000	0x393f	0x7337	0x2f7,0x4fa,0x54d,0x4bc,0x329
31	16	11	19	forward	1500000	0x72fb	0x75fb	0x2f7,0x4fa,0x54d,0x4bc,0x329
32	16	12	99	even_odd	1500000	0x5dee	0x5dee	0xf59,0x1eb,0x3d6,0x7ac
33	16	12	99	even_odd	1500000	0x22c4	0x45c8	0xf59,0x1eb,0x3d6,0x7ac
34	16	12	99	even_odd	1500000	0x4b2c	0x165c	0xf59,0x1eb,0x3d6,0x7ac
35	16	12	99	even_odd	1500000	0x2416	0x92d	0xf59,0x1eb,0x3d6,0x7ac
36	16	12	19	even_odd	1500000	0x611c	0xc91c	0xf59,0x1eb,0x3d6,0x7ac
37	16	12	19	even_odd	1500000	0x37e8	0x6fd0	0xf59,0x1eb,0x3d6,0x7ac
38	16	12	19	even_odd	1500000	0x46d9	0x8ad9	0xf59,0x1eb,0x3d6,0x7ac
39	16	12	19	even_odd	1500000	0x51bd	0xa1bd	0xf59,0x1eb,0x3d6,0x7ac
40	16	12	99	forward	1500000	0x5dee	0x5dee	0xf59,0x1eb,0x3d6,0x7ac
41	16	12	99	forward	1500000	0x22c4	0x45c8	0xf59,0x1eb,0x3d6,0x7ac
42	16	12	99	forward	1500000	0x4b2c	0x165c	0xf59,0x1eb,0x3d6,0x7ac
43	16	12	99	forward	1500000	0x2416	0x92d	0xf59,0x1eb,0x3d6,0x7ac
