id	n	k	a	schedule	max_hist	y	transmitted	rows
44	16	12	19	forward	1500000	0x611c	0xc91c	0xf59,0x1eb,0x3d6,0x7ac
45	16	12	19	forward	1500000	0x37e8	0x6fd0	0xf59,0x1eb,0x3d6,0x7ac
46	16	12	19	forward	1500000	0x46d9	0x8ad9	0xf59,0x1eb,0x3d6,0x7ac
47	16	12	19	forward	1500000	0x51bd	0xa1bd	0xf59,0x1eb,0x3d6,0x7ac
48	16	12	99	even_odd	1500000	0x26dc	0x26dc	0xfc0,0x12,0xb43,0x693
49	16	12	99	even_odd	1500000	0x5948	0xb211	0xfc0,0x12,0xb43,0x693
50	16	12	99	even_odd	1500000	0x4916	0x9356	0xfc0,0x12,0xb43,0x693
51	16	12	99	even_odd	1500000	0x2a52	0x5a53	0xfc0,0x12,0xb43,0x693
52	16	12	19	even_odd	1500000	0x407f	0x887f	0xfc0,0x12,0xb43,0x693
53	16	12	19	even_odd	1500000	0x43c8	0x87a8	0xfc0,0x12,0xb43,0x693
54	16	12	19	even_odd	1500000	0x7854	0xf050	0xfc0,0x12,0xb43,0x693
55	16	12	19	even_odd	1500000	0x4e71	0x9dc1	0xfc0,0x12,0xb43,0x693
56	16	12	99	forward	1500000	0x26dc	0x26dc	0xfc0,0x12,0xb43,0x693
57	16	12	99	forward	1500000	0x5948	0xb211	0xfc0,0x12,0xb43,0x693
58	16	12	99	forward	1500000	0x4916	0x9356	0xfc0,0x12,0xb43,0x693
59	16	12	99	forward	1500000	0x2a52	0x5a53	0xfc0,0x12,0xb43,0x693
60	16	12	19	forward	1500000	0x407f	0x887f	0xfc0,0x12,0xb43,0x693
61	16	12	19	forward	1500000	0x43c8	0x87a8	0xfc0,0x12,0xb43,0x693
62	16	12	19	forward	1500000	0x7854	0xf050	0xfc0,0x12,0xb43,0x693
63	16	12	19	forward	1500000	0x4e71	0x9dc1	0xfc0,0x12,0xb43,0x693
64	24	16	99	even_odd	1500000	0x33df6f	0x73df6f	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
65	24	16	99	even_odd	1500000	0x516caa	0xa2d956	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
66	24	16	99	even_odd	1500000	0x43ded8	0x87bdb8	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
67	24	16	99	even_odd	1500000	0x2ad137	0x2ad137	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
68	24	16	19	even_odd	1500000	0x175d0c	0x2eba4c	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
69	24	16	19	even_odd	1500000	0x6326fd	0xc64d7d	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
70	24	16	19	even_odd	1500000	0x170d14	0x2e1a25	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
71	24	16	19	even_odd	1500000	0xf81f8	0x1f83e8	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
72	24	16	99	forward	1500000	0x33df6f	0x73df6f	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
73	24	16	99	forward	1500000	0x516caa	0xa2d956	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
74	24	16	99	forward	1500000	0x43ded8	0x87bdb8	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
75	24	16	99	forward	1500000	0x2ad137	0x2ad137	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
76	24	16	19	forward	1500000	0x175d0c	0x2eba4c	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
77	24	16	19	forward	1500000	0x6326fd	0xc64d7d	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
78	24	16	19	forward	1500000	0x170d14	0x2e1a25	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
79	24	16	19	forward	1500000	0xf81f8	0x1f83e8	0x51c1,0xf243,0xb547,0x6a8e,0xd51c,0xaa38,0x5470,0xa8e0
80	24	16	99	even_odd	1500000	0x23342	0x46692	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
81	24	16	99	even_odd	1500000	0x3ab67a	0x756cf6	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
82	24	16	99	even_odd	1500000	0x755f24	0xe95f24	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
83	24	16	99	even_odd	1500000	0x1edcdf	0x2db9df	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
84	24	16	19	even_odd	1500000	0x6f3bbe	0xde76be	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
85	24	16	19	even_odd	1500000	0x57d4c1	0xafac41	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
86	24	16	19	even_odd	1500000	0x2a26ce	0x54459a	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
87	24	16	19	even_odd	1500000	0x6e18b1	0xdc7891	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
88	24	16	99	forward	1500000	0x23342	0x46692	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
89	24	16	99	forward	1500000	0x3ab67a	0x756cf6	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
90	24	16	99	forward	1500000	0x755f24	0xe95f24	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
91	24	16	99	forward	1500000	0x1edcdf	0x2db9df	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
92	24	16	19	forward	1500000	0x6f3bbe	0xde76be	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
93	24	16	19	forward	1500000	0x57d4c1	0xafac41	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
94	24	16	19	forward	1500000	0x2a26ce	0x54459a	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
95	24	16	19	forward	1500000	0x6e18b1	0xdc7891	0xe84d,0x2cef,0xe4e,0x7100,0xfd,0x9f9,0xbc00,0x561c
96	24	18	99	even_odd	1500000	0x1b375f	0x1b375f	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
97	24	18	99	even_odd	1500000	0x4ac06a	0x95846a	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
98	24	18	99	even_odd	1500000	0x2ff19	0x5ff19	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
99	24	18	99	even_odd	1500000	0x4fa958	0x9ba958	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
100	24	18	19	even_odd	1500000	0x6fef93	0xcfef93	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
101	24	18	19	even_odd	1500000	0x68d0	0xe8d0	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
102	24	18	19	even_odd	1500000	0x31cafa	0x6295fa	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
103	24	18	19	even_odd	1500000	0x52dd6b	0xa5ad4b	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
104	24	18	99	forward	1500000	0x1b375f	0x1b375f	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
105	24	18	99	forward	1500000	0x4ac06a	0x95846a	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
106	24	18	99	forward	1500000	0x2ff19	0x5ff19	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
107	24	18	99	forward	1500000	0x4fa958	0x9ba958	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
108	24	18	19	forward	1500000	0x6fef93	0xcfef93	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
109	24	18	19	forward	1500000	0x68d0	0xe8d0	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
110	24	18	19	forward	1500000	0x31cafa	0x6295fa	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
111	24	18	19	forward	1500000	0x52dd6b	0xa5ad4b	0x39461,0xbca3,0x17946,0x2f28c,0x1e518,0x3ca30
112	24	18	99	even_odd	1500000	0x5b3ff8	0xb67ff2	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
113	24	18	99	even_odd	1500000	0x1d4b2c	0x3d4b2c	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
114	24	18	99	even_odd	1500000	0x68f0d	0xd0f0d	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
115	24	18	99	even_odd	1500000	0x708708	0xe18e28	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
116	24	18	19	even_odd	1500000	0x276f76	0x576f76	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
117	24	18	19	even_odd	1500000	0x5ae7d0	0xb5cb50	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
118	24	18	19	even_odd	1500000	0x7f9418	0xfb2938	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
119	24	18	19	even_odd	1500000	0x2b2a80	0x132c80	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
120	24	18	99	forward	1500000	0x5b3ff8	0xb67ff2	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
121	24	18	99	forward	1500000	0x1d4b2c	0x3d4b2c	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
122	24	18	99	forward	1500000	0x68f0d	0xd0f0d	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
123	24	18	99	forward	1500000	0x708708	0xe18e28	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
124	24	18	19	forward	1500000	0x276f76	0x576f76	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
125	24	18	19	forward	1500000	0x5ae7d0	0xb5cb50	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
126	24	18	19	forward	1500000	0x7f9418	0xfb2938	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
127	24	18	19	forward	1500000	0x2b2a80	0x132c80	0x2a05a,0x31c59,0x43de,0x3cf3a,0x100ef,0x71e4
128	32	21	99	even_odd	1500000	0x4e690ad2	0x9cd215d2	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
129	32	21	99	even_odd	1500000	0x31b1c69c	0x6363c69c	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
130	32	21	99	even_odd	1500000	0x692bfa7d	0xd257fa7d	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
131	32	21	99	even_odd	1500000	0x510d9805	0xa31b3805	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
132	32	21	19	even_odd	1500000	0x5ee29aa8	0xadc29aa8	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
133	32	21	19	even_odd	1500000	0xc58e31e	0x58b1c71e	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
134	32	21	19	even_odd	1500000	0x4d7bdca4	0x5d7bdca4	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
135	32	21	19	even_odd	1500000	0x305f485b	0x60fe9136	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
136	32	21	99	forward	1500000	0x4e690ad2	0x9cd215d2	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
137	32	21	99	forward	1500000	0x31b1c69c	0x6363c69c	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
138	32	21	99	forward	1500000	0x692bfa7d	0xd257fa7d	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
139	32	21	99	forward	1500000	0x510d9805	0xa31b3805	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
140	32	21	19	forward	1500000	0x5ee29aa8	0xadc29aa8	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
141	32	21	19	forward	1500000	0xc58e31e	0x58b1c71e	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
142	32	21	19	forward	1500000	0x4d7bdca4	0x5d7bdca4	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
143	32	21	19	forward	1500000	0x305f485b	0x60fe9136	0x40a01,0x81402,0x142205,0x8440a,0x108814,0x11028,0x22050,0x440a0,0x88140,0x110280,0x20500
144	32	21	99	even_odd	1500000	0x245e6dc6	0x4a5e6dc6	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
145	32	21	99	even_odd	1500000	0x648a8dd5	0xc94a8dd5	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
146	32	21	99	even_odd	1500000	0x3ba4060b	0xbba4060b	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
147	32	21	99	even_odd	1500000	0x42fb249c	0x85f2489c	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
148	32	21	19	even_odd	1500000	0x690cef4	0xd219af4	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
149	32	21	19	even_odd	1500000	0x74143ba2	0xe8287744	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
150	32	21	19	even_odd	1500000	0x4cf3bcc9	0x98e778c9	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
151	32	21	19	even_odd	1500000	0x35a08c5e	0x2b000c5e	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
152	32	21	99	forward	1500000	0x245e6dc6	0x4a5e6dc6	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
153	32	21	99	forward	1500000	0x648a8dd5	0xc94a8dd5	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
154	32	21	99	forward	1500000	0x3ba4060b	0xbba4060b	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
155	32	21	99	forward	1500000	0x42fb249c	0x85f2489c	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
156	32	21	19	forward	1500000	0x690cef4	0xd219af4	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
157	32	21	19	forward	1500000	0x74143ba2	0xe8287744	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
158	32	21	19	forward	1500000	0x4cf3bcc9	0x98e778c9	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
159	32	21	19	forward	1500000	0x35a08c5e	0x2b000c5e	0x115ed1,0xfe08c,0x11fcdd,0x150cd8,0xf5a7c,0x115e20,0x10587,0x19fef6,0x32a34,0x9959c,0x2c333
160	32	24	99	even_odd	1500000	0x6980f092	0xd301e122	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
161	32	24	99	even_odd	1500000	0x169a86ae	0x25350d4e	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
162	32	24	99	even_odd	1500000	0x309f8945	0x68978945	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
163	32	24	99	even_odd	1500000	0x551c20f1	0xa95c20f1	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
164	32	24	19	even_odd	1500000	0x2340f0da	0x4688f0da	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
165	32	24	19	even_odd	1500000	0x5ff2273e	0xbfe44e70	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
166	32	24	19	even_odd	1500000	0x6723ebe6	0xde47d3f7	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
167	32	24	19	even_odd	1500000	0x1ff6915d	0x1eede2bb	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
168	32	24	99	forward	1500000	0x6980f092	0xd301e122	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
169	32	24	99	forward	1500000	0x169a86ae	0x25350d4e	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
170	32	24	99	forward	1500000	0x309f8945	0x68978945	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
171	32	24	99	forward	1500000	0x551c20f1	0xa95c20f1	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
172	32	24	19	forward	1500000	0x2340f0da	0x4688f0da	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
173	32	24	19	forward	1500000	0x5ff2273e	0xbfe44e70	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
174	32	24	19	forward	1500000	0x6723ebe6	0xde47d3f7	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
175	32	24	19	forward	1500000	0x1ff6915d	0x1eede2bb	0xad51c1,0xf7f243,0x42b547,0x856a8e,0xad51c,0x15aa38,0x2b5470,0x56a8e0
176	32	24	99	even_odd	1500000	0x5984e3b8	0xd984e3b8	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
177	32	24	99	even_odd	1500000	0x4b74d343	0x96e9a343	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
178	32	24	99	even_odd	1500000	0x3d844840	0x7b044840	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
179	32	24	99	even_odd	1500000	0x3bb0295a	0x7772295a	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
180	32	24	19	even_odd	1500000	0x3f798921	0x7e798921	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
181	32	24	19	even_odd	1500000	0x261d5e93	0x2e1d5e93	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
182	32	24	19	even_odd	1500000	0x72e5ecc0	0xe4e5c8c0	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
183	32	24	19	even_odd	1500000	0x4cda552e	0x99b6ed2e	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
184	32	24	99	forward	1500000	0x5984e3b8	0xd984e3b8	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
185	32	24	99	forward	1500000	0x4b74d343	0x96e9a343	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
186	32	24	99	forward	1500000	0x3d844840	0x7b044840	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
187	32	24	99	forward	1500000	0x3bb0295a	0x7772295a	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
188	32	24	19	forward	1500000	0x3f798921	0x7e798921	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
189	32	24	19	forward	1500000	0x261d5e93	0x2e1d5e93	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
190	32	24	19	forward	1500000	0x72e5ecc0	0xe4e5c8c0	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
191	32	24	19	forward	1500000	0x4cda552e	0x99b6ed2e	0x28bda6,0xe8aa94,0xbe568e,0x6eb735,0xf933c7,0xed2861,0xdbe7c,0xb9a6ac
192	16	12	99	even_odd	2500000	0x445e	0x88be	0xfc0,0x12,0xb43,0x693
