id	n	a	y	frontier	weights
19	16	99	0x0	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20	16	99	0x0	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21	16	99	0x0	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22	16	99	0x0	3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23	16	99	0x0	3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24	16	99	0x0	3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25	16	99	0x0	3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26	16	99	0x0	3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27	16	99	0x0	3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28	16	99	0x0	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29	16	99	0x0	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30	16	99	0x0	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31	16	99	0x0	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32	16	99	0x0	4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33	16	99	0x0	4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34	16	99	0x0	4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35	16	99	0x0	4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36	16	99	0x0	4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37	16	99	0x0	4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38	16	99	0x0	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39	16	99	0x0	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40	16	99	0x7fff	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41	16	99	0x7fff	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42	16	99	0x7fff	1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43	16	99	0x7fff	1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44	16	99	0x7fff	1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45	16	99	0x7fff	1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46	16	99	0x7fff	1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47	16	99	0x7fff	1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48	16	99	0x7fff	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49	16	99	0x7fff	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50	16	99	0x7fff	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51	16	99	0x7fff	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52	16	99	0x7fff	2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53	16	99	0x7fff	2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54	16	99	0x7fff	2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55	16	99	0x7fff	2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56	16	99	0x7fff	2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57	16	99	0x7fff	2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58	16	99	0x7fff	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59	16	99	0x7fff	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60	16	99	0x7fff	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61	16	99	0x7fff	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62	16	99	0x7fff	3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63	16	99	0x7fff	3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64	16	99	0x7fff	3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65	16	99	0x7fff	3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66	16	99	0x7fff	3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67	16	99	0x7fff	3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68	16	99	0x7fff	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69	16	99	0x7fff	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70	16	99	0x7fff	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71	16	99	0x7fff	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72	16	99	0x7fff	4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73	16	99	0x7fff	4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74	16	99	0x7fff	4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75	16	99	0x7fff	4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76	16	99	0x7fff	4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77	16	99	0x7fff	4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78	16	99	0x7fff	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79	16	99	0x7fff	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80	16	99	0x7408	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81	16	99	0x7408	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82	16	99	0x7408	1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83	16	99	0x7408	1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84	16	99	0x7408	1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85	16	99	0x7408	1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86	16	99	0x7408	1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87	16	99	0x7408	1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88	16	99	0x7408	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89	16	99	0x7408	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90	16	99	0x7408	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91	16	99	0x7408	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92	16	99	0x7408	2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93	16	99	0x7408	2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94	16	99	0x7408	2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95	16	99	0x7408	2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96	16	99	0x7408	2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97	16	99	0x7408	2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98	16	99	0x7408	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99	16	99	0x7408	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100	16	99	0x7408	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101	16	99	0x7408	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102	16	99	0x7408	3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103	16	99	0x7408	3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104	16	99	0x7408	3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105	16	99	0x7408	3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106	16	99	0x7408	3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107	16	99	0x7408	3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108	16	99	0x7408	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109	16	99	0x7408	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110	16	99	0x7408	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111	16	99	0x7408	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112	16	99	0x7408	4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113	16	99	0x7408	4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114	16	99	0x7408	4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115	16	99	0x7408	4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116	16	99	0x7408	4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117	16	99	0x7408	4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118	16	99	0x7408	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119	16	99	0x7408	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120	16	99	0x5cc0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121	16	99	0x5cc0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122	16	99	0x5cc0	1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123	16	99	0x5cc0	1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124	16	99	0x5cc0	1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125	16	99	0x5cc0	1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126	16	99	0x5cc0	1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127	16	99	0x5cc0	1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128	16	99	0x5cc0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129	16	99	0x5cc0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130	16	99	0x5cc0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131	16	99	0x5cc0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132	16	99	0x5cc0	2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133	16	99	0x5cc0	2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134	16	99	0x5cc0	2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135	16	99	0x5cc0	2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136	16	99	0x5cc0	2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137	16	99	0x5cc0	2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138	16	99	0x5cc0	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139	16	99	0x5cc0	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140	16	99	0x5cc0	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141	16	99	0x5cc0	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142	16	99	0x5cc0	3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143	16	99	0x5cc0	3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144	16	99	0x5cc0	3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145	16	99	0x5cc0	3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146	16	99	0x5cc0	3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147	16	99	0x5cc0	3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148	16	99	0x5cc0	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149	16	99	0x5cc0	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150	16	99	0x5cc0	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151	16	99	0x5cc0	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152	16	99	0x5cc0	4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153	16	99	0x5cc0	4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154	16	99	0x5cc0	4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155	16	99	0x5cc0	4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156	16	99	0x5cc0	4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157	16	99	0x5cc0	4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158	16	99	0x5cc0	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159	16	99	0x5cc0	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160	16	99	0x30ed	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161	16	99	0x30ed	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162	16	99	0x30ed	1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163	16	99	0x30ed	1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164	16	99	0x30ed	1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165	16	99	0x30ed	1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166	16	99	0x30ed	1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167	16	99	0x30ed	1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168	16	99	0x30ed	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169	16	99	0x30ed	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170	16	99	0x30ed	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171	16	99	0x30ed	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172	16	99	0x30ed	2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173	16	99	0x30ed	2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174	16	99	0x30ed	2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175	16	99	0x30ed	2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176	16	99	0x30ed	2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177	16	99	0x30ed	2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178	16	99	0x30ed	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179	16	99	0x30ed	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180	16	99	0x30ed	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181	16	99	0x30ed	2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182	16	99	0x30ed	3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
183	16	99	0x30ed	3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
