trial_kind,trial_index,trial_seed,code_seed,family,alignment_schedule,n,k,rate,rate_label,p_num,p_den,p_s,odds_denominator,forced_error_weight,observed_error_weight,deletion_position,transmitted_word_hex,observation_hex,max_histories,exhaustive_status,exhaustive_time_ns,exhaustive_score,exhaustive_tie_count,disagreement,disagreement_reason,ind_bound_mode,ind_alignment_schedule,ind_status,ind_decoded_word_hex,ind_tie_count,ind_tie_words_hex,ind_incumbent_score,ind_final_bound,ind_stopping_margin,ind_q_hist,ind_q_disc,ind_q_code,ind_q_score,ind_duplicate_count,ind_duplicate_fraction,ind_frontier_updates,ind_bound_calls,ind_independent_bound_calls,ind_chain_dp_calls,ind_chain_skipped_proven_equal,ind_uac_dp_calls,ind_chain_cache_hits,ind_uac_cache_hits,ind_bound_time_ns,ind_independent_bound_time_ns,ind_chain_dp_time_ns,ind_uac_dp_time_ns,ind_membership_time_ns,ind_scoring_time_ns,ind_total_time_ns,ind_stop_min_shell,ind_stop_max_shell,ind_max_shell_entered,ind_max_histories,ind_complete,cr_bound_mode,cr_alignment_schedule,cr_status,cr_decoded_word_hex,cr_tie_count,cr_tie_words_hex,cr_incumbent_score,cr_final_bound,cr_stopping_margin,cr_q_hist,cr_q_disc,cr_q_code,cr_q_score,cr_duplicate_count,cr_duplicate_fraction,cr_frontier_updates,cr_bound_calls,cr_independent_bound_calls,cr_chain_dp_calls,cr_chain_skipped_proven_equal,cr_uac_dp_calls,cr_chain_cache_hits,cr_uac_cache_hits,cr_bound_time_ns,cr_independent_bound_time_ns,cr_chain_dp_time_ns,cr_uac_dp_time_ns,cr_membership_time_ns,cr_scoring_time_ns,cr_total_time_ns,cr_stop_min_shell,cr_stop_max_shell,cr_max_shell_entered,cr_max_histories,cr_complete,ac_bound_mode,ac_alignment_schedule,ac_status,ac_decoded_word_hex,ac_tie_count,ac_tie_words_hex,ac_incumbent_score,ac_final_bound,ac_stopping_margin,ac_q_hist,ac_q_disc,ac_q_code,ac_q_score,ac_duplicate_count,ac_duplicate_fraction,ac_frontier_updates,ac_bound_calls,ac_independent_bound_calls,ac_chain_dp_calls,ac_chain_skipped_proven_equal,ac_uac_dp_calls,ac_chain_cache_hits,ac_uac_cache_hits,ac_bound_time_ns,ac_independent_bound_time_ns,ac_chain_dp_time_ns,ac_uac_dp_time_ns,ac_membership_time_ns,ac_scoring_time_ns,ac_total_time_ns,ac_stop_min_shell,ac_stop_max_shell,ac_max_shell_entered,ac_max_histories,ac_complete,q_hist_improvement_ind_over_cr,q_code_improvement_ind_over_cr,walltime_improvement_ind_over_cr,q_hist_improvement_ind_over_ac,q_code_improvement_ind_over_ac,walltime_improvement_ind_over_ac
natural,0,4062926604219850398,3653728495638284649,crc_defined_linear,even_odd,16,11,0.6875,R2_3,1,100,0.01,99,,0,4,0xe932,0x7492,1500000,PASS,8238019,1755044714199112425922763779200,1,False,,independent,even_odd,CERTIFIED,0xe932,1,0xe932,1755044714199112425922763779200,990370226556635271090007580514,764674487642477154832756198686,31,17,17,1,14,0.45161290322580644,15,13,15,0,0,0,0,0,52593,52593,0,0,9746,6982,96303,0,1,0,1500000,True,chain_relaxed,even_odd,CERTIFIED,0xe932,1,0xe932,1755044714199112425922763779200,990370226556635271090007580514,764674487642477154832756198686,31,17,17,1,14,0.45161290322580644,15,13,15,12,0,0,0,0,2383433,68077,2315356,0,14067,7160,2459533,0,1,0,1500000,True,alignment_consistent,even_odd,CERTIFIED,0xe932,1,0xe932,1755044714199112425922763779200,886209385510569229042411100898,868835328688543196880352678302,23,15,15,1,8,0.34782608695652173,7,5,7,5,0,5,0,0,6271244,37260,976176,5257808,14969,6758,6335522,0,1,0,1500000,True,1.0,1.0,0.03915499405781504,1.3478260869565217,1.1333333333333333,0.01520048387488829
natural,1,16918733131200868211,3653728495638284649,crc_defined_linear,even_odd,16,11,0.6875,R2_3,1,100,0.01,99,,0,10,0x7ccc,0x3ccc,1500000,PASS,8558713,4326531442651496699741202043698,1,False,,independent,even_odd,CERTIFIED,0x7ccc,1,0x7ccc,4326531442651496699741202043698,3544482916097431496532658709208,782048526554065203208543334490,28,15,15,2,13,0.4642857142857143,12,7,12,0,0,0,0,0,36910,36910,0,0,7161,9838,71770,0,1,0,1500000,True,chain_relaxed,even_odd,CERTIFIED,0x7ccc,1,0x7ccc,4326531442651496699741202043698,3544482916097431496532658709208,782048526554065203208543334490,24,13,13,1,11,0.4583333333333333,8,3,8,3,0,0,0,0,702337,32036,670301,0,6405,6330,744242,0,1,0,1500000,True,alignment_consistent,even_odd,CERTIFIED,0x7ccc,1,0x7ccc,4326531442651496699741202043698,1755043836857147942634044379600,2571487605794348757107157664098,22,13,13,1,9,0.4090909090909091,6,1,6,1,0,1,0,0,1195691,21229,174182,1000280,6717,5973,1227260,0,1,0,1500000,True,1.1666666666666667,1.1538461538461537,0.09643368689216679,1.2727272727272727,1.1538461538461537,0.058479865717125955
natural,2,6848326092628658641,3653728495638284649,crc_defined_linear,even_odd,16,11,0.6875,R2_3,1,100,0.01,99,,0,5,0xc738,0x6398,1500000,PASS,8331904,3483848013038093868592125462498,1,False,,independent,even_odd,CERTIFIED,0xc398,1,0xc398,3483848013038093868592125462498,2693112019583832754718441666310,790735993454261113873683796188,29,16,16,2,13,0.4482758620689655,13,14,13,0,0,0,0,0,72287,72287,0,0,11268,12798,124946,0,1,0,1500000,True,chain_relaxed,even_odd,CERTIFIED,0xc398,1,0xc398,3483848013038093868592125462498,1841741123070234012904224623412,1642106889967859855687900839086,24,15,15,2,9,0.375,8,9,8,7,2,0,0,0,1450981,35899,1415082,0,11731,12496,1511559,0,1,0,1500000,True,alignment_consistent,even_odd,CERTIFIED,0xc398,1,0xc398,3483848013038093868592125462498,2606502485561657754252959811000,877345527476436114339165651498,22,13,13,2,9,0.4090909090909091,6,7,6,5,2,7,0,0,8635818,35080,1010351,7590387,13101,15468,8720154,0,1,0,1500000,True,1.2083333333333333,1.0666666666666667,0.08266035265576799,1.3181818181818181,1.2307692307692308,0.014328416677044924
natural,3,10059961040549860224,3653728495638284649,crc_defined_linear,even_odd,16,11,0.6875,R2_3,1,100,0.01,99,,0,1,0x317,0x18b,1500000,PASS,8321989,2588952951757864733127837557004,1,False,,independent,even_odd,CERTIFIED,0x317,1,0x317,2588952951757864733127837557004,1841741123070234012904224623412,747211828687630720223612933592,30,15,15,1,15,0.5,14,14,14,0,0,0,0,0,44761,44761,0,0,7214,5715,78395,0,1,0,1500000,True,chain_relaxed,even_odd,CERTIFIED,0x317,1,0x317,2588952951757864733127837557004,1841741123070234012904224623412,747211828687630720223612933592,30,15,15,1,15,0.5,14,14,14,12,1,0,0,0,2342443,58376,2284067,0,10254,4980,2398348,0,1,0,1500000,True,alignment_consistent,even_odd,CERTIFIED,0x317,1,0x317,2588952951757864733127837557004,912361275812289949940800004004,1676591675945574783187037553000,22,11,11,1,11,0.5,6,6,6,5,1,6,0,0,7290124,31693,962940,6295491,10327,5397,7346219,0,1,0,1500000,True,1.0,1.0,0.03268708294209181,1.3636363636363635,1.3636363636363635,0.010671476034134021
natural,2,17599980546233328827,3653728495638284649,crc_defined_linear,even_odd,16,11,0.6875,R2_3,1,20,0.05,19,,0,2,0xdd51,0x6ea9,1500000,PASS,8343359,47185783755522992782,1,False,,independent,even_odd,CERTIFIED,0xdd51,1,0xdd51,47185783755522992782,41548347660709974292,5637436094813018490,30,17,17,2,13,0.43333333333333335,14,15,14,0,0,0,0,0,40403,40403,0,0,8515,10183,81141,0,1,0,1500000,True,chain_relaxed,even_odd,CERTIFIED,0xdd51,1,0xdd51,47185783755522992782,41548347660709974292,5637436094813018490,24,17,17,2,7,0.2916666666666667,8,9,8,7,2,0,0,0,1281290,29292,1251998,0,14778,10617,1336960,0,1,0,1500000,True,alignment_consistent,even_odd,CERTIFIED,0xdd51,1,0xdd51,47185783755522992782,46470883002699972796,714900752823019986,22,16,16,2,6,0.2727272727272727,6,7,6,5,2,7,0,0,7556737,28725,906583,6621429,13413,12190,7634080,0,1,0,1500000,True,1.25,1.0,0.060690671373863095,1.3636363636363635,1.0625,0.010628785655900908
natural,3,12950514695121228515,3653728495638284649,crc_defined_linear,even_odd,16,11,0.6875,R2_3,1,20,0.05,19,,0,9,0x85d0,0x43d0,1500000,PASS,8049802,18592311281191345276,1,False,,independent,even_odd,CERTIFIED,0x85d0,1,0x85d0,18592311281191345276,12784106972526145936,5808204308665199340,32,17,17,2,15,0.46875,16,17,16,0,0,0,0,0,44960,44960,0,0,8874,10353,87280,1,1,0,1500000,True,chain_relaxed,even_odd,CERTIFIED,0x85d0,1,0x85d0,18592311281191345276,12784106972526145936,5808204308665199340,32,17,17,2,15,0.46875,16,17,16,13,3,0,0,0,2325552,58870,2266682,0,10361,10476,2391871,1,1,0,1500000,True,alignment_consistent,even_odd,CERTIFIED,0x85d0,1,0x85d0,18592311281191345276,18589773019760615662,2538261430729614,29,15,15,2,14,0.4827586206896552,13,14,13,12,2,14,0,0,16846130,65978,2331006,14449146,14309,10871,16943341,0,1,0,1500000,True,1.0,1.0,0.036490262225680234,1.103448275862069,1.1333333333333333,0.005151286278190352
natural,0,1668764813382910015,3653728495638284649,crc_defined_linear,even_odd,16,11,0.6875,R2_3,1,20,0.05,19,,1,2,0x2246,0x112a,1500000,PASS,8082463,16827962422666220764,1,False,,independent,even_odd,CERTIFIED,0x512a,1,0x512a,16827962422666220764,12784106972526145936,4043855450140074828,32,17,17,1,15,0.46875,16,9,16,0,0,0,0,0,45092,45092,0,0,8010,5919,85922,1,1,0,1500000,True,chain_relaxed,even_odd,CERTIFIED,0x512a,1,0x512a,16827962422666220764,12784106972526145936,4043855450140074828,32,17,17,1,15,0.46875,16,9,16,7,1,0,0,0,1274878,52387,1222491,0,8726,4686,1320589,1,1,0,1500000,True,alignment_consistent,even_odd,CERTIFIED,0x512a,1,0x512a,16827962422666220764,12784106972526145936,4043855450140074828,32,17,17,1,15,0.46875,16,9,16,7,1,8,0,0,8539012,59027,1260950,7219035,10926,5307,8600424,1,1,0,1500000,True,1.0,1.0,0.06506339216819161,1.0,1.0,0.009990437680746903
natural,1,16565716841175452632,3653728495638284649,crc_defined_linear,even_odd,16,11,0.6875,R2_3,1,20,0.05,19,,1,11,0x14e1,0x4ce1,1500000,PASS,8656825,3377751547012758124,1,False,,independent,even_odd,CERTIFIED,0x9861,1,0x9861,3377751547012758124,2943708842357994130,434042704654763994,509,229,229,4,280,0.550098231827112,29,15,29,0,0,0,0,0,81085,81085,0,0,90587,17791,297792,1,2,1,1500000,True,chain_relaxed,even_odd,CERTIFIED,0x9861,1,0x9861,3377751547012758124,2943708842357994130,434042704654763994,504,227,227,4,277,0.5496031746031746,24,10,24,7,3,0,0,0,1368511,94409,1274102,0,99245,20148,1632328,1,2,1,1500000,True,alignment_consistent,even_odd,CERTIFIED,0x9861,1,0x9861,3377751547012758124,3284933657623606564,92817889389151560,502,227,227,4,275,0.547808764940239,22,8,22,5,3,7,0,1,7970388,68117,858466,7043805,89209,19933,8203058,1,2,1,1500000,True,1.0099206349206349,1.0088105726872247,0.18243392259398847,1.0139442231075697,1.0088105726872247,0.036302559362618184
natural,0,4062926604219850398,3653728495638284649,crc_defined_linear,forward,16,11,0.6875,R2_3,1,100,0.01,99,,0,4,0xe932,0x7492,1500000,PASS,9344414,1755044714199112425922763779200,1,False,,independent,forward,CERTIFIED,0xe932,1,0xe932,1755044714199112425922763779200,990370226556635271090007580514,764674487642477154832756198686,31,17,17,1,14,0.45161290322580644,15,11,15,0,0,0,0,0,49445,49445,0,0,8332,6768,86079,0,1,0,1500000,True,chain_relaxed,forward,CERTIFIED,0xe932,1,0xe932,1755044714199112425922763779200,990370226556635271090007580514,764674487642477154832756198686,31,17,17,1,14,0.45161290322580644,15,11,15,0,10,0,0,0,47013,47013,0,0,7257,5401,82938,0,1,0,1500000,True,alignment_consistent,forward,CERTIFIED,0xe932,1,0xe932,1755044714199112425922763779200,886209385510569229042411100898,868835328688543196880352678302,29,17,17,1,12,0.41379310344827586,13,9,13,0,9,9,0,0,8778224,54855,0,8723369,12086,5304,8837928,0,1,0,1500000,True,1.0,1.0,1.0378716631700788,1.0689655172413792,1.0,0.009739726324993822
natural,1,16918733131200868211,3653728495638284649,crc_defined_linear,forward,16,11,0.6875,R2_3,1,100,0.01,99,,0,10,0x7ccc,0x3ccc,1500000,PASS,8685809,4326531442651496699741202043698,1,False,,independent,forward,CERTIFIED,0x7ccc,1,0x7ccc,4326531442651496699741202043698,3544482916097431496532658709208,782048526554065203208543334490,28,16,16,2,12,0.42857142857142855,12,11,12,0,0,0,0,0,44170,44170,0,0,9157,13276,91898,0,1,0,1500000,True,chain_relaxed,forward,CERTIFIED,0x7ccc,1,0x7ccc,4326531442651496699741202043698,3544482916097431496532658709208,782048526554065203208543334490,28,16,16,2,12,0.42857142857142855,12,11,12,0,10,0,0,0,77340,77340,0,0,14746,32839,184111,0,1,0,1500000,True,alignment_consistent,forward,CERTIFIED,0x7ccc,1,0x7ccc,4326531442651496699741202043698,1755043836857147942634044379600,2571487605794348757107157664098,27,16,16,2,11,0.4074074074074074,11,10,11,0,10,10,0,0,11103924,64814,0,11039110,63172,18855,11252255,0,1,0,1500000,True,1.0,1.0,0.4991445378059975,1.037037037037037,1.0,0.008167074066487118
