n,rate_label,family,alignment_schedule,p_num,p_den,observed_error_weight,trials,paired_complete,ind_censored,cr_censored,ac_censored,median_q_hist_ratio_ind_over_cr,median_q_hist_ratio_ind_over_ac,median_walltime_ratio_ind_over_cr,median_walltime_ratio_ind_over_ac
16,R3_4,random_systematic_linear,even_odd,1,100,0,1,1,0,0,0,1.2173913043478262,1.5555555555555556,0.08360032091043702,0.02886837643695289
16,R3_4,random_systematic_linear,even_odd,1,100,1,1,1,0,0,0,1.2173913043478262,1.4736842105263157,0.08630112058794179,0.022087432927469366
16,R3_4,random_systematic_linear,even_odd,1,100,2,1,1,0,0,0,1.0,1.0159045725646123,0.14410808951354806,0.03797374784365252
16,R3_4,random_systematic_linear,even_odd,1,20,0,1,1,0,0,0,1.125,1.4210526315789473,0.06089345332851659,0.018176510877782843
16,R3_4,random_systematic_linear,even_odd,1,20,1,1,1,0,0,0,1.0333333333333334,1.2916666666666667,0.0358467275111116,0.008226377628892669
16,R3_4,random_systematic_linear,even_odd,1,20,2,1,1,0,0,0,1.1481481481481481,1.2916666666666667,0.04187032775793972,0.0074036055729458546
16,R3_4,random_systematic_linear,even_odd,1,20,3,1,1,0,0,0,1.0,1.0666666666666667,0.03500146029891684,0.004806717386800694
24,R3_4,random_systematic_linear,even_odd,1,100,0,1,1,0,0,0,1.119047619047619,1.3428571428571427,0.023386090581093495,0.003609481909929316
24,R3_4,random_systematic_linear,even_odd,1,100,1,1,1,0,0,0,1.2777777777777777,1.4375,0.03466826127446038,0.00458786272245388
24,R3_4,random_systematic_linear,even_odd,1,100,2,1,1,0,0,0,1.0,1.0212765957446808,0.09274616788493725,0.008550300775224074
24,R3_4,random_systematic_linear,even_odd,1,20,0,1,1,0,0,0,1.0444444444444445,1.3055555555555556,0.02131321383763749,0.003583683224871155
24,R3_4,random_systematic_linear,even_odd,1,20,1,1,1,0,0,0,1.0,1.3714285714285714,0.020370068033937302,0.005003601107918559
24,R3_4,random_systematic_linear,even_odd,1,20,2,1,1,0,0,0,1.0061295971978985,1.0087796312554873,0.12762666007728224,0.015972682268055143
24,R3_4,random_systematic_linear,even_odd,1,20,3,1,1,0,0,0,1.0078947368421052,1.0087796312554873,0.14978089837289907,0.01638057890148999
32,R3_4,random_systematic_linear,even_odd,1,100,0,1,1,0,0,0,1.0508474576271187,1.3478260869565217,0.013880145423789115,0.002148663315203672
32,R3_4,random_systematic_linear,even_odd,1,100,1,1,1,0,0,0,1.0004887585532747,1.0019579050416054,0.05345108814813597,0.00521837054155345
32,R3_4,random_systematic_linear,even_odd,1,100,2,1,1,0,0,0,1.0034364261168385,1.0073928043371119,0.0984643768285398,0.01128305410907097
32,R3_4,random_systematic_linear,even_odd,1,20,0,1,1,0,0,0,1.0019782393669634,31.65625,0.2807341162090129,0.0810983745116147
32,R3_4,random_systematic_linear,even_odd,1,20,1,1,1,0,0,0,1.0029426189308484,1.0073891625615763,0.08955119468724189,0.010789099109000706
32,R3_4,random_systematic_linear,even_odd,1,20,2,1,1,0,0,0,1.0001258574035619,15.543276283618582,0.39278022674459545,0.05629068624774409
32,R3_4,random_systematic_linear,even_odd,1,20,3,1,1,0,0,0,1.00146771037182,1.0078778926637124,0.07349870461907673,0.009977606130204828
32,R3_4,random_systematic_linear,even_odd,1,20,4,1,1,0,0,0,1.0024715768660406,34.3728813559322,0.047667771212813084,0.005283309663344088
