n,rate_label,family,alignment_schedule,p_num,p_den,p_s,trials,paired_complete,ind_censored,cr_censored,ac_censored,disagreements,median_ind_q_hist,median_cr_q_hist,median_ac_q_hist,median_q_hist_ratio_ind_over_cr,median_q_hist_ratio_ind_over_ac,p90_q_hist_ratio_ind_over_cr,p90_q_hist_ratio_ind_over_ac,p99_q_hist_ratio_ind_over_cr,p99_q_hist_ratio_ind_over_ac,median_q_code_ratio_ind_over_cr,median_q_code_ratio_ind_over_ac,median_walltime_ratio_ind_over_cr,median_walltime_ratio_ind_over_ac,p90_walltime_ratio_ind_over_cr,p90_walltime_ratio_ind_over_ac,tail_status
16,R2_3,crc_defined_linear,even_odd,1,20,0.05,4,4,0,0,0,0,32.0,32.0,30.5,1.0049603174603174,1.0586962494848193,1.25,1.3636363636363635,,,1.0,1.0356552863436124,0.06287703177102735,0.010309611668323906,0.18243392259398847,0.036302559362618184,INSUFFICIENT_N_FOR_99TH
16,R2_3,crc_defined_linear,even_odd,1,100,0.01,4,4,0,0,0,0,29.5,27.0,22.0,1.0833333333333335,1.33300395256917,1.2083333333333333,1.3636363636363635,,,1.0333333333333332,1.1923076923076923,0.060907673356791515,0.014764450275966606,0.09643368689216679,0.058479865717125955,INSUFFICIENT_N_FOR_99TH
16,R2_3,crc_defined_linear,forward,1,20,0.05,4,4,0,0,0,0,32.0,32.0,31.5,1.0,1.0181014188458357,1.0,1.1538461538461537,,,1.0,1.0,1.0262686653815924,0.015902025582326982,1.095165634095383,0.0877545431408468,INSUFFICIENT_N_FOR_99TH
16,R2_3,crc_defined_linear,forward,1,100,0.01,4,4,0,0,0,0,29.5,29.5,27.0,1.0,1.0715197956577267,1.0,1.1538461538461537,,,1.0,1.0714285714285714,1.0116301199083173,0.007935197138670982,1.0378716631700788,0.009739726324993822,INSUFFICIENT_N_FOR_99TH
16,R2_3,random_systematic_linear,even_odd,1,20,0.05,4,4,0,0,0,0,269.5,267.0,264.5,1.006952466269046,1.0985568073043221,1.0740740740740742,1.2608695652173914,,,1.002212389380531,1.0688790560471975,0.10820670887662154,0.022548765855797463,0.2957510573541872,0.049167778365290044,INSUFFICIENT_N_FOR_99TH
16,R2_3,random_systematic_linear,even_odd,1,100,0.01,4,4,0,0,0,0,30.5,28.0,23.5,1.0892857142857144,1.2980072463768115,1.1111111111111112,1.3636363636363635,,,1.0333333333333332,1.2,0.040043556125222084,0.011132274898188587,0.07987190151701501,0.06873075170548372,INSUFFICIENT_N_FOR_99TH
16,R2_3,random_systematic_linear,forward,1,20,0.05,4,4,0,0,0,0,269.5,269.5,268.5,1.0,1.0009881422924902,1.0,1.032258064516129,,,1.0,1.0022222222222221,0.9233564863170587,0.014643155247998186,1.1344828895173382,0.034037219379315094,INSUFFICIENT_N_FOR_99TH
16,R2_3,random_systematic_linear,forward,1,100,0.01,4,4,0,0,0,0,30.5,30.5,29.5,1.0,1.0339080459770116,1.0,1.1111111111111112,,,1.0,1.0645833333333332,1.5363109664754075,0.012810069136364066,2.7257208618374786,0.18485372738270223,INSUFFICIENT_N_FOR_99TH
16,R3_4,crc_defined_linear,even_odd,1,20,0.05,4,4,0,0,0,0,30.5,28.0,26.0,1.1041666666666665,1.1924242424242424,1.2083333333333333,1.45,,,1.0,1.0714285714285714,0.05695624697107161,0.0092128518870823,0.06060392672541472,0.01429322134347038,INSUFFICIENT_N_FOR_99TH
16,R3_4,crc_defined_linear,even_odd,1,100,0.01,4,4,0,0,0,0,30.5,27.5,21.0,1.1114058355437666,1.4545454545454546,1.16,1.5263157894736843,,,1.0333333333333332,1.3426573426573427,0.04699448242151853,0.015159522990891265,0.053726287558697405,0.01815140568041751,INSUFFICIENT_N_FOR_99TH
16,R3_4,crc_defined_linear,forward,1,20,0.05,4,4,0,0,0,0,30.5,30.5,28.0,1.0,1.0910256410256411,1.0,1.3181818181818181,,,1.0,1.0333333333333332,0.9516964701423779,0.008735662600736433,1.0695489449570885,0.02767466556244949,INSUFFICIENT_N_FOR_99TH
16,R3_4,crc_defined_linear,forward,1,100,0.01,4,4,0,0,0,0,30.5,30.5,25.0,1.0,1.2262479871175525,1.0,1.45,,,1.0,1.2380952380952381,0.9309323152947377,0.010106788653116193,1.0335811498833911,0.015609073329588675,INSUFFICIENT_N_FOR_99TH
16,R3_4,random_systematic_linear,even_odd,1,20,0.05,4,4,0,0,0,0,31.0,30.0,26.5,1.040684464640727,1.182795698924731,1.2173913043478262,1.3636363636363635,,,1.0355167394468703,1.1175680214981525,0.05127702658854247,0.010690225216137331,0.244594396895772,0.040337988179764486,INSUFFICIENT_N_FOR_99TH
16,R3_4,random_systematic_linear,even_odd,1,100,0.01,4,4,0,0,0,0,31.0,26.0,23.0,1.1923076923076923,1.350378787878788,1.2083333333333333,1.45,,,1.0,1.1487179487179486,0.056895557288293735,0.011358682773332343,0.09045673177936092,0.07342015398117453,INSUFFICIENT_N_FOR_99TH
16,R3_4,random_systematic_linear,forward,1,20,0.05,4,4,0,0,0,0,31.0,31.0,29.0,1.0,1.07168458781362,1.0,1.1666666666666667,,,1.0,1.1153846153846154,1.0186302955649358,0.008116053781858229,1.1187462326702833,0.029730201773821033,INSUFFICIENT_N_FOR_99TH
16,R3_4,random_systematic_linear,forward,1,100,0.01,4,4,0,0,0,0,31.0,31.0,28.5,1.0,1.0961538461538463,1.0,1.3181818181818181,,,1.0,1.0714285714285714,1.034031854882706,0.008688444352660881,1.2685294227026491,0.09979510654752094,INSUFFICIENT_N_FOR_99TH
24,R2_3,crc_defined_linear,even_odd,1,20,0.05,4,4,0,0,0,0,1140.0,1138.5,590.0,1.0,1.1048245614035088,1.0026132404181185,28.225,,,1.0,1.0472165786265746,0.08331232352437984,0.011016437337106064,0.09509187863085138,0.015513941056737392,INSUFFICIENT_N_FOR_99TH
24,R2_3,crc_defined_linear,even_odd,1,100,0.01,4,4,0,0,0,0,46.5,43.0,35.5,1.0822510822510822,1.309920634920635,1.119047619047619,1.3529411764705883,,,1.042572463768116,1.0889328063241106,0.027573814868079253,0.0051759167252256825,0.0390937801374456,0.03828929851618525,INSUFFICIENT_N_FOR_99TH
24,R2_3,crc_defined_linear,forward,1,20,0.05,4,4,0,0,0,0,1140.0,1140.0,598.0,1.0,1.0221739130434782,1.0,24.543478260869566,,,1.0,1.0009293680297398,0.9608414880467167,0.00902919421141198,0.9939841595378129,0.013387291538088148,INSUFFICIENT_N_FOR_99TH
24,R2_3,crc_defined_linear,forward,1,100,0.01,4,4,0,0,0,0,46.5,46.5,45.5,1.0,1.0219806763285024,1.0,1.069767441860465,,,1.0,1.0208333333333335,1.0398975372558517,0.0031872600012922284,1.1751989446359419,0.04234724047048539,INSUFFICIENT_N_FOR_99TH
24,R2_3,random_systematic_linear,even_odd,1,20,0.05,4,4,0,0,0,0,598.5,594.0,587.0,1.0048176904401998,1.1714997070884592,1.0222222222222221,1.393939393939394,,,1.0,1.046292519781385,0.059341258514350494,0.010502322004427148,0.14745481615787748,0.0174018336467303,INSUFFICIENT_N_FOR_99TH
24,R2_3,random_systematic_linear,even_odd,1,100,0.01,4,4,0,0,0,0,47.5,47.5,42.0,1.0017452006980803,1.1571637426900585,1.0930232558139534,1.3428571428571427,,,1.0,1.0009433962264151,0.021422894658217513,0.0037882340309442555,0.10249522585157123,0.015233669771226829,INSUFFICIENT_N_FOR_99TH
24,R2_3,random_systematic_linear,forward,1,20,0.05,4,4,0,0,0,0,598.5,598.5,596.5,1.0,1.0119471983959007,1.0,1.1219512195121952,,,1.0,1.0208333333333335,1.0019356842032903,0.006238968254354573,1.2882633592808383,0.014736689085489458,INSUFFICIENT_N_FOR_99TH
24,R2_3,random_systematic_linear,forward,1,100,0.01,4,4,0,0,0,0,47.5,47.5,47.5,1.0,1.0,1.0,1.0444444444444445,,,1.0,1.0,0.9826705249685553,0.0025647222440639073,1.0767463023545132,0.009914424896044409,INSUFFICIENT_N_FOR_99TH
24,R3_4,crc_defined_linear,even_odd,1,20,0.05,4,4,0,0,0,0,597.0,593.0,584.5,1.0043767956476557,1.2022374757229892,1.0217391304347827,1.46875,,,1.000915750915751,1.0462978097417457,0.0598233560525311,0.01763378942891789,0.14424686016691948,0.02106211739325791,INSUFFICIENT_N_FOR_99TH
24,R3_4,crc_defined_linear,even_odd,1,100,0.01,4,4,0,0,0,0,47.0,44.5,39.5,1.0609756097560976,1.1970284237726099,1.1764705882352942,1.3793103448275863,,,1.0217391304347827,1.042572463768116,0.024180033049643862,0.0031797219977941216,0.047479427626456475,0.02885790373011755,INSUFFICIENT_N_FOR_99TH
24,R3_4,crc_defined_linear,forward,1,20,0.05,4,4,0,0,0,0,597.0,597.0,591.5,1.0,1.0767497812773403,1.0,1.236842105263158,,,1.0,1.0217714196372734,0.9910665155752897,0.011880573652847724,1.0155893320478102,0.01358409662111515,INSUFFICIENT_N_FOR_99TH
24,R3_4,crc_defined_linear,forward,1,100,0.01,4,4,0,0,0,0,47.0,47.0,46.5,1.0,1.0212765957446808,1.0,1.2121212121212122,,,1.0,1.0,0.9511955139097996,0.0029070356725662385,1.0219977813265717,0.031600343172135996,INSUFFICIENT_N_FOR_99TH
24,R3_4,random_systematic_linear,even_odd,1,20,0.05,4,4,0,0,0,0,1137.5,1133.5,591.0,1.0026277925614209,1.2102721685689202,1.0061565523306948,25.133333333333333,,,1.00093808630394,1.1964129483814523,0.11553448366706681,0.016083960512450885,0.18758388149828956,0.02000167159217289,INSUFFICIENT_N_FOR_99TH
24,R3_4,random_systematic_linear,even_odd,1,100,0.01,4,4,0,0,0,0,45.0,40.0,35.0,1.125,1.2857142857142858,1.2162162162162162,1.3235294117647058,,,1.0681818181818181,1.2052631578947368,0.05117052192317621,0.022791017846691304,0.09337460770328103,0.04121888130506768,INSUFFICIENT_N_FOR_99TH
24,R3_4,random_systematic_linear,forward,1,20,0.05,4,4,0,0,0,0,1137.5,1137.5,595.5,1.0,1.0585750749534073,1.0,24.06382978723404,,,1.0,1.0681818181818183,0.9857705695529576,0.012195047593694592,1.093233988259392,0.06021028705562935,INSUFFICIENT_N_FOR_99TH
24,R3_4,random_systematic_linear,forward,1,100,0.01,4,4,0,0,0,0,45.0,45.0,44.5,1.0,1.0220019342359767,1.0,1.0465116279069768,,,1.0,1.0,0.9437142189365608,0.021162486601265136,1.0442518116465052,0.9729204994146349,INSUFFICIENT_N_FOR_99TH
32,R2_3,crc_defined_linear,even_odd,1,20,0.05,4,4,0,0,0,0,16916.5,16914.5,2039.5,1.000062928701781,1.0078798330313636,1.0009784735812133,15.5205078125,,,1.0,1.0036243936243938,0.2555972524781655,0.03462553894713642,0.4610918076405894,0.059979351984564507,INSUFFICIENT_N_FOR_99TH
32,R2_3,crc_defined_linear,even_odd,1,100,0.01,4,4,0,0,0,0,61.5,55.0,43.5,1.1181818181818182,1.3903436988543372,1.2127659574468086,1.525,,,1.032258064516129,1.1868131868131868,0.0282668134469161,0.018489413727075764,0.08102938649084639,0.02581316169230082,INSUFFICIENT_N_FOR_99TH
32,R2_3,crc_defined_linear,forward,1,20,0.05,4,4,0,0,0,0,16916.5,16916.5,2046.5,1.0,1.001468429484493,1.0,15.5205078125,,,1.0,1.0005175983436851,0.9890602691818073,0.03364832553240941,0.9966199771420037,0.06094569415236041,INSUFFICIENT_N_FOR_99TH
32,R2_3,crc_defined_linear,forward,1,100,0.01,4,4,0,0,0,0,61.5,61.5,54.0,1.0,1.1559239940387482,1.0,1.297872340425532,,,1.0,1.0930521091811414,0.9593115746322929,0.015469555477615596,1.0699123246873623,0.030812829956169217,INSUFFICIENT_N_FOR_99TH
32,R2_3,random_systematic_linear,even_odd,1,20,0.05,4,4,0,0,0,0,2037.0,2034.5,1047.5,1.000338721866027,1.1847900101616435,1.0019772614928324,31.671875,,,1.0005883661556245,1.0918737060041408,0.05935902548553761,0.008050847240809483,0.5314814567720643,0.10959462666509388,INSUFFICIENT_N_FOR_99TH
32,R2_3,random_systematic_linear,even_odd,1,100,0.01,4,4,0,0,0,0,64.0,64.0,62.5,1.0,1.02803504582419,1.0014684287812041,1.0847457627118644,,,1.0,1.0176996887966805,0.1255613370144894,0.020558379588107904,0.9838369329414116,0.8674178134057497,INSUFFICIENT_N_FOR_99TH
32,R2_3,random_systematic_linear,forward,1,20,0.05,4,4,0,0,0,0,2037.0,2037.0,1054.5,1.0,1.0250791614894386,1.0,31.671875,,,1.0,1.0005154639175258,1.0423869984548386,0.0058152417147486375,1.0844213727263976,0.07127924910823076,INSUFFICIENT_N_FOR_99TH
32,R2_3,random_systematic_linear,forward,1,100,0.01,4,4,0,0,0,0,64.0,64.0,63.5,1.0,1.007936507936508,1.0,1.032258064516129,,,1.0,1.0,1.0187562873227614,0.0061218539584731516,1.0610880005713164,0.8811957945297216,INSUFFICIENT_N_FOR_99TH
32,R3_4,crc_defined_linear,even_odd,1,20,0.05,4,4,0,0,0,0,2034.0,2032.0,1043.0,1.0007337356852128,1.1708600559118567,1.0014844136566057,34.30508474576271,,,1.0,1.033860628618693,0.07174145140827967,0.011054671855488338,0.15783043950872727,0.06557008892438602,INSUFFICIENT_N_FOR_99TH
32,R3_4,crc_defined_linear,even_odd,1,100,0.01,4,4,0,0,0,0,2044.5,2035.0,2030.0,1.00466977155705,1.0071426214104893,1.087719298245614,1.3478260869565217,,,1.0015614171864171,1.003652912924864,0.07788972100320954,0.008032176925518879,0.12933834130872196,0.012309962696436109,INSUFFICIENT_N_FOR_99TH
32,R3_4,crc_defined_linear,forward,1,20,0.05,4,4,0,0,0,0,2034.0,2034.0,1050.0,1.0,1.0178472453164837,1.0,32.12698412698413,,,1.0,1.032258064516129,1.0077859983821442,0.006493139330529197,1.0181947677366558,0.012495988883340107,INSUFFICIENT_N_FOR_99TH
32,R3_4,crc_defined_linear,forward,1,100,0.01,4,4,0,0,0,0,2044.5,2044.5,2042.0,1.0,1.0012257335455286,1.0,1.0689655172413792,,,1.0,1.0020764872340018,0.9277041605581839,0.0050267094999418335,1.1708594041480884,0.0074025223844868,INSUFFICIENT_N_FOR_99TH
32,R3_4,random_systematic_linear,even_odd,1,20,0.05,4,4,0,0,0,0,2035.5,2034.0,1041.0,1.0002443792766373,1.2150500574429675,1.0009891196834817,39.68627450980392,,,1.0005086469989828,1.070494569229147,0.057829673018310324,0.007828698266656827,0.22497431032955167,0.03423964176897924,INSUFFICIENT_N_FOR_99TH
32,R3_4,random_systematic_linear,even_odd,1,100,0.01,4,4,0,0,0,0,62.5,58.0,45.5,1.0780553077609278,1.353924418604651,1.1320754716981132,1.441860465116279,,,1.0166580578512396,1.2089655172413794,0.026768411826988987,0.006271426280818762,0.0805463598419887,0.02875321785822212,INSUFFICIENT_N_FOR_99TH
32,R3_4,random_systematic_linear,forward,1,20,0.05,4,4,0,0,0,0,2035.5,2035.5,1053.0,1.0,1.061892506326942,1.0,33.18032786885246,,,1.0,1.0161336469989828,0.9952254997591776,0.005199714885009799,1.088484153351263,0.006930987366407134,INSUFFICIENT_N_FOR_99TH
32,R3_4,random_systematic_linear,forward,1,100,0.01,4,4,0,0,0,0,62.5,62.5,58.0,1.0,1.0771676953183802,1.0,1.169811320754717,,,1.0,1.0517241379310345,1.0155627919573598,0.003768332965912535,1.0900907940179088,1.1157255791077363,INSUFFICIENT_N_FOR_99TH
