n,p_s,delta,L_n,binomial_error_weight_quantile,certified_stop_shell,deduplicated_generated_cap,history_pair_generated_cap,exact_expected_membership_cap,h2_p
16,0.05,0.01,1,3,3,9792,18432,902.1662723820381,0.28639695711595625
16,0.05,0.001,1,4,4,32997,62112,902.1662723820381,0.28639695711595625
24,0.05,0.01,2,4,5,1113800,2138496,82611.1873762957,0.28639695711595625
24,0.05,0.001,2,5,6,3637475,6983952,82611.1873762957,0.28639695711595625
32,0.05,0.01,2,5,6,31107417,60329536,1723613.6471501093,0.28639695711595625
32,0.05,0.001,2,6,7,117883392,228622336,1723613.6471501093,0.28639695711595625
