n,p_num,p_den,p_s,alignment_schedule,observation_index,observation_hex,shell,advanced_fraction,advanced_count,frontier,independent_bound,chain_relaxed_bound,uac_bound,bound_ratio_ind_over_chain,bound_ratio_ind_over_ac,bound_ratio_chain_over_ac,chain_elapsed_ns,uac_elapsed_ns
16,1,100,0.01,forward,0,0x0,0,0.0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13760933674260616398303263223984,13760933674260616398303263223984,13760933674260616398303263223984,1.0,1.0,1.0,219375,1088298
16,1,100,0.01,even_odd,0,0x0,0,0.0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13760933674260616398303263223984,13760933674260616398303263223984,13760933674260616398303263223984,1.0,1.0,1.0,214346,1063710
16,1,100,0.01,forward,0,0x0,0,0.25,4,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,10355450088206221431046395052392,10355450088206221431046395052392,990370226556635271090007580514,1.0,10.456140350877194,10.456140350877194,205320,1022142
16,1,100,0.01,even_odd,0,0x0,0,0.25,4,1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0,10355450088206221431046395052392,10355450088206221431046395052392,990370226556635271090007580514,1.0,10.456140350877194,10.456140350877194,186736,1090713
16,1,100,0.01,forward,0,0x0,0,0.5,8,1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,6949966502151826463789526880800,6949966502151826463789526880800,990370226556635271090007580514,1.0,7.017543859649122,7.017543859649122,198321,1044000
16,1,100,0.01,even_odd,0,0x0,0,0.5,8,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,6949966502151826463789526880800,6949966502151826463789526880800,990370226556635271090007580514,1.0,7.017543859649122,7.017543859649122,193485,1018954
16,1,100,0.01,forward,0,0x0,0,0.75,12,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0,3544482916097431496532658709208,3544482916097431496532658709208,990370226556635271090007580514,1.0,3.5789473684210527,3.5789473684210527,179121,958682
16,1,100,0.01,even_odd,0,0x0,0,0.75,12,1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0,3544482916097431496532658709208,3544482916097431496532658709208,990370226556635271090007580514,1.0,3.5789473684210527,3.5789473684210527,187569,1010992
16,1,100,0.01,forward,0,0x0,0,1.0,16,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,138999330043036529275790537616,138999330043036529275790537616,18603445687578121342466915388,1.0,7.471698113207547,7.471698113207547,182648,975768
16,1,100,0.01,even_odd,0,0x0,0,1.0,16,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,138999330043036529275790537616,138999330043036529275790537616,18603445687578121342466915388,1.0,7.471698113207547,7.471698113207547,185150,1019756
